status,project,preset,grid_profile,active_params,model,seed,n_samples,n_refs,radius_pct,n_sensors,observation_mode,noise,observation_noise,observation_event_noise_mode,observation_event_noise,epochs,learning_rate,batch_size,hidden_dim,residual_form,formulation,device,test_mae,active_test_mae,active_params_detected,param1_mae,param2_mae,active_param1_mae,active_param2_mae,data_loss,physics_loss,total_loss,train_observation_active_fraction,test_observation_active_fraction,train_observation_active_fraction_gt_0p5,test_observation_active_fraction_gt_0p5,train_observation_events_per_sample,test_observation_events_per_sample,train_observation_events_per_sample_gt_0p5,test_observation_events_per_sample_gt_0p5,test_observation_first_active_index,test_observation_first_active_index_gt_0p5,test_model_event_abs_mean,test_model_spike_mean,test_model_spike_active_fraction_gt_0p5,test_model_spike_count_per_sample,early_active_test_mae_25,early_active_test_mae_50,early_active_test_mae_75,run_hash,run_dir
pending,allencahn,default,full,"D,r",convmulti,1234,256,0,1,0,default,0,0,none,0,300,0.001,16,20,strong,absolute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f13661b58ad7,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/allencahn-default-locality-e300-n256-ms4/allencahn/preset-default/grid-full/active-d-r/convmulti/seed-1234/run-f13661b58ad7
pending,allencahn,default,full,"D,r",convmulti,1234,256,0,2,0,default,0,0,none,0,300,0.001,16,20,strong,absolute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d70a6c602f10,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/allencahn-default-locality-e300-n256-ms4/allencahn/preset-default/grid-full/active-d-r/convmulti/seed-1234/run-d70a6c602f10
pending,allencahn,default,full,"D,r",convmulti,1234,256,0,5,0,default,0,0,none,0,300,0.001,16,20,strong,absolute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7e5e2c0fc5ef,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/allencahn-default-locality-e300-n256-ms4/allencahn/preset-default/grid-full/active-d-r/convmulti/seed-1234/run-7e5e2c0fc5ef
pending,allencahn,default,full,"D,r",convmulti,1234,256,1,1,0,default,0,0,none,0,300,0.001,16,20,strong,reference_delta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f1d135f51ee6,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/allencahn-default-locality-e300-n256-ms4/allencahn/preset-default/grid-full/active-d-r/convmulti/seed-1234/run-f1d135f51ee6
pending,allencahn,default,full,"D,r",convmulti,1234,256,1,2,0,default,0,0,none,0,300,0.001,16,20,strong,reference_delta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9fbe4bdf488f,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/allencahn-default-locality-e300-n256-ms4/allencahn/preset-default/grid-full/active-d-r/convmulti/seed-1234/run-9fbe4bdf488f
pending,allencahn,default,full,"D,r",convmulti,1234,256,1,5,0,default,0,0,none,0,300,0.001,16,20,strong,reference_delta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5c54ce7cc54e,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/allencahn-default-locality-e300-n256-ms4/allencahn/preset-default/grid-full/active-d-r/convmulti/seed-1234/run-5c54ce7cc54e
pending,allencahn,default,full,"D,r",convmulti,1235,256,0,1,0,default,0,0,none,0,300,0.001,16,20,strong,absolute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7d51200a7be8,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/allencahn-default-locality-e300-n256-ms4/allencahn/preset-default/grid-full/active-d-r/convmulti/seed-1235/run-7d51200a7be8
pending,allencahn,default,full,"D,r",convmulti,1235,256,0,2,0,default,0,0,none,0,300,0.001,16,20,strong,absolute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b997d2a894d8,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/allencahn-default-locality-e300-n256-ms4/allencahn/preset-default/grid-full/active-d-r/convmulti/seed-1235/run-b997d2a894d8
pending,allencahn,default,full,"D,r",convmulti,1235,256,0,5,0,default,0,0,none,0,300,0.001,16,20,strong,absolute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1e072db191e3,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/allencahn-default-locality-e300-n256-ms4/allencahn/preset-default/grid-full/active-d-r/convmulti/seed-1235/run-1e072db191e3
pending,allencahn,default,full,"D,r",convmulti,1235,256,1,1,0,default,0,0,none,0,300,0.001,16,20,strong,reference_delta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a00c3a8b12b6,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/allencahn-default-locality-e300-n256-ms4/allencahn/preset-default/grid-full/active-d-r/convmulti/seed-1235/run-a00c3a8b12b6
