status,project,preset,active_params,model,seed,n_refs,radius_pct,n_sensors,noise,observation_noise,epochs,learning_rate,batch_size,hidden_dim,residual_form,formulation,device,test_mae,active_test_mae,active_params_detected,param1_mae,param2_mae,active_param1_mae,active_param2_mae,data_loss,physics_loss,total_loss,run_hash,run_dir
complete,allencahn,default,"D,r",mlp,1234,0,-1,0,0,0,100,0.001,16,20,strong,absolute,cuda,0.0114712563123,0.0114712563123,"0,1",0.000408733608789,0.0225337790159,0.000408733608789,0.0225337790159,0.0284897424281,1.35424479595e-05,0.0285032857209,dbf7692ee672,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/allencahn-locality-default-e100-n128-strong-ms2/allencahn/preset-default/active-d-r/mlp/seed-1234/run-dbf7692ee672
complete,allencahn,default,"D,r",mlp,1234,0,-1,0,0,0,100,0.001,16,20,weak,absolute,cuda,0.0109919226236,0.0109919226236,"0,1",0.000463464427611,0.0215203808196,0.000463464427611,0.0215203808196,0.0364779420197,7.0301197411e-05,0.0365482419729,3eebaa44735b,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/allencahn-locality-default-e100-n128-strong-ms2/allencahn/preset-default/active-d-r/mlp/seed-1234/run-3eebaa44735b
complete,allencahn,default,"D,r",mlp,1234,1,-1,0,0,0,100,0.001,16,20,strong,reference_delta,cuda,0.009665841786,0.009665841786,"0,1",0.000119300905897,0.0192123826661,0.000119300905897,0.0192123826661,0.00228828797117,3.84483155358e-06,0.00229213270359,2da8d46509ed,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/allencahn-locality-default-e100-n128-strong-ms2/allencahn/preset-default/active-d-r/mlp/seed-1234/run-2da8d46509ed
complete,allencahn,default,"D,r",mlp,1234,1,-1,0,0,0,100,0.001,16,20,weak,reference_delta,cuda,0.00786677995854,0.00786677995854,"0,1",0.000254152996103,0.015479406921,0.000254152996103,0.015479406921,0.0110282432288,2.56783459918e-05,0.0110539216548,e0e695a27a50,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/allencahn-locality-default-e100-n128-strong-ms2/allencahn/preset-default/active-d-r/mlp/seed-1234/run-e0e695a27a50
complete,allencahn,default,"D,r",mlp,1235,0,-1,0,0,0,100,0.001,16,20,strong,absolute,cuda,0.0229728088492,0.0229728088492,"0,1",0.00185037492192,0.0440952427765,0.00185037492192,0.0440952427765,0.304110735655,0.000146355683682,0.30425709486,cb60e3cf0f72,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/allencahn-locality-default-e100-n128-strong-ms2/allencahn/preset-default/active-d-r/mlp/seed-1235/run-cb60e3cf0f72
complete,allencahn,default,"D,r",mlp,1235,0,-1,0,0,0,100,0.001,16,20,weak,absolute,cuda,0.0151633804844,0.0151633804844,"0,1",0.00172057050791,0.0286061904609,0.00172057050791,0.0286061904609,0.259066253901,0.000121592995129,0.259187847376,eadac7e02c68,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/allencahn-locality-default-e100-n128-strong-ms2/allencahn/preset-default/active-d-r/mlp/seed-1235/run-eadac7e02c68
complete,allencahn,default,"D,r",mlp,1235,1,-1,0,0,0,100,0.001,16,20,strong,reference_delta,cuda,0.00840813620587,0.00840813620587,"0,1",0.000119857087094,0.0166964153247,0.000119857087094,0.0166964153247,0.00169361860026,1.75277659764e-06,0.00169537134934,316408ec5ec6,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/allencahn-locality-default-e100-n128-strong-ms2/allencahn/preset-default/active-d-r/mlp/seed-1235/run-316408ec5ec6
complete,allencahn,default,"D,r",mlp,1235,1,-1,0,0,0,100,0.001,16,20,weak,reference_delta,cuda,0.00663238727101,0.00663238727101,"0,1",0.000140371243475,0.0131244032985,0.000140371243475,0.0131244032985,0.00222912989557,3.61715683539e-05,0.00226530153304,371c0cc1a072,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/allencahn-locality-default-e100-n128-strong-ms2/allencahn/preset-default/active-d-r/mlp/seed-1235/run-371c0cc1a072
complete,allencahn,default,"D,r",mlp,1236,0,-1,0,0,0,100,0.001,16,20,strong,absolute,cuda,0.0220551373633,0.0220551373633,"0,1",0.00101571310997,0.0430945616166,0.00101571310997,0.0430945616166,0.128777772188,4.17531773564e-05,0.128819525242,e0231a672855,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/allencahn-locality-default-e100-n128-strong-ms2/allencahn/preset-default/active-d-r/mlp/seed-1236/run-e0231a672855
complete,allencahn,default,"D,r",mlp,1236,0,-1,0,0,0,100,0.001,16,20,weak,absolute,cuda,0.0203466742442,0.0203466742442,"0,1",0.000482474344943,0.0402108741435,0.000482474344943,0.0402108741435,0.0440699122846,5.04481504322e-05,0.0441203601658,6d8f2a86475c,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/allencahn-locality-default-e100-n128-strong-ms2/allencahn/preset-default/active-d-r/mlp/seed-1236/run-6d8f2a86475c
