status,project,preset,grid_profile,active_params,model,seed,n_samples,n_refs,radius_pct,n_sensors,observation_mode,noise,observation_noise,observation_event_noise_mode,observation_event_noise,epochs,learning_rate,batch_size,hidden_dim,residual_form,formulation,device,test_mae,active_test_mae,active_params_detected,param1_mae,param2_mae,active_param1_mae,active_param2_mae,data_loss,physics_loss,total_loss,train_observation_active_fraction,test_observation_active_fraction,train_observation_active_fraction_gt_0p5,test_observation_active_fraction_gt_0p5,train_observation_events_per_sample,test_observation_events_per_sample,train_observation_events_per_sample_gt_0p5,test_observation_events_per_sample_gt_0p5,test_observation_first_active_index,test_observation_first_active_index_gt_0p5,test_model_event_abs_mean,test_model_spike_mean,test_model_spike_active_fraction_gt_0p5,test_model_spike_count_per_sample,early_active_test_mae_25,early_active_test_mae_50,early_active_test_mae_75,run_hash,run_dir
complete,apcardiac1d,RecoveryPulse,coarse20,"a,d,mu1",convmulti,1234,256,0,1,0,default,0,0,none,0,300,0.001,16,20,strong,absolute,cuda,0.00108917012749,0.00217833624967,"0,1,4",0.000496739266448,0.00513140231477,0.000496739266448,0.00513140231477,0.737997710705,0,0.737997710705,0.74336238199,0.743290598291,0.209503752118,0.209510921178,3010.61764706,3010.32692308,848.490196078,848.519230769,56,56,,,,,,,,06f6ec8f8b5f,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/apcardiac1d-recoverypulse-locality-e300-n256-ms4/apcardiac1d/preset-recoverypulse/grid-coarse20/active-a-d-mu1/convmulti/seed-1234/run-06f6ec8f8b5f
complete,apcardiac1d,RecoveryPulse,coarse20,"a,d,mu1",convmulti,1234,256,0,2,0,default,0,0,none,0,300,0.001,16,20,strong,absolute,cuda,0.00217789714186,0.00435579027841,"0,1,4",0.00100790961977,0.0102566217939,0.00100790961977,0.0102566217939,0.739045262337,0,0.739045262337,0.7435560397,0.7433665717,0.209420237231,0.209002849003,3011.40196078,3010.63461538,848.151960784,846.461538462,56,56,,,,,,,,7345398ab62a,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/apcardiac1d-recoverypulse-locality-e300-n256-ms4/apcardiac1d/preset-recoverypulse/grid-coarse20/active-a-d-mu1/convmulti/seed-1234/run-7345398ab62a
complete,apcardiac1d,RecoveryPulse,coarse20,"a,d,mu1",convmulti,1234,256,0,5,0,default,0,0,none,0,300,0.001,16,20,strong,absolute,cuda,0.00541854996555,0.0108370959258,"0,1,4",0.00257732903947,0.0254922735056,0.00257732903947,0.0254922735056,0.737294793129,0,0.737294793129,0.743731542,0.742958214625,0.209580004841,0.208898385565,3012.1127451,3008.98076923,848.799019608,846.038461538,56,56,,,,,,,,4741e946d202,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/apcardiac1d-recoverypulse-locality-e300-n256-ms4/apcardiac1d/preset-recoverypulse/grid-coarse20/active-a-d-mu1/convmulti/seed-1234/run-4741e946d202
complete,apcardiac1d,RecoveryPulse,coarse20,"a,d,mu1",convmulti,1234,256,1,1,0,default,0,0,none,0,300,0.001,16,20,strong,reference_delta,cuda,6.16793969157e-05,0.000123354788523,"0,1,4",4.38902142049e-05,0.0002511873893,4.38902142049e-05,0.0002511873893,0.00465681636706,0,0.00465681636706,0.892969498911,0.892924026591,0.242320987654,0.242320987654,18082.6323529,18081.7115385,4907,4907,56,56,,,,,,,,b6c5178129bc,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/apcardiac1d-recoverypulse-locality-e300-n256-ms4/apcardiac1d/preset-recoverypulse/grid-coarse20/active-a-d-mu1/convmulti/seed-1234/run-b6c5178129bc
complete,apcardiac1d,RecoveryPulse,coarse20,"a,d,mu1",convmulti,1234,256,1,2,0,default,0,0,none,0,300,0.001,16,20,strong,reference_delta,cuda,0.00013613696688,0.000272269928452,"0,1,4",9.43719790111e-05,0.000538704162826,9.43719790111e-05,0.000538704162826,0.00615898706019,0,0.00615898706019,0.89401815541,0.894071225071,0.242347131445,0.242348528015,18103.8676471,18104.9423077,4907.52941176,4907.55769231,56,56,,,,,,,,dae704952caa,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/apcardiac1d-recoverypulse-locality-e300-n256-ms4/apcardiac1d/preset-recoverypulse/grid-coarse20/active-a-d-mu1/convmulti/seed-1234/run-dae704952caa
complete,apcardiac1d,RecoveryPulse,coarse20,"a,d,mu1",convmulti,1234,256,1,5,0,default,0,0,none,0,300,0.001,16,20,strong,reference_delta,cuda,0.000558296387102,0.0011165887689,"0,1,4",0.00040651625912,0.00228241067518,0.00040651625912,0.00228241067518,0.0148907657713,0,0.0148907657713,0.895519728879,0.895388414055,0.243744129751,0.243467236467,18134.2745098,18131.6153846,4935.81862745,4930.21153846,56,56,,,,,,,,367d6fba880e,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/apcardiac1d-recoverypulse-locality-e300-n256-ms4/apcardiac1d/preset-recoverypulse/grid-coarse20/active-a-d-mu1/convmulti/seed-1234/run-367d6fba880e
complete,apcardiac1d,RecoveryPulse,coarse20,"a,d,mu1",convmulti,1235,256,0,1,0,default,0,0,none,0,300,0.001,16,20,strong,absolute,cuda,0.00108896881853,0.00217793363176,"0,1,4",0.000495902222374,0.00513100915336,0.000495902222374,0.00513100915336,0.737781465054,0,0.737781465054,0.74336238199,0.743290598291,0.209503752118,0.209510921178,3010.61764706,3010.32692308,848.490196078,848.519230769,56,56,,,,,,,,fd3edbd31b53,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/apcardiac1d-recoverypulse-locality-e300-n256-ms4/apcardiac1d/preset-recoverypulse/grid-coarse20/active-a-d-mu1/convmulti/seed-1235/run-fd3edbd31b53
complete,apcardiac1d,RecoveryPulse,coarse20,"a,d,mu1",convmulti,1235,256,0,2,0,default,0,0,none,0,300,0.001,16,20,strong,absolute,cuda,0.00217685382921,0.00435370365312,"0,1,4",0.00100431442807,0.0102548795043,0.00100431442807,0.0102548795043,0.737609624863,0,0.737609624863,0.7435560397,0.7433665717,0.209420237231,0.209002849003,3011.40196078,3010.63461538,848.151960784,846.461538462,56,56,,,,,,,,7d1a6b5de93c,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/apcardiac1d-recoverypulse-locality-e300-n256-ms4/apcardiac1d/preset-recoverypulse/grid-coarse20/active-a-d-mu1/convmulti/seed-1235/run-7d1a6b5de93c
complete,apcardiac1d,RecoveryPulse,coarse20,"a,d,mu1",convmulti,1235,256,0,5,0,default,0,0,none,0,300,0.001,16,20,strong,absolute,cuda,0.00540792328664,0.010815842568,"0,1,4",0.00257317620047,0.0254327754615,0.00257317620047,0.0254327754615,0.73334133625,0,0.73334133625,0.743731542,0.742958214625,0.209580004841,0.208898385565,3012.1127451,3008.98076923,848.799019608,846.038461538,56,56,,,,,,,,78195a588e32,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/apcardiac1d-recoverypulse-locality-e300-n256-ms4/apcardiac1d/preset-recoverypulse/grid-coarse20/active-a-d-mu1/convmulti/seed-1235/run-78195a588e32
complete,apcardiac1d,RecoveryPulse,coarse20,"a,d,mu1",convmulti,1235,256,1,1,0,default,0,0,none,0,300,0.001,16,20,strong,reference_delta,cuda,6.19599083556e-05,0.000123915811403,"0,1,4",4.27279648301e-05,0.000255828415719,4.27279648301e-05,0.000255828415719,0.00451416289434,0,0.00451416289434,0.892969498911,0.892924026591,0.242320987654,0.242320987654,18082.6323529,18081.7115385,4907,4907,56,56,,,,,,,,7f2e91e8da7e,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/apcardiac1d-recoverypulse-locality-e300-n256-ms4/apcardiac1d/preset-recoverypulse/grid-coarse20/active-a-d-mu1/convmulti/seed-1235/run-7f2e91e8da7e
