status,project,preset,grid_profile,active_params,model,seed,n_samples,n_refs,radius_pct,n_sensors,observation_mode,noise,observation_noise,observation_event_noise_mode,observation_event_noise,epochs,learning_rate,batch_size,hidden_dim,residual_form,formulation,device,test_mae,active_test_mae,active_params_detected,param1_mae,param2_mae,active_param1_mae,active_param2_mae,data_loss,physics_loss,total_loss,train_observation_active_fraction,test_observation_active_fraction,train_observation_active_fraction_gt_0p5,test_observation_active_fraction_gt_0p5,train_observation_events_per_sample,test_observation_events_per_sample,train_observation_events_per_sample_gt_0p5,test_observation_events_per_sample_gt_0p5,test_observation_first_active_index,test_observation_first_active_index_gt_0p5,test_model_event_abs_mean,test_model_spike_mean,test_model_spike_active_fraction_gt_0p5,test_model_spike_count_per_sample,early_active_test_mae_25,early_active_test_mae_50,early_active_test_mae_75,run_hash,run_dir
complete,apcardiac2d,kaba2025numerical,full,"a,d,mu1",convmulti,1234,96,0,1,3,default,0,0,none,0,300,0.001,16,20,strong,absolute,cpu,0.000520510448877,0.00104101689245,"0,1,4",0.000423233725272,0.0020288847872,0.000423233725272,0.0020288847872,0.31562691927,0,0.31562691927,0.592816968709,0.592951857405,0.151764030266,0.151762452107,35586.8026316,35594.9,9110.39473684,9110.3,2532.15,2978.95,,,,,,,,f8848a0ad1bc,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/apcardiac2d-kaba2025numerical-full-locality-e300-n96-s5-ms4/apcardiac2d/preset-kaba2025numerical/grid-full/active-a-d-mu1/convmulti/seed-1234/run-f8848a0ad1bc
complete,apcardiac2d,kaba2025numerical,full,"a,d,mu1",convmulti,1234,96,0,1,3,default,0.01,0,none,0,300,0.001,16,20,strong,absolute,cpu,0.000473500105546,0.000946996205784,"0,1,4",0.000415149100267,0.00175246058156,0.000415149100267,0.00175246058156,0.299637407064,0,0.299637407064,1,1,0.151772140246,0.151792437115,60030,60030,9110.88157895,9112.1,0,2979,,,,,,,,c0dc7fb0035f,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/apcardiac2d-kaba2025numerical-full-locality-e300-n96-s5-ms4/apcardiac2d/preset-kaba2025numerical/grid-full/active-a-d-mu1/convmulti/seed-1234/run-c0dc7fb0035f
complete,apcardiac2d,kaba2025numerical,full,"a,d,mu1",convmulti,1234,96,0,1,5,default,0,0,none,0,300,0.001,16,20,strong,absolute,cpu,0.000514455335342,0.00102890666538,"0,1,4",0.000389337308847,0.00201585514933,0.000389337308847,0.00201585514933,0.30374583602,0,0.30374583602,0.627137299771,0.627253373313,0.159112128146,0.159125337331,104575.144737,104594.5,26531.9473684,26534.15,2532.15,2978.95,,,,,,,,f8ce343195c5,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/apcardiac2d-kaba2025numerical-full-locality-e300-n96-s5-ms4/apcardiac2d/preset-kaba2025numerical/grid-full/active-a-d-mu1/convmulti/seed-1234/run-f8ce343195c5
complete,apcardiac2d,kaba2025numerical,full,"a,d,mu1",convmulti,1234,96,0,1,5,default,0.01,0,none,0,300,0.001,16,20,strong,absolute,cpu,0.000497309279571,0.000994614553834,"0,1,4",0.00038888602762,0.00189227683932,0.00038888602762,0.00189227683932,0.309667378664,0,0.309667378664,1,1,0.159113627397,0.159145127436,166750,166750,26532.1973684,26537.45,0,2979,,,,,,,,dc4f426d1d4b,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/apcardiac2d-kaba2025numerical-full-locality-e300-n96-s5-ms4/apcardiac2d/preset-kaba2025numerical/grid-full/active-a-d-mu1/convmulti/seed-1234/run-dc4f426d1d4b
complete,apcardiac2d,kaba2025numerical,full,"a,d,mu1",convmulti,1234,96,0,2,3,default,0,0,none,0,300,0.001,16,20,strong,absolute,cpu,0.00103441264065,0.002068821276,"0,1,4",0.000780355320545,0.0039966597873,0.000780355320545,0.0039966597873,0.326386243105,0,0.326386243105,0.592817626275,0.593117607863,0.15188852942,0.151893220057,35586.8421053,35604.85,9117.86842105,9118.15,2531.4,2978.25,,,,,,,,09e013f4bce1,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/apcardiac2d-kaba2025numerical-full-locality-e300-n96-s5-ms4/apcardiac2d/preset-kaba2025numerical/grid-full/active-a-d-mu1/convmulti/seed-1234/run-09e013f4bce1
complete,apcardiac2d,kaba2025numerical,full,"a,d,mu1",convmulti,1234,96,0,2,3,default,0.01,0,none,0,300,0.001,16,20,strong,absolute,cpu,0.000967229738655,0.001934455472,"0,1,4",0.000774731622311,0.00368507322172,0.000774731622311,0.00368507322172,0.287462234497,0,0.287462234497,1,1,0.151906502889,0.151895718807,60030,60030,9118.94736842,9118.3,0,2978.3,,,,,,,,56ca267c1e00,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/apcardiac2d-kaba2025numerical-full-locality-e300-n96-s5-ms4/apcardiac2d/preset-kaba2025numerical/grid-full/active-a-d-mu1/convmulti/seed-1234/run-56ca267c1e00
complete,apcardiac2d,kaba2025numerical,full,"a,d,mu1",convmulti,1234,96,0,2,5,default,0,0,none,0,300,0.001,16,20,strong,absolute,cpu,0.00104867403898,0.00209734407265,"0,1,4",0.000805575236962,0.00419248756269,0.000805575236962,0.00419248756269,0.289850413799,0,0.289850413799,0.627162787028,0.627410194903,0.159202556616,0.159224587706,104579.394737,104620.65,26547.0263158,26550.7,2531.4,2978.25,,,,,,,,a001be0f34f7,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/apcardiac2d-kaba2025numerical-full-locality-e300-n96-s5-ms4/apcardiac2d/preset-kaba2025numerical/grid-full/active-a-d-mu1/convmulti/seed-1234/run-a001be0f34f7
complete,apcardiac2d,kaba2025numerical,full,"a,d,mu1",convmulti,1234,96,0,2,5,default,0.01,0,none,0,300,0.001,16,20,strong,absolute,cpu,0.00103627729606,0.00207255058682,"0,1,4",0.000827316031144,0.00405705148371,0.000827316031144,0.00405705148371,0.313883662224,0,0.313883662224,1,1,0.159213209185,0.159225787106,166750,166750,26548.8026316,26550.9,0,2978.3,,,,,,,,cd54e23764c0,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/apcardiac2d-kaba2025numerical-full-locality-e300-n96-s5-ms4/apcardiac2d/preset-kaba2025numerical/grid-full/active-a-d-mu1/convmulti/seed-1234/run-cd54e23764c0
complete,apcardiac2d,kaba2025numerical,full,"a,d,mu1",convmulti,1234,96,1,1,3,default,0,0,none,0,300,0.001,16,20,strong,reference_delta,cpu,0.000126713112126,0.000253422218945,"0,1,4",8.75745190936e-05,0.000521041174603,8.75745190936e-05,0.000521041174603,0.0193642582744,0,0.0193642582744,0.644787850436,0.644742271721,0.112709810508,0.11267866067,90315.4342105,90309.05,15787.2631579,15782.9,2533,2980,,,,,,,,3f5d822126b1,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/apcardiac2d-kaba2025numerical-full-locality-e300-n96-s5-ms4/apcardiac2d/preset-kaba2025numerical/grid-full/active-a-d-mu1/convmulti/seed-1234/run-3f5d822126b1
complete,apcardiac2d,kaba2025numerical,full,"a,d,mu1",convmulti,1234,96,1,1,3,default,0.01,0,none,0,300,0.001,16,20,strong,reference_delta,cpu,0.000208791313919,0.000417578622531,"0,1,4",0.000149735926006,0.000880847611957,0.000149735926006,0.000880847611957,0.0402114614844,0,0.0402114614844,0.825501534947,0.825501534947,0.112709810508,0.112676875848,115628,115628,15787.2631579,15782.65,2533,2980,,,,,,,,8c697a99a6be,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/apcardiac2d-kaba2025numerical-full-locality-e300-n96-s5-ms4/apcardiac2d/preset-kaba2025numerical/grid-full/active-a-d-mu1/convmulti/seed-1234/run-8c697a99a6be
complete,apcardiac2d,kaba2025numerical,full,"a,d,mu1",convmulti,1234,96,1,1,5,default,0,0,none,0,300,0.001,16,20,strong,reference_delta,cpu,0.000106786367616,0.000213568729924,"0,1,4",7.60697105954e-05,0.000440467952525,7.60697105954e-05,0.000440467952525,0.0160368625075,0,0.0160368625075,0.640896669342,0.640857401488,0.0939346612692,0.093914174988,226563.381579,226549.5,33206.8421053,33199.6,2533,2980,,,,,,,,e69b296eef6d,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/apcardiac2d-kaba2025numerical-full-locality-e300-n96-s5-ms4/apcardiac2d/preset-kaba2025numerical/grid-full/active-a-d-mu1/convmulti/seed-1234/run-e69b296eef6d
