status,project,preset,grid_profile,active_params,model,seed,n_samples,n_refs,radius_pct,n_sensors,observation_mode,noise,observation_noise,observation_event_noise_mode,observation_event_noise,epochs,learning_rate,batch_size,hidden_dim,residual_form,formulation,device,test_mae,active_test_mae,active_params_detected,param1_mae,param2_mae,active_param1_mae,active_param2_mae,data_loss,physics_loss,total_loss,train_observation_active_fraction,test_observation_active_fraction,train_observation_active_fraction_gt_0p5,test_observation_active_fraction_gt_0p5,train_observation_events_per_sample,test_observation_events_per_sample,train_observation_events_per_sample_gt_0p5,test_observation_events_per_sample_gt_0p5,test_observation_first_active_index,test_observation_first_active_index_gt_0p5,test_model_event_abs_mean,test_model_spike_mean,test_model_spike_active_fraction_gt_0p5,test_model_spike_count_per_sample,early_active_test_mae_25,early_active_test_mae_50,early_active_test_mae_75,run_hash,run_dir
pending,fhncardiac1d,RecoveryPulse,coarse20,"a,d,gamma",convmulti,1234,256,0,1,0,default,0,0,none,0,300,0.001,16,20,strong,absolute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7ee7033ab6c4,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/fhncardiac1d-recoverypulse-locality-e300-n256-ms4/fhncardiac1d/preset-recoverypulse/grid-coarse20/active-a-d-gamma/convmulti/seed-1234/run-7ee7033ab6c4
pending,fhncardiac1d,RecoveryPulse,coarse20,"a,d,gamma",convmulti,1234,256,0,2,0,default,0,0,none,0,300,0.001,16,20,strong,absolute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39fb3d48c948,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/fhncardiac1d-recoverypulse-locality-e300-n256-ms4/fhncardiac1d/preset-recoverypulse/grid-coarse20/active-a-d-gamma/convmulti/seed-1234/run-39fb3d48c948
pending,fhncardiac1d,RecoveryPulse,coarse20,"a,d,gamma",convmulti,1234,256,0,5,0,default,0,0,none,0,300,0.001,16,20,strong,absolute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58b31c3b1373,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/fhncardiac1d-recoverypulse-locality-e300-n256-ms4/fhncardiac1d/preset-recoverypulse/grid-coarse20/active-a-d-gamma/convmulti/seed-1234/run-58b31c3b1373
pending,fhncardiac1d,RecoveryPulse,coarse20,"a,d,gamma",convmulti,1234,256,1,1,0,default,0,0,none,0,300,0.001,16,20,strong,reference_delta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fc5d1851cb71,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/fhncardiac1d-recoverypulse-locality-e300-n256-ms4/fhncardiac1d/preset-recoverypulse/grid-coarse20/active-a-d-gamma/convmulti/seed-1234/run-fc5d1851cb71
pending,fhncardiac1d,RecoveryPulse,coarse20,"a,d,gamma",convmulti,1234,256,1,2,0,default,0,0,none,0,300,0.001,16,20,strong,reference_delta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59b6eb89eb24,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/fhncardiac1d-recoverypulse-locality-e300-n256-ms4/fhncardiac1d/preset-recoverypulse/grid-coarse20/active-a-d-gamma/convmulti/seed-1234/run-59b6eb89eb24
pending,fhncardiac1d,RecoveryPulse,coarse20,"a,d,gamma",convmulti,1234,256,1,5,0,default,0,0,none,0,300,0.001,16,20,strong,reference_delta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4eca0129753b,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/fhncardiac1d-recoverypulse-locality-e300-n256-ms4/fhncardiac1d/preset-recoverypulse/grid-coarse20/active-a-d-gamma/convmulti/seed-1234/run-4eca0129753b
pending,fhncardiac1d,RecoveryPulse,coarse20,"a,d,gamma",convmulti,1235,256,0,1,0,default,0,0,none,0,300,0.001,16,20,strong,absolute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9d81619e9432,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/fhncardiac1d-recoverypulse-locality-e300-n256-ms4/fhncardiac1d/preset-recoverypulse/grid-coarse20/active-a-d-gamma/convmulti/seed-1235/run-9d81619e9432
pending,fhncardiac1d,RecoveryPulse,coarse20,"a,d,gamma",convmulti,1235,256,0,2,0,default,0,0,none,0,300,0.001,16,20,strong,absolute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c17f40983ec2,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/fhncardiac1d-recoverypulse-locality-e300-n256-ms4/fhncardiac1d/preset-recoverypulse/grid-coarse20/active-a-d-gamma/convmulti/seed-1235/run-c17f40983ec2
pending,fhncardiac1d,RecoveryPulse,coarse20,"a,d,gamma",convmulti,1235,256,0,5,0,default,0,0,none,0,300,0.001,16,20,strong,absolute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4de2cd8bf98e,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/fhncardiac1d-recoverypulse-locality-e300-n256-ms4/fhncardiac1d/preset-recoverypulse/grid-coarse20/active-a-d-gamma/convmulti/seed-1235/run-4de2cd8bf98e
pending,fhncardiac1d,RecoveryPulse,coarse20,"a,d,gamma",convmulti,1235,256,1,1,0,default,0,0,none,0,300,0.001,16,20,strong,reference_delta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4f54cc982dff,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/fhncardiac1d-recoverypulse-locality-e300-n256-ms4/fhncardiac1d/preset-recoverypulse/grid-coarse20/active-a-d-gamma/convmulti/seed-1235/run-4f54cc982dff
