status,project,preset,grid_profile,active_params,model,seed,n_samples,n_refs,radius_pct,n_sensors,observation_mode,noise,observation_noise,observation_event_noise_mode,observation_event_noise,epochs,learning_rate,batch_size,hidden_dim,residual_form,formulation,device,test_mae,active_test_mae,active_params_detected,param1_mae,param2_mae,active_param1_mae,active_param2_mae,data_loss,physics_loss,total_loss,train_observation_active_fraction,test_observation_active_fraction,train_observation_active_fraction_gt_0p5,test_observation_active_fraction_gt_0p5,train_observation_events_per_sample,test_observation_events_per_sample,train_observation_events_per_sample_gt_0p5,test_observation_events_per_sample_gt_0p5,test_observation_first_active_index,test_observation_first_active_index_gt_0p5,test_model_event_abs_mean,test_model_spike_mean,test_model_spike_active_fraction_gt_0p5,test_model_spike_count_per_sample,early_active_test_mae_25,early_active_test_mae_50,early_active_test_mae_75,run_hash,run_dir
complete,fhncardiac2d,Kaba2022High2D,full,"a,d,gamma",convmulti,1234,64,0,1,5,default,0,0,none,0,300,0.001,16,20,strong,absolute,cpu,0.000985666938799,0.00197133380309,"0,2,4",0.000439759584476,0,0.000439759584476,0.00506174076355,0.517936825752,0,0.517936825752,0.895625386849,0.895632052564,0.0671808229077,0.0669148363421,313513.666667,313516,23516.6470588,23423.5384615,2349.76923077,3732.30769231,,,,,,,,b9fca4757134,/home/ahlk/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/fhncardiac2d-kaba2022high-full-locality-e300-n64-s5-ms4/fhncardiac2d/preset-kaba2022high2d/grid-full/active-a-d-gamma/convmulti/seed-1234/run-b9fca4757134
complete,fhncardiac2d,Kaba2022High2D,full,"a,d,gamma",convmulti,1234,64,1,1,5,default,0,0,none,0,300,0.001,16,20,strong,reference_delta,cpu,3.94557328764e-05,7.8911391247e-05,"0,2,4",2.15832651403e-05,0,2.15832651403e-05,0.000194239857668,0.0018482481828,0,0.0018482481828,0.896168788952,0.89494928052,0.0599742027234,0.0599753632541,665052.235294,664147.230769,44507.2156863,44508.0769231,2347,3728,,,,,,,,36b9390853d7,/home/ahlk/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/fhncardiac2d-kaba2022high-full-locality-e300-n64-s5-ms4/fhncardiac2d/preset-kaba2022high2d/grid-full/active-a-d-gamma/convmulti/seed-1234/run-36b9390853d7
complete,fhncardiac2d,Kaba2022High2D,full,"a,d,gamma",convmulti,1235,64,0,1,5,default,0,0,none,0,300,0.001,16,20,strong,absolute,cpu,0.000995103785258,0.00199020749601,"0,2,4",0.000458304668657,0,0.000458304668657,0.00512838334138,0.510457575321,0,0.510457575321,0.895625386849,0.895632052564,0.0671808229077,0.0669148363421,313513.666667,313516,23516.6470588,23423.5384615,2349.76923077,3732.30769231,,,,,,,,d84211540973,/home/ahlk/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/fhncardiac2d-kaba2022high-full-locality-e300-n64-s5-ms4/fhncardiac2d/preset-kaba2022high2d/grid-full/active-a-d-gamma/convmulti/seed-1235/run-d84211540973
complete,fhncardiac2d,Kaba2022High2D,full,"a,d,gamma",convmulti,1235,64,1,1,5,default,0,0,none,0,300,0.001,16,20,strong,reference_delta,cpu,2.81957556559e-05,5.63914368061e-05,"0,2,4",1.56365494689e-05,0,1.56365494689e-05,0.000134965911333,0.00084270228399,0,0.00084270228399,0.896168788952,0.89494928052,0.0599742027234,0.0599753632541,665052.235294,664147.230769,44507.2156863,44508.0769231,2347,3728,,,,,,,,ad3f85291165,/home/ahlk/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/fhncardiac2d-kaba2022high-full-locality-e300-n64-s5-ms4/fhncardiac2d/preset-kaba2022high2d/grid-full/active-a-d-gamma/convmulti/seed-1235/run-ad3f85291165
complete,fhncardiac2d,Kaba2022High2D,full,"a,d,gamma",convmulti,1236,64,0,1,5,default,0,0,none,0,300,0.001,16,20,strong,absolute,cpu,0.000996245632522,0.00199249119054,"0,2,4",0.000465803468624,0,0.000465803468624,0.00511993323674,0.517160892487,0,0.517160892487,0.895625386849,0.895632052564,0.0671808229077,0.0669148363421,313513.666667,313516,23516.6470588,23423.5384615,2349.76923077,3732.30769231,,,,,,,,52eb020f7149,/home/ahlk/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/fhncardiac2d-kaba2022high-full-locality-e300-n64-s5-ms4/fhncardiac2d/preset-kaba2022high2d/grid-full/active-a-d-gamma/convmulti/seed-1236/run-52eb020f7149
complete,fhncardiac2d,Kaba2022High2D,full,"a,d,gamma",convmulti,1236,64,1,1,5,default,0,0,none,0,300,0.001,16,20,strong,reference_delta,cpu,3.65088571219e-05,7.30176397379e-05,"0,2,4",1.35144713906e-05,0,1.35144713906e-05,0.000185797507016,0.00134360371158,0,0.00134360371158,0.896168788952,0.89494928052,0.0599742027234,0.0599753632541,665052.235294,664147.230769,44507.2156863,44508.0769231,2347,3728,,,,,,,,508b16fca999,/home/ahlk/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/fhncardiac2d-kaba2022high-full-locality-e300-n64-s5-ms4/fhncardiac2d/preset-kaba2022high2d/grid-full/active-a-d-gamma/convmulti/seed-1236/run-508b16fca999
complete,fhncardiac2d,Kaba2022High2D,full,"a,d,gamma",convmulti,1237,64,0,1,5,default,0,0,none,0,300,0.001,16,20,strong,absolute,cpu,0.000992074850544,0.00198414962658,"0,2,4",0.000457227277235,0,0.000457227277235,0.00511378020341,0.513141691685,0,0.513141691685,0.895625386849,0.895632052564,0.0671808229077,0.0669148363421,313513.666667,313516,23516.6470588,23423.5384615,2349.76923077,3732.30769231,,,,,,,,789efeb6d676,/home/ahlk/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/fhncardiac2d-kaba2022high-full-locality-e300-n64-s5-ms4/fhncardiac2d/preset-kaba2022high2d/grid-full/active-a-d-gamma/convmulti/seed-1237/run-789efeb6d676
complete,fhncardiac2d,Kaba2022High2D,full,"a,d,gamma",convmulti,1237,64,1,1,5,default,0,0,none,0,300,0.001,16,20,strong,reference_delta,cpu,3.81075244886e-05,7.62149744713e-05,"0,2,4",3.05902904842e-05,0,3.05902904842e-05,0.00017798498429,0.0017220977461,0,0.0017220977461,0.896168788952,0.89494928052,0.0599742027234,0.0599753632541,665052.235294,664147.230769,44507.2156863,44508.0769231,2347,3728,,,,,,,,d44c21389584,/home/ahlk/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/fhncardiac2d-kaba2022high-full-locality-e300-n64-s5-ms4/fhncardiac2d/preset-kaba2022high2d/grid-full/active-a-d-gamma/convmulti/seed-1237/run-d44c21389584
complete,fhncardiac2d,Kaba2022High2D,full,"a,d,gamma",convmultiplus,1234,64,0,1,5,default,0,0,none,0,300,0.001,16,20,strong,absolute,cpu,0.000756463987464,0.00151292790042,"0,2,4",0.000485701803352,0,0.000485701803352,0.00360755228789,0.354201942682,0,0.354201942682,0.895625386849,0.895632052564,0.0671808229077,0.0669148363421,313513.666667,313516,23516.6470588,23423.5384615,2349.76923077,3732.30769231,,,,,,,,222e4b3c0db1,/home/ahlk/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/fhncardiac2d-kaba2022high-full-locality-e300-n64-s5-ms4/fhncardiac2d/preset-kaba2022high2d/grid-full/active-a-d-gamma/convmultiplus/seed-1234/run-222e4b3c0db1
complete,fhncardiac2d,Kaba2022High2D,full,"a,d,gamma",convmultiplus,1234,64,1,1,5,default,0,0,none,0,300,0.001,16,20,strong,reference_delta,cpu,7.1887113469e-05,0.000143774152432,"0,2,4",5.09885261361e-05,0,5.09885261361e-05,0.000347835717398,0.00392340822145,0,0.00392340822145,0.896168788952,0.89494928052,0.0599742027234,0.0599753632541,665052.235294,664147.230769,44507.2156863,44508.0769231,2347,3728,,,,,,,,c7fd78d965bf,/home/ahlk/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/fhncardiac2d-kaba2022high-full-locality-e300-n64-s5-ms4/fhncardiac2d/preset-kaba2022high2d/grid-full/active-a-d-gamma/convmultiplus/seed-1234/run-c7fd78d965bf
