split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,4.255477952913015e-05,4.364375089338382e-05,1.5318405915115873e-05,4.241046050332335e-05,3.910522417055232e-05,1.5312378993319748e-05
train,1,7.408846374980678e-05,7.693577882794726e-05,1.3878048789549425e-05,7.464588289815426e-05,7.201338822856021e-05,1.3882069897654068e-05
train,2,0.00040501293202012574,0.00041395630770400425,1.4681512603243303e-05,0.0004017920581984816,0.00040236799488984243,1.4382669597292237e-05
train,3,0.00017673061310977608,0.0002886576061416456,1.3762182704676834e-05,0.00017598690006351636,0.0001754724330497121,1.3690949359543484e-05
train,4,0.0002357838417703881,0.0002349759280839918,1.445719403232161e-05,0.00023739952398620697,0.00023544710098949946,1.4547665842109288e-05
train,5,0.00020579309645340227,0.00021480237086451992,1.3119899917448128e-05,0.00020465909796274625,0.00020475297839091147,1.315083967602052e-05
train,6,1.7973394910320928e-05,1.7925531859403858e-05,1.441028248257596e-05,1.7962000844317124e-05,1.0252477715578697e-05,1.4409951819542673e-05
train,7,0.0002488101315998186,0.00029096765790648287,1.4491415616668238e-05,0.0002473463437762356,0.00024778548544062703,1.4456402319969542e-05
train,8,7.070859665132482e-05,8.847567160440517e-05,1.3667778656877801e-05,7.10487795398149e-05,6.997776843224135e-05,1.363466964245159e-05
train,9,0.00014962603421839936,0.0001677004135411591,1.4945586997834683e-05,0.0001509429151295933,0.00014898907212032014,1.482494936881846e-05
train,10,0.00012004157932976503,0.00012647381317704067,1.5318292039696362e-05,0.00012122021876309935,0.00012008988901048148,1.527749418819215e-05
train,11,0.00037299401671931964,0.0004980028044119416,1.5240680772301717e-05,0.0003757047877354026,0.0003737268498808425,1.4882786737380555e-05
train,12,8.158689909340282e-05,8.280744087851192e-05,1.4008767218418464e-05,8.127417646697375e-05,8.092818722866842e-05,1.4028231654333967e-05
train,13,1.5589160197205794e-05,1.5358058497361476e-05,1.3855297302107781e-05,1.558576487486396e-05,6.219698686165955e-06,1.3854820484391149e-05
train,14,0.0004030850449159452,0.0005019144513245528,1.551912082295797e-05,0.0004000506253880218,0.0004005184969579175,1.506601563899913e-05
train,15,5.476975089396352e-05,5.9950784499611926e-05,1.3131734020565168e-05,5.491182226867312e-05,5.411993346938901e-05,1.311426221670791e-05
train,16,0.00016343298258545124,0.00020019749624919839,1.5110126591801362e-05,0.00016215863126910963,0.00016109529804446984,1.4908852627320554e-05
train,17,0.00016465483939986407,0.0002874728779683309,1.4523566448674446e-05,0.00016484678022751615,0.00016462307541785225,1.4339923449345069e-05
train,18,0.00010785202381527966,0.0001155367079711389,1.3003787087564301e-05,0.00010884683964582255,0.00010943047337760289,1.281621520922922e-05
train,19,0.0001712619995050183,0.00021661234758389527,1.3464305226679047e-05,0.0001704242268851213,0.00016805531208555612,1.330000649358323e-05
train,20,6.563450252827254e-05,6.963627863182292e-05,1.3384593863484021e-05,6.518538590552221e-05,6.447455910884251e-05,1.3415948163482342e-05
train,21,4.52619836466126e-05,4.778389087517192e-05,1.4390565953659281e-05,4.51551437118196e-05,4.4774794015524956e-05,1.4407778254631568e-05
train,22,0.00024773590936562405,0.0004138346780501491,1.452983471133404e-05,0.0002468466834548965,0.00024503592067942826,1.4348100701294993e-05
train,23,0.0005070539936356623,0.0005066730470513944,1.4064364467597219e-05,0.0005119675131812599,0.0005108679382441986,1.3600106723275449e-05
train,24,0.0005115068929611522,0.0005136672691139572,1.5017790155190368e-05,0.0005067934673719549,0.000505254960757765,1.3712971095988018e-05
test,0,0.00013570466697931664,0.00014113181513151504,1.3858839045202032e-05,0.00013671162064134742,0.00013732997013916036,1.3693375603748957e-05
test,1,8.030473260468003e-05,8.341295915436278e-05,1.2716845127671314e-05,7.970892223438352e-05,7.809833376838197e-05,1.2666242560122773e-05
test,2,0.0001186321717757438,0.00012593973912725033,1.4405023966230888e-05,0.00011979961353882734,0.00011989353004278486,1.4183545409072618e-05
test,3,7.70841249442102e-05,7.984166260302264e-05,1.3619153975652743e-05,7.67832234678347e-05,7.764570745466745e-05,1.365661011642229e-05
test,4,4.193322658947983e-05,4.344619169198789e-05,1.3942132587895552e-05,4.202768353899103e-05,4.0496414867887406e-05,1.3938349764130408e-05
test,5,0.0003044647808311673,0.0003053644261007466,1.4679479748398358e-05,0.00030220949120904204,0.0003025984548121091,1.4597991709935976e-05
test,6,1.564310428107176e-05,1.595426482732832e-05,1.3621337920434512e-05,1.5647448966064776e-05,8.30447599395141e-06,1.362122980239823e-05
