split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,0.001810573276687473,0.0018240986901024272,0.0015320029124380277,0.0018011943311835184,0.0009200204758245813,0.001531237899332812
train,1,0.0023525619132839033,0.0023489838571361258,0.0013884778413311364,0.002414791691233634,0.0018480885266250237,0.0013882069897650526
train,2,0.009906261818914157,0.01016459321901768,0.00148403143165544,0.009539491350675024,0.009514810024005855,0.0014382669597296349
train,3,0.00433098687630114,0.007193652802240104,0.0013842209999398065,0.004273472723838421,0.00404562890703937,0.0013690949359504532
train,4,0.006222556173039996,0.006085630186843112,0.0014464822866030586,0.006436101225901924,0.00612262288237263,0.0014547665842123483
train,5,0.005188304557276724,0.005465110757174416,0.001312946812146336,0.005060275276649023,0.004939678010707577,0.0013150839676000948
train,6,0.001464722775769718,0.0014598062641088079,0.0014410369578811957,0.0014643295532509436,0.00021649931334995846,0.0014409951819569383
train,7,0.0062038478181590225,0.007275051234500954,0.0014530629009804057,0.006037143231995909,0.005948417452885692,0.0014456402319929628
train,8,0.0022731749356268687,0.0026592287252335785,0.0013682262655826314,0.002311885193654909,0.0018942823323027551,0.001363466964245298
train,9,0.004241229643865688,0.004565886460130909,0.001504063852823258,0.004419247883228265,0.0040461018809366395,0.0014824949368827912
train,10,0.0035200334136215776,0.0036050358453378183,0.0015359834158442367,0.003676278191792477,0.0033264135828178333,0.0015277494188209169
train,11,0.00981601075847323,0.01270310570087034,0.0015499829970250956,0.010177418411720799,0.009900321861569864,0.001488278673742678
train,12,0.0024178707335416327,0.002507559819164687,0.0014005404843334774,0.0023872096955551694,0.002025209048382222,0.0014028231654326653
train,13,0.0013929783808513928,0.0013845403449657305,0.0013855415547134168,0.0013928655224299822,8.671754250297717e-05,0.0013854820484377126
train,14,0.00981103532091469,0.012351893666089797,0.0015745378361511678,0.009463812083003412,0.009418980573530545,0.0015066015639051608
train,15,0.001879073180909888,0.0020331941327556917,0.0013136776109837474,0.0018921973340720111,0.0014457431750053962,0.0013114262216691337
train,16,0.00407672549064687,0.005012521271087158,0.0015185126291407292,0.0039512493932218245,0.0036233503555950742,0.001490885262731969
train,17,0.004281940897953722,0.007236961045898437,0.0014599458450585449,0.0043179799515465555,0.004119349271056944,0.0014339923449357684
train,18,0.003124480842142487,0.003357057009527419,0.0013085205688949198,0.003255751829605825,0.0031316482085951393,0.0012816215209207435
train,19,0.004367956708515592,0.005355277970809454,0.0013513791573056652,0.004272700872026559,0.003882048430923202,0.0013300006493596655
train,20,0.0020381147112391697,0.0021735896292667763,0.0013381288079600154,0.002000225806783814,0.001552840219697203,0.001341594816349178
train,21,0.0017774007155410953,0.0019165389857104603,0.0014386705075303638,0.001769488231198068,0.001239899432645509,0.0014407778254628477
train,22,0.0063504906477305995,0.010380477089265172,0.0014667543594261757,0.00627330594918448,0.005963226751637532,0.001434810070127079
train,23,0.013256281528667832,0.013175194811435665,0.0014545172162606676,0.013939485294791191,0.013781316570835284,0.001360010672325087
train,24,0.012410604726468127,0.012348711534432991,0.0015443421118351015,0.011878539568009048,0.011664658607340634,0.0013712971095979647
test,0,0.0037727549954345552,0.0039625887290337366,0.001393074786541921,0.0039069672878985695,0.0037934737857643745,0.0013693375603808817
test,1,0.002282447487536827,0.002324442229748151,0.0012731869865533242,0.002225695603042409,0.001773644461982715,0.0012666242560108354
test,2,0.0034459749941902194,0.003658127812597424,0.001450376888895999,0.003599799386942496,0.003409053971214505,0.0014183545409096267
test,3,0.0022992020130761736,0.0024815494466259636,0.001361167436988392,0.0022696432828139186,0.002030793342358901,0.0013656610116382336
test,4,0.001713017552433841,0.001767750203363414,0.0013943252914044965,0.0017207652034214407,0.0010967243754456937,0.0013938349764158117
test,5,0.007521749766490162,0.007599371430192289,0.0014740088740179548,0.007265996683954644,0.007192992293878371,0.001459799170993348
test,6,0.0013718725192263346,0.0013808877546691494,0.0013621366783825761,0.0013720441662065598,0.00026137930465742294,0.001362122980243036
