split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,0.0009858131993161277,0.0010193456992825573,0.000155459284940745,0.0009676721057281783,0.0009509003744646073,0.0001531237899332567
train,1,0.0019155568923008516,0.0019787456695995152,0.00016311928196269577,0.001995457268408397,0.0019774393906549365,0.00013882069897650035
train,2,0.009805424149011276,0.010006887046761911,0.0004387785539911905,0.009435470714537122,0.00944277711673668,0.00014382669597294274
train,3,0.004111635994055237,0.006992770767703595,0.0003554838039058213,0.004043721478691887,0.004041127887525637,0.00013690949359508272
train,4,0.00605802381567794,0.006057483062767387,0.0002410036371256786,0.006276926849572709,0.006260077020287332,0.00014547665842124365
train,5,0.00502069113612578,0.005227180591668309,0.00019633647256190418,0.004886817399816953,0.004890095724228023,0.00013150839676000285
train,6,0.0003029555081126573,0.00030620712916810673,0.00014416613472388045,0.00030088715960465486,0.0002593488415143118,0.00014409951819571455
train,7,0.006037931463297501,0.007093536204481432,0.00026257782154432525,0.0058663332354557856,0.0058731799314600255,0.00014456402319929925
train,8,0.0018235057157399144,0.002241169481242782,0.00016096331365304738,0.001872437030595775,0.0018701129133140168,0.0001363466964245638
train,9,0.003988456407939679,0.004380819604177539,0.00029477270807262186,0.004184166797889148,0.004169565081579321,0.00014824949368828747
train,10,0.003175918703663816,0.003291955885882252,0.00024147246535543386,0.0033477122936150174,0.003342444919659463,0.00015277494188207594
train,11,0.009708985433718214,0.012752244076489783,0.0004959848010918987,0.010078022674138527,0.010060005791179332,0.00014882786737422431
train,12,0.0019821972088980033,0.0019995006496308226,0.00014299073957240978,0.0019442680484392087,0.0019477810762193615,0.0001402823165432877
train,13,0.00022679735308721367,0.00022870348649846686,0.0001386114548932394,0.0002260745984136763,0.000168900153140687,0.00013854820484373586
train,14,0.009698169138199337,0.012203300661238285,0.0005047694223652434,0.009347956863120925,0.009354299747958364,0.00015066015639050864
train,15,0.0013527134492593842,0.0014702670594321037,0.00013500304767839817,0.0013716595585589733,0.001373337640187894,0.0001311426221668808
train,16,0.0037979258973102293,0.004797971747862442,0.0003128702816568597,0.003662827964326408,0.0036558280651121655,0.00014908852627319255
train,17,0.004038718290305656,0.007107570763458707,0.000287523539548103,0.004077297581693335,0.004079348356286311,0.00014339923449353773
train,18,0.00284729801821437,0.0029751576618908732,0.0002164228822913248,0.002991527032129354,0.0030021278165278864,0.00012816215209210174
train,19,0.004164595821926802,0.005341989172915182,0.00020111477450996865,0.00406498247444633,0.004044338190793614,0.0001330000649359944
train,20,0.0015463413479973743,0.0016516835269400224,0.0001458899777237567,0.0014945013248531416,0.001495036725013191,0.00013415948163486558
train,21,0.001071930825463417,0.0011073549418564844,0.00014265083978732326,0.0010583214475971187,0.0010679695371119346,0.00014407778254624834
train,22,0.0061958750032062365,0.010403561241922772,0.00041274825963594886,0.006110651378872948,0.006094404933010649,0.00014348100701274826
train,23,0.0131888838023253,0.013195071897217846,0.0006442746544869808,0.013874550100524873,0.013864592474686068,0.00013600106723255125
train,24,0.012332122037574583,0.01239637715315419,0.0006175852607611076,0.011797033746367968,0.011782704162551554,0.0001371297109597996
test,0,0.0035139079129965552,0.0036106137491198516,0.00021800331562137063,0.003657003777678931,0.003667610220949139,0.00013693375603809714
test,1,0.0019048009659791056,0.0020091494426909486,0.00015750987549577105,0.001837507219491875,0.0018269140584627772,0.0001266624256010953
test,2,0.003138983421282182,0.00325465725720651,0.000246304056003891,0.0033099645703034636,0.0033166624074468815,0.0001418354540910135
test,3,0.0018698104885243592,0.0019123155464029033,0.00013717546003304496,0.0018335076429644012,0.0018491467585570363,0.00013656610116377958
test,4,0.0010088714941336224,0.0010388877719762484,0.00014045855010463756,0.0010215523271630222,0.0010203857890596173,0.000139383497641546
test,5,0.007384482825500512,0.007398002713929346,0.00030688303187976986,0.0071237481512856,0.007129681717458456,0.00014597991709933597
test,6,0.0002376363828585876,0.0002458989591243274,0.00013623058255651056,0.000238528707166303,0.00020106164160194442,0.0001362122980242901
