split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,4.2705546200343674e-05,4.419679932979365e-05,1.5726196000159104e-05,4.255671233176086e-05,4.035357058874902e-05,1.5721282214395744e-05
train,1,7.419745462803164e-05,7.747357447747665e-05,1.4411009831803362e-05,7.475417258822837e-05,7.268010473907377e-05,1.4383071902298839e-05
train,2,0.0004049971488772764,0.0004106834784756986,1.4491738576181778e-05,0.00040177472626126503,0.00039913877828780345,1.339493483777593e-05
train,3,0.0001766651197618584,0.0002880010566626974,1.3279562987714957e-05,0.00017590906948304022,0.0001760118631363248,1.3066606476414485e-05
train,4,0.00023577583435905596,0.00023732198257556128,1.4263630371761424e-05,0.00023739006047670394,0.00023767677380170078,1.4077814676694431e-05
train,5,0.00020584050702828212,0.00021381334144719908,1.3872715037149215e-05,0.0002047063147101024,0.00020393362244269287,1.3831438618662343e-05
train,6,1.7153161344314194e-05,1.7286513530827515e-05,1.3365353096615435e-05,1.7141055928204997e-05,1.06414028735286e-05,1.3365368513208882e-05
train,7,0.0002488127451496118,0.00029189440168058843,1.4523765270375472e-05,0.00024734598090485685,0.00024839417307195546,1.4486971246255787e-05
train,8,7.082217644539376e-05,8.867005042328625e-05,1.425058917712747e-05,7.115477477064799e-05,7.063609512779733e-05,1.4169152917293253e-05
train,9,0.0001496982169242606,0.00016964028302939664,1.5312682729387922e-05,0.00015103173538377152,0.00015209996196940487,1.5074353249278865e-05
train,10,0.000119878851818792,0.00012601349648366789,1.4190148823625332e-05,0.0001210570158843898,0.00011969307786819954,1.414283697791539e-05
train,11,0.00037299054334425996,0.0005011145304160509,1.483795547821308e-05,0.00037570906305527834,0.0003762912402244614,1.4190069339568466e-05
train,12,8.180859319234293e-05,8.242505945335588e-05,1.5216465662958283e-05,8.149520064467e-05,8.057280203793876e-05,1.5218734868831591e-05
train,13,1.5990303957977658e-05,1.6139516716940295e-05,1.4270273624676696e-05,1.5986767297728805e-05,7.235636794048739e-06,1.4270040972522777e-05
train,14,0.0004030734492226009,0.0005001909170443603,1.5145606327060742e-05,0.00040003889155653077,0.0003996083939032064,1.4488665051921368e-05
train,15,5.482087495739688e-05,5.988312136995627e-05,1.3388415395722681e-05,5.496428003506187e-05,5.409989850130062e-05,1.3376078278904817e-05
train,16,0.00016336296619834902,0.00020181919015358353,1.4187421772063362e-05,0.00016210185921515676,0.00016220384187354267,1.4219783763495698e-05
train,17,0.00016453975880068538,0.0002862009850414432,1.3198244756023667e-05,0.0001647239351055875,0.00016332295925415504,1.290891830574003e-05
train,18,0.00010788135388944414,0.00011267744923658536,1.339559107598897e-05,0.00010887565519813135,0.0001064114048172454,1.342884727628834e-05
train,19,0.00017130293677055148,0.00021759375047243417,1.3819634473518779e-05,0.00017046079110680346,0.0001700187722256351,1.3719050382068831e-05
train,20,6.579095891803072e-05,7.085816241179985e-05,1.4278884385334637e-05,6.533960726505216e-05,6.576250508055127e-05,1.4329800467969492e-05
train,21,4.5277396256293e-05,4.567880813914033e-05,1.4339184941446617e-05,4.5169911785418455e-05,4.2583273375124576e-05,1.433697319550724e-05
train,22,0.0002477071004988899,0.00041713979586082084,1.4176342359139307e-05,0.00024679932539221596,0.0002476738843701357,1.3836744372231828e-05
train,23,0.0005070582370152043,0.0005087707063610095,1.4580405385484498e-05,0.0005119708710950491,0.0005129556158699699,1.3347766365016206e-05
train,24,0.0005115374619847637,0.0005146438565101355,1.6204237568598744e-05,0.0005068262147467347,0.0005061142512267579,1.5328818291735536e-05
test,0,0.00013589361347123268,0.00014061402350822508,1.5590139881777597e-05,0.0001368983347196755,0.0001365869899690653,1.5470605833418225e-05
test,1,8.052409604700876e-05,8.330131072710267e-05,1.4061889307330328e-05,7.993319113134661e-05,7.773019695390783e-05,1.3986239172667519e-05
test,2,0.00011874829498692067,0.00012687961841794754,1.5360914299473945e-05,0.00011991960329085755,0.00012107227725080103,1.5101153934331412e-05
test,3,7.709317577415312e-05,7.690064765198273e-05,1.3549307291274297e-05,7.679307112664787e-05,7.451162964787178e-05,1.3521501028131542e-05
test,4,4.217213463175152e-05,4.4225861761402835e-05,1.472277974824067e-05,4.226422098701478e-05,4.079701653167648e-05,1.4712315032099258e-05
test,5,0.00030436841728524337,0.00030565776619319535,1.2563037923146875e-05,0.00030211365163564845,0.00030291815260176673,1.2554400449992189e-05
test,6,1.6359675079115825e-05,1.6975851192451395e-05,1.4495289182760851e-05,1.6363622193520957e-05,8.676887761946378e-06,1.4494687025685124e-05
