split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,0.001568619117222748,0.0015733210061639516,0.0015721319929765615,0.0015686071284661102,0.00014224781694733237,0.0015721282214450946
train,1,0.0014363313786440058,0.0014380991058596177,0.0014383187841092893,0.0014363260962869228,7.836854823497576e-05,0.001438307190230614
train,2,0.001378505095608969,0.0013226640172627022,0.001340184152922097,0.0013774564313868204,0.00016351347823251067,0.0013394934837777975
train,3,0.001316585238266782,0.0013417707280907849,0.0013065702964195002,0.0013165530381278694,0.00023494917263806457,0.0013066606476454684
train,4,0.0014243988775273161,0.0014401438339365859,0.0014078768097668254,0.001424654947114641,0.0003138906750844467,0.001407781467674491
train,5,0.001396977344680257,0.0013972715743118774,0.0013831264883699568,0.0013968545324651255,0.00018247242255406255,0.001383143861872343
train,6,0.0013365392674531485,0.0013365182980462909,0.0013365368166110049,0.0013365392503084791,5.32975466208602e-06,0.0013365368513163604
train,7,0.001458524292005959,0.0015039125875446176,0.0014486162028766198,0.0014582259377187354,0.0004079439310620519,0.0014486971246207559
train,8,0.001414698499607664,0.001423449714734848,0.0014169829650272601,0.00141466807892813,0.00017022184746373802,0.0014169152917322017
train,9,0.0014960999126956021,0.0015303863601967172,0.0015075526116769677,0.0014962942554291386,0.0003700572648581684,0.0015074353249209791
train,10,0.001405913044321917,0.0014146952349239044,0.00141425832974325,0.0014060087009365961,0.00019576754793310724,0.0014142836977907858
train,11,0.0014638843537103166,0.0015569347577203694,0.0014191837100603019,0.0014645730626662002,0.0004652098084767654,0.001419006933956002
train,12,0.0015180483037197546,0.0015258575978562253,0.0015218678340972534,0.001518026613704687,0.000179799539702553,0.0015218734868854486
train,13,0.0014264013620034605,0.0014269202586528838,0.0014270043273139452,0.0014264011168980614,4.270625759709226e-05,0.0014270040972545349
train,14,0.0015038286028721513,0.001497450042054328,0.0014489923228810466,0.0015029406477336756,0.000383113177359443,0.0014488665051932636
train,15,0.0013301916502655043,0.0013426839971097326,0.0013376190539781095,0.0013301962899751234,0.00018364646724804005,0.00133760782788022
train,16,0.0014206405785556757,0.0014576069330189498,0.0014217622945349436,0.0014206519067074925,0.00028261292287439616,0.0014219783763488947
train,17,0.001296729483148347,0.001292828808946444,0.001291025881809555,0.00129663258656132,9.585334331716725e-05,0.0012908918305715431
train,18,0.0013357649564476708,0.0013353352842154782,0.0013427958057864707,0.0013358139388001985,7.998771474421542e-05,0.0013428847276275484
train,19,0.0013818293181638319,0.0013778024825357538,0.0013719606081454964,0.0013816629162873688,0.00018608405630170583,0.0013719050382061673
train,20,0.0014205429222446952,0.001443125361112755,0.0014329180775927992,0.001420520742748839,0.0002599643635672771,0.0014329800467968402
train,21,0.0014311105484059894,0.0014337121234484994,0.0014336990331169398,0.0014311074919811009,9.332255087393571e-05,0.0014336973195577087
train,22,0.0013993704172890159,0.0015010005834577066,0.0013836791008709404,0.0013991028593112289,0.0003723572221977789,0.001383674437217049
train,23,0.0014227542642456304,0.0014672672179699873,0.0013351825950685774,0.0014245449919810858,0.0006298311197944739,0.001334776636495033
train,24,0.001609660740474245,0.0016032385393494628,0.0015329974455901678,0.0016082169854201498,0.0004759889380685617,0.0015328818291712296
test,0,0.0015488910866695827,0.0015580924980630767,0.0015471346288881973,0.0015489701387363538,0.0002170096940692783,0.0015470605833430198
test,1,0.001390795520918121,0.0013955380564838857,0.0013986804010149459,0.0013907665506332494,0.00013595785586226902,0.0013986239172653762
test,2,0.0014988997202623662,0.0015331153972217837,0.0015103115619832862,0.0014989711609285372,0.00033798262988647535,0.0015101153934372015
test,3,0.0013499007207827712,0.0013483365978712012,0.0013521741599145755,0.001349883877781705,3.3508398609432454e-05,0.0013521501028146011
test,4,0.0014621741506699066,0.001475187211042421,0.0014712415888981608,0.0014621737782899188,0.00019631248747756184,0.001471231503208869
test,5,0.0012842805328590818,0.0013167300273396773,0.0012552416419520653,0.0012837653438263598,0.0004153825348794284,0.0012554400449969563
test,6,0.0014397462201133269,0.0014499504432429631,0.0014494693017343848,0.0014397461786079318,0.00017164696480481318,0.0014494687025661745
