split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,0.00175761272643623,0.0017929414467284983,0.0014719777292434174,0.0017477891606755063,0.0009682885427456544,0.0014730501562114473
train,1,0.0023444910197399447,0.0022657722129261035,0.0013766787580464569,0.0024113887614209675,0.0018154875157886943,0.0013862277913908843
train,2,0.009916499927611941,0.009929292337266164,0.0015424234244532944,0.009548238272492971,0.009289797626863442,0.0014294320174093596
train,3,0.004334336656207562,0.006970268827391261,0.001443215816670763,0.004256961637946627,0.003951237050062395,0.001363142419575679
train,4,0.006228592706646506,0.006212281434119218,0.0014708840145164753,0.006441504259075536,0.00624012589753773,0.001460694279047904
train,5,0.005208438171956413,0.005301894338374078,0.0014097522396482132,0.005078124178931382,0.004796453640248089,0.001388102409265637
train,6,0.0015502718803326937,0.0015480034115376079,0.0015328597537049068,0.0015498846810339472,0.00024619200585509164,0.0015328695707075319
train,7,0.0062046842023770615,0.007198233737214028,0.001454674951950868,0.006035381450229466,0.005950101167654926,0.001434685572536677
train,8,0.002327995727397123,0.0027944079340253723,0.0014628287698813952,0.0023625596721274407,0.002009111359599363,0.0014498143089943189
train,9,0.0042460168571766,0.004618487741579848,0.0015153830444045247,0.004422995368147205,0.004076366112586095,0.0014871294144264823
train,10,0.003446184350201824,0.003514247424356042,0.0013465974679070937,0.0036112232095970326,0.003361254789618005,0.0013458476478887672
train,11,0.009817101079429423,0.01290828110712837,0.0015197725370882287,0.010182154815805155,0.01001848316843931,0.0014560010034850273
train,12,0.0023663876283639526,0.0021974206689240783,0.0013195072260566486,0.002334719758072262,0.001724514274194709,0.0013127874992562058
train,13,0.0014462072039837168,0.0014435320875174035,0.0014369387638899912,0.0014460982829053043,0.00011261771252571615,0.0014368968320456431
train,14,0.009802250328047192,0.012190115500978295,0.001562722759636788,0.009450252588579393,0.009412868419050986,0.0014634298779645754
train,15,0.0019374043493902357,0.0019488405342019685,0.001397511291225105,0.0019506765832437052,0.0012728720285003646,0.001398587848208915
train,16,0.004053541183148705,0.004989610158051312,0.001455481117232751,0.003930023994272202,0.0036308438904128436,0.0014355274045865613
train,17,0.0042663952760752894,0.007373777568044406,0.0013874323176234398,0.0043081770803794885,0.004130639918563688,0.0013791243198325565
train,18,0.0031407561738355278,0.0032182875914570142,0.0013531833338540518,0.003269344148002816,0.002924902686726646,0.0013441608820099166
train,19,0.0043758801796324465,0.005438641962781055,0.001360739528437254,0.004283011577494701,0.003999940182688724,0.0013547901194094043
train,20,0.002181028401499494,0.002238621817499275,0.0015460544639215546,0.0021464715200703206,0.0014195612589913303,0.0015459872119667469
train,21,0.0017015883125270593,0.001639207810924488,0.0013327249985715084,0.0016926720395772654,0.0009547496284832785,0.0013312214537945807
train,22,0.006343686547976981,0.010604896423907328,0.0014566326879365717,0.006259578971718562,0.006090024933793077,0.0014106759711393448
train,23,0.013257380568680378,0.013244869135405634,0.001528282490965217,0.01393834581834663,0.013832601814735253,0.0013978745785812752
train,24,0.012392960347469895,0.01263726929995359,0.0014261103649764947,0.011861405047389247,0.011947237761181125,0.001362261832627057
test,0,0.0037987332467050556,0.003918115595268145,0.001478132470466266,0.003931691770382146,0.0037223230369062203,0.0014542143921410608
test,1,0.002404198726088739,0.0024649752892282467,0.0014738504572611643,0.0023521785681611855,0.0017756692942061819,0.0014701197695674581
test,2,0.0034181839325665175,0.003591191595104187,0.0014002386566966873,0.0035714337889459088,0.0033568905760173275,0.0013685628820617208
test,3,0.0024541227307174245,0.0027049270328736103,0.0016433244406337943,0.0024270641193477713,0.00210777918281451,0.0016499438430055671
test,4,0.0017718934591357096,0.0018629122790853124,0.0014817158334835964,0.001778845253666251,0.0011335380090166578,0.0014803663464774918
test,5,0.007512355741011723,0.007504996496545234,0.0014020922075827565,0.007255649914199514,0.0071205911677026034,0.0013736235986822668
test,6,0.0014347306052858047,0.001434384127524,0.0014241123286333976,0.0014348779955874148,0.00020047581467223506,0.001424119718983299
