split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,3.9723541889434494e-05,4.105527093471028e-05,1.9053197019480958e-07,3.9566701357044626e-05,3.9566701357044626e-05,0.0
train,1,7.280316761684085e-05,7.654976157303851e-05,6.897038599171851e-07,7.337732847569596e-05,7.337732847569596e-05,0.0
train,2,0.00040476444884190646,0.00041308096171099477,3.4929222879834913e-06,0.00040154377688226623,0.00040154377688226623,0.0
train,3,0.0001762006663835028,0.0002875251522550226,2.837639246872803e-06,0.00017543737547057046,0.00017543737547057046,0.0
train,4,0.00023534970470500175,0.0002361344475158096,1.6148858659044398e-06,0.00023696754834356092,0.00023696754834356092,0.0
train,5,0.0002053733294973236,0.00021351324607996245,1.2808323862136237e-06,0.00020423349234546342,0.00020423349234546342,0.0
train,6,1.0752050853824295e-05,1.1041080942638122e-05,2.282128753418782e-08,1.07325542528211e-05,1.07325542528211e-05,0.0
train,7,0.00024839693418111404,0.0002901796244050734,1.8564597068612352e-06,0.000246930674339638,0.000246930674339638,0.0
train,8,6.938071439629871e-05,8.689952100470178e-05,6.329386112103095e-07,6.972967839819711e-05,6.972967839819711e-05,0.0
train,9,0.00014891730668685442,0.00016773409082863674,1.93478131318903e-06,0.0001502518860259611,0.0001502518860259611,0.0
train,10,0.0001190677790338512,0.0001258014274600083,1.4418113393408465e-06,0.00012025450949498002,0.00012025450949498002,0.0
train,11,0.0003727090791518783,0.0004993023040429591,3.7321442991147184e-06,0.00037542978324867153,0.00037542978324867153,0.0
train,12,8.039111145258616e-05,8.065925051292254e-05,3.225412263876018e-07,8.0073030411003e-05,8.0073030411003e-05,0.0
train,13,7.22647863185095e-06,7.735698486976284e-06,8.648623863044824e-09,7.219063228555357e-06,7.219063228555357e-06,0.0
train,14,0.00040280877772674135,0.0005010590877200063,3.997721201220251e-06,0.0003997751431913914,0.0003997751431913914,0.0
train,15,5.317858511512553e-05,5.748089367236896e-05,1.7370908137132788e-07,5.3326692629841974e-05,5.3326692629841974e-05,0.0
train,16,0.00016275312219197913,0.0001997544669103943,2.2974497683321787e-06,0.00016147335131099817,0.00016147335131099817,0.0
train,17,0.00016403288516517097,0.00028726209754096596,2.0331594952229518e-06,0.00016422694690831487,0.00016422694690831487,0.0
train,18,0.00010707906730725361,0.00011334253229841466,1.229304509374022e-06,0.00010808484602407024,0.00010808484602407024,0.0
train,19,0.00017075047288217106,0.0002178792767181724,1.1215020235943207e-06,0.0001699107225662326,0.0001699107225662326,0.0
train,20,6.426348058401271e-05,6.759763657068425e-05,5.67941608719343e-07,6.380164544911316e-05,6.380164544911316e-05,0.0
train,21,4.295973247502625e-05,4.35841253702355e-05,1.2014234574883912e-07,4.284631698047223e-05,4.284631698047223e-05,0.0
train,22,0.0002473336554723158,0.00041491105991412126,3.0787850269764513e-06,0.0002464304905860263,0.0002464304905860263,0.0
train,23,0.0005068758641648951,0.0005074764507529944,4.881052405474978e-06,0.0005117893415919707,0.0005117893415919707,0.0
train,24,0.0005113158577828259,0.0005148470943498761,4.929808848700558e-06,0.0005066010579365486,0.0005066010579365486,0.0
test,0,0.0001350042664151074,0.0001392273270896143,1.198358711951305e-06,0.0001360165948709,0.0001360165948709,0.0
test,1,7.930422062773162e-05,8.305844012459559e-05,7.397940818891844e-07,7.870328159651882e-05,7.870328159651882e-05,0.0
test,2,0.00011777219360385044,0.00012378887828311448,1.416964433439707e-06,0.00011895579212901951,0.00011895579212901951,0.0
test,3,7.590123833377369e-05,7.6764508141262e-05,3.212287458512163e-07,7.559635591664815e-05,7.559635591664815e-05,0.0
test,4,3.9557793451833304e-05,4.0488468479825275e-05,1.0665349301698397e-07,3.965702326963241e-05,3.965702326963241e-05,0.0
test,5,0.0003041244450413137,0.0003043333075780703,2.291446571050968e-06,0.0003018671409541426,0.0003018671409541426,0.0
test,6,7.766359477947855e-06,8.047578864218425e-06,9.37460266884788e-09,7.774839847043398e-06,7.774839847043398e-06,0.0
