split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,0.00015247995530550006,0.00015805112469048464,0.00015312875110537244,0.0001524857668752931,1.389487193387895e-05,0.0001531237899332567
train,1,0.00013820220253836434,0.0001542608650451989,0.0001388012571168287,0.00013816459562866407,1.3840646092148154e-05,0.00013882069897650035
train,2,0.00014369410133086184,0.00044327511226534093,0.00014374689629777828,0.00014358488514843557,8.365102326179484e-06,0.0001438266959729398
train,3,0.00013673724596463964,0.000325676995984881,0.00013671611262874712,0.0001369181178066637,2.8237547807305145e-06,0.00013690949359507893
train,4,0.00014396930887501433,0.0002633413837360527,0.00014530569918801823,0.00014397395815745034,2.090982658185287e-05,0.00014547665842124438
train,5,0.00013081344456378967,0.000258213945406842,0.00013142132829402302,0.00013086324420670745,1.3224954142785263e-05,0.00013150839676000285
train,6,0.00014401863531446265,0.00014423696384356944,0.00014409983259808988,0.00014401896682866963,4.809708765383307e-06,0.00014409951819571455
train,7,0.00014431284078546323,0.0003280133089069981,0.0001444917797148348,0.0001442970780868906,9.246318876357776e-06,0.00014456402319929925
train,8,0.00013629196652226974,0.00016445997496095788,0.00013636662236730978,0.0001362774741542365,4.157122100712269e-06,0.0001363466964245638
train,9,0.00014769858582240963,0.00021863641308050106,0.00014825699457186726,0.0001475672967389686,1.5332371287578158e-05,0.00014824949368828747
train,10,0.0001527239482145229,0.00019628659255532157,0.0001527545610155681,0.0001527234893836856,4.41866746382658e-06,0.00015277494188207594
train,11,0.00014806734790477326,0.0005062386545044749,0.00014876889490368755,0.00014781032853517631,1.9393634122734105e-05,0.00014882786737422431
train,12,0.0001395158318470695,0.000166519385988517,0.00014025952657658767,0.00013951901258903678,1.4666265420766256e-05,0.0001402823165432877
train,13,0.00013812762115534213,0.0001381889101455976,0.0001385486792394083,0.00013812766815557206,1.078830981133513e-05,0.00013854820484373586
train,14,0.00015062949510670512,0.000529214431450062,0.00015064272166027045,0.00015048385220779983,9.048926294812794e-06,0.00015066015639050864
train,15,0.00013090958594296845,0.00014725160779677335,0.00013115906916482355,0.00013090208478396426,7.922813537966155e-06,0.0001311426221668782
train,16,0.0001485882869098308,0.0002483513667934442,0.00014913183622869265,0.00014855736483224824,1.2122533010201261e-05,0.00014908852627319066
train,17,0.00014331507407500403,0.0003197466933830622,0.00014345432232629039,0.0001432764390125309,5.657582089203198e-06,0.00014339923449353657
train,18,0.00012718185431485367,0.0001806973318664228,0.00012829796407574833,0.0001271352304938399,1.5751276163876434e-05,0.00012816215209210174
train,19,0.000131302108923023,0.0002405967451875612,0.0001331227658853122,0.00013128991087110988,2.0745258603510505e-05,0.0001330000649359944
train,20,0.00013383479158442411,0.00015351234037937604,0.00013411733807061925,0.0001338469417979195,9.39989657443255e-06,0.00013415948163486558
train,21,0.00014271142774927793,0.00015626703137328098,0.00014406012862035997,0.0001427137682542735,1.977774712770818e-05,0.00014407778254624834
train,22,0.00014260955098404043,0.00042633184053436824,0.0001433665586817684,0.0001427768928637181,1.6796164810711926e-05,0.00014348100701274893
train,23,0.00013520254239735797,0.0005157822163702557,0.00013568457054898502,0.00013517839303667166,1.485019915164021e-05,0.00013600106723255125
train,24,0.00013647604469860792,0.0005194775841267173,0.00013769791189054636,0.0001363787897756302,1.4309775288548641e-05,0.00013712971095979662
test,0,0.00013624911508393892,0.0002039593663818561,0.00013705297447641463,0.0001362359803762149,1.3471207269103914e-05,0.00013693375603809714
test,1,0.00012614316418505875,0.0001480807560713233,0.0001266936813566255,0.00012612429638116923,1.1620680522208932e-05,0.0001266624256010953
test,2,0.00014137244789756524,0.00019697859748859514,0.00014199487136625153,0.00014129340283098902,1.1810144867658732e-05,0.0001418354540910135
test,3,0.00013499786827783563,0.00016582241545980232,0.00013652529013819076,0.00013499284458394595,2.0685981909966617e-05,0.00013656610116377958
test,4,0.00013910092096982077,0.00014699270213226537,0.00013938691369563984,0.00013910337368325487,8.841512232191127e-06,0.00013938349764154855
test,5,0.00014568306127390684,0.00034363438556457516,0.0001458997508121258,0.00014565015834498517,9.809630425130533e-06,0.00014597991709933597
test,6,0.00013579386847705277,0.0001366049964363597,0.00013621240323934852,0.0001357940218463445,1.0679054309262476e-05,0.00013621229802429077
