split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,3.2283253289228054e-05,0.0010095298172045106,2.8158314362350825e-05,1.6491959566327108e-05,5.124830330553823e-06,1.5312378993319748e-05
train,1,0.00012931556679056925,0.001981643666945055,9.048696023859777e-05,4.547715371374232e-05,4.4644275022859366e-05,1.3882069897654068e-05
train,2,0.000424609986856264,0.01000019924742074,0.00041935386963819004,1.957693004083801e-05,1.3736319415190393e-05,1.4382669597292365e-05
train,3,0.0005211099267467759,0.006984330615941317,0.0003382450838292139,0.0003195901847694014,0.00031910510472512487,1.3690949359542183e-05
train,4,0.00021682006288096256,0.0060702131837570734,0.0002079094513207588,1.6939433124955513e-05,9.618171761293595e-06,1.4547665842113677e-05
train,5,0.00016037012654376704,0.00521757689903985,0.00015528523065372126,1.7049057177102007e-05,1.2164398478971568e-05,1.315083967602052e-05
train,6,1.475444240024595e-05,0.0002739504947443421,1.4721764109272097e-05,1.4416543501809924e-05,4.5452433497961327e-07,1.4409951819542673e-05
train,7,0.0002616300231196008,0.007088275696484727,0.0002256337016114612,8.496857534404399e-05,8.43466451019476e-05,1.4456402319970971e-05
train,8,0.00012949300996293345,0.0022324013132489213,8.32853677423133e-05,6.553657705047326e-05,6.389145401136087e-05,1.363466964245159e-05
train,9,0.00039210897484209844,0.004384270717849851,0.000255308512050309,0.00017113566865670433,0.00017166475606973322,1.482494936881846e-05
train,10,0.0002761115960543593,0.003290745142788075,0.00019020086920973876,9.96453903748379e-05,9.869969876151017e-05,1.527749418819215e-05
train,11,0.0006583354581127034,0.012764880201989811,0.00047719012667259,0.0003599713955822223,0.0003607390881083338,1.4882786737377965e-05
train,12,4.290163167622993e-05,0.001986040921394974,4.099579735381085e-05,1.4026644988479305e-05,2.831479404498545e-06,1.4028231654333967e-05
train,13,1.3854645480104752e-05,0.00019202462774193992,1.3955290022859921e-05,1.3813658050326942e-05,9.59489680870452e-07,1.3854820484391149e-05
train,14,0.0006028312075925407,0.012196635499130996,0.0004843531026542355,0.0002718176217788319,0.0002718039202118754,1.5066015638997697e-05
train,15,2.7586029970618204e-05,0.0014552331571905663,2.6667393735488157e-05,1.3613850105303594e-05,3.4072602330593648e-06,1.3114262216707633e-05
train,16,0.0003941462352598634,0.004796675438918251,0.0002741068532330193,0.00017481711737565107,0.0001736528633796464,1.4908852627313859e-05
train,17,0.0004045612921382286,0.007107402986941413,0.0002470059528890684,0.00028569186311411563,0.0002850550889663814,1.4339923449343907e-05
train,18,0.00023518759140378096,0.0029590687360394655,0.00016325342006933297,8.512457576877487e-05,8.299610477974216e-05,1.281621520922922e-05
train,19,0.0001777556266096125,0.005355393737656897,0.00013956521415090265,8.841041127589889e-05,8.580721353319781e-05,1.330000649357176e-05
train,20,9.206153213745325e-05,0.0016397512440801795,6.871981604936108e-05,2.9230945467435808e-05,2.6805837366406068e-05,1.3415948163482342e-05
train,21,2.0434900653061196e-05,0.001080048010852951,1.908705112000097e-05,1.4275801181742073e-05,2.0325975021971976e-06,1.4407778254631568e-05
train,22,0.0007055662978913047,0.010414676811510865,0.0003945741828135743,0.0005140718159906343,0.0005146557591280725,1.434810070129143e-05
train,23,0.000643129142700828,0.013203300372428178,0.0006401864780556036,1.3859585711844946e-05,4.620100766314888e-06,1.3600106723275449e-05
train,24,0.0005892366539775898,0.012407887174211749,0.0005904253232766343,1.5248915357408215e-05,6.476701279988572e-06,1.3712971095988018e-05
test,0,0.00020348329532776367,0.0035968102495663504,0.00015900427402954038,5.283940360838839e-05,4.974742017531332e-05,1.3693375603748957e-05
test,1,0.00011734966164558205,0.002010719495766503,9.020096407857783e-05,3.349829931511529e-05,3.0893374710265946e-05,1.2666242560122773e-05
test,2,0.0002693045290989315,0.003239309871938356,0.00018872745563732423,9.3843009628665e-05,9.166885537410991e-05,1.4183545409072618e-05
test,3,4.4568036723389064e-05,0.0018902410510820763,3.9941347648903415e-05,1.4008582907093213e-05,5.356571286390982e-06,1.365661011642229e-05
test,4,1.9313686030625756e-05,0.0010236326691126154,1.971038528558753e-05,1.39212837002507e-05,6.294666815725981e-07,1.3938349764138389e-05
test,5,0.0002785151997662397,0.007390420642354788,0.000276039874333772,1.4672216992979513e-05,2.5975385047441655e-06,1.4597991709935976e-05
test,6,1.3614436945678418e-05,0.00020283515201843105,1.3685240667450988e-05,1.3580006424525078e-05,9.899348057289076e-07,1.3621229802400423e-05
