split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,1.5244485625430182e-05,4.364375089338382e-05,1.5318405915115873e-05,1.5248679460647121e-05,1.3479365564224861e-06,1.5312378993319748e-05
train,1,1.3884575031945803e-05,7.693577882794726e-05,1.3878048789549425e-05,1.3819988104602276e-05,1.660998946650855e-06,1.3882069897654068e-05
train,2,1.4851046253582613e-05,0.00041395630770400425,1.4681512603243303e-05,1.435889638606919e-05,8.896645607156699e-07,1.4382669597292237e-05
train,3,1.4218193184539334e-05,0.0002886576061416456,1.3762182704676834e-05,1.397889702111599e-05,2.714879244937449e-06,1.3690949359543484e-05
train,4,1.4479656557374955e-05,0.0002349759280839918,1.445719403232161e-05,1.4397524177064118e-05,2.104728846172363e-06,1.4547665842109288e-05
train,5,1.3096745207305335e-05,0.00021480237086451992,1.3119899917448128e-05,1.3086724753777854e-05,1.4051063613987962e-06,1.315083967602052e-05
train,6,1.4401589928100717e-05,1.7925531859403858e-05,1.441028248257596e-05,1.4401897933892871e-05,4.775598536120295e-07,1.4409951819542673e-05
train,7,1.4591124108367238e-05,0.00029096765790648287,1.4491415616668238e-05,1.444552543637245e-05,1.4265839820215353e-06,1.4456402319969542e-05
train,8,1.3674166736024682e-05,8.847567160440517e-05,1.3667778656877801e-05,1.363597493183573e-05,4.807961453572446e-07,1.363466964245159e-05
train,9,1.5139760036699431e-05,0.0001677004135411591,1.4945586997834683e-05,1.4804572774939761e-05,2.514009473617412e-06,1.482494936881846e-05
train,10,1.5395719625675145e-05,0.00012647381317704067,1.5318292039696362e-05,1.5287398606727698e-05,9.633873870484683e-07,1.527749418819215e-05
train,11,1.5834098523923626e-05,0.0004980028044119416,1.5240680772301717e-05,1.5058817828268224e-05,4.16542480940508e-06,1.4882786737380555e-05
train,12,1.3952256947779874e-05,8.280744087851192e-05,1.4008767218418464e-05,1.395190879689585e-05,1.4766383743336908e-06,1.4028231654333967e-05
train,13,1.3812722978135315e-05,1.5358058497361476e-05,1.3855297302107781e-05,1.3812766790784038e-05,1.0779325399250422e-06,1.3854820484391149e-05
train,14,1.592713244936885e-05,0.0005019144513245528,1.551912082295797e-05,1.5205544999262661e-05,2.6968638761318002e-06,1.506601563899913e-05
train,15,1.3098917599082549e-05,5.9950784499611926e-05,1.3131734020565168e-05,1.3090247943883891e-05,7.800920074463187e-07,1.311426221670791e-05
train,16,1.5247503554160168e-05,0.00020019749624919839,1.5110126591801362e-05,1.493866123417118e-05,1.5777301199292411e-06,1.4908852627320554e-05
train,17,1.4754126664445384e-05,0.0002874728779683309,1.4523566448674446e-05,1.4530640326321381e-05,2.2071265362571636e-06,1.4339923449345069e-05
train,18,1.2867585041473858e-05,0.0001155367079711389,1.3003787087564301e-05,1.2727167030351702e-05,1.2603236304330915e-06,1.281621520922922e-05
train,19,1.3214076257776863e-05,0.00021661234758389527,1.3464305226679047e-05,1.3147284048439883e-05,1.6408779496620873e-06,1.330000649358323e-05
train,20,1.3392811526877573e-05,6.963627863182292e-05,1.3384593863484021e-05,1.338670288150239e-05,1.1321118295628152e-06,1.3415948163482342e-05
train,21,1.4269496375307231e-05,4.778389087517192e-05,1.4390565953659281e-05,1.4271377513238388e-05,1.9779791396565134e-06,1.4407778254631568e-05
train,22,1.502593713354081e-05,0.0004138346780501491,1.452983471133404e-05,1.4777395492070936e-05,4.72102396700043e-06,1.4348100701294993e-05
train,23,1.4316141009818544e-05,0.0005066730470513944,1.4064364467597219e-05,1.351784133294411e-05,1.5045926630253779e-06,1.3600106723275449e-05
train,24,1.4510036978798013e-05,0.0005136672691139572,1.5017790155190368e-05,1.3638021424671406e-05,1.4121719321379173e-06,1.3712971095988018e-05
test,0,1.3712795590320607e-05,0.00014113181513151504,1.3858839045202032e-05,1.3628165641852328e-05,1.0504746962767573e-06,1.3693375603748957e-05
test,1,1.2666371188219373e-05,8.341295915436278e-05,1.2716845127671314e-05,1.2615398963801373e-05,1.158422258713087e-06,1.2666242560122773e-05
test,2,1.4333550508122979e-05,0.00012593973912725033,1.4405023966230888e-05,1.414406674624802e-05,7.512203879832087e-07,1.4183545409072618e-05
test,3,1.3508320284475638e-05,7.984166260302264e-05,1.3619153975652743e-05,1.3499319449609183e-05,2.087916142824114e-06,1.365661011642229e-05
test,4,1.3908267402353852e-05,4.344619169198789e-05,1.3942132587895552e-05,1.3910337360227968e-05,8.814341885153593e-07,1.3938349764130408e-05
test,5,1.4760978000078186e-05,0.0003053644261007466,1.4679479748398358e-05,1.4565023203649868e-05,9.911254448528573e-07,1.4597991709935976e-05
test,6,1.3579251347370858e-05,1.595426482732832e-05,1.3621337920434512e-05,1.3579401798463268e-05,1.0673510475329556e-06,1.362122980239823e-05
