split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,0.0001568202610133999,0.00016311970318838998,0.000157216697543419,0.00015681191134018192,1.1215792373854949e-05,0.00015721282214449435
train,1,0.00014348821413805814,0.0001609388132565233,0.0001438438006388531,0.00014345179632526705,1.0611668824620026e-05,0.000143830719023104
train,2,0.00013186595973505597,0.00040869848508880635,0.00013467919457867906,0.00013171716433200362,2.4329791645300786e-05,0.00013394934837776797
train,3,0.0001305094443149301,0.00031745224240505205,0.00013060343255807705,0.00013052823337331948,8.289250598569141e-06,0.0001306660647645736
train,4,0.00014049387706259757,0.00028145794774762646,0.00014088178999845373,0.00014046985672812516,9.225441722264822e-06,0.00014077814676752078
train,5,0.0001381352725703136,0.00025315622849783766,0.00013830234967030782,0.00013817560517982456,6.278703679949974e-06,0.000138314386187192
train,6,0.00013364945535376054,0.00013404500393299633,0.00013365365217978968,0.00013364959379492494,1.0445124644512234e-06,0.00013365368513162422
train,7,0.0001437891889111821,0.00033626477331968934,0.00014479948143014047,0.00014372288084621977,1.8854123243610998e-05,0.00014486971246204398
train,8,0.0001413408411739906,0.00016949595322197507,0.00014176045962429603,0.00014129156795537304,1.0226707970084919e-05,0.00014169152917321902
train,9,0.0001488050884414276,0.00023455698786721996,0.00015087194386131486,0.00014883121162572528,2.3165528357041826e-05,0.00015074353249208474
train,10,0.0001401127089724163,0.0001853693771964445,0.00014140961515202147,0.00014009664582291347,1.946499438104389e-05,0.0001414283697790497
train,11,0.00014163435542937015,0.0005343733101912509,0.00014212148052157928,0.00014156468001236123,1.1558317184567089e-05,0.0001419006933956003
train,12,0.0001515963400970772,0.00017386938261201187,0.00015218200342976448,0.0001515914341167165,1.3495458145089491e-05,0.00015218734868851382
train,13,0.0001426384722752082,0.0001428052413641569,0.00014270064002061113,0.00014263826321430221,4.200012070039719e-06,0.00014270040972549325
train,14,0.00014504165147817438,0.0005111365549485391,0.00014506200496946942,0.00014488858049004262,2.419783681038189e-06,0.0001448866505193397
train,15,0.00013291165243656578,0.00014908439329622855,0.00013377210996804624,0.00013291017093386317,1.5103354969489725e-05,0.00013376078278799577
train,16,0.00014101096868117323,0.00025766535314572633,0.00014199833594679526,0.00014114044616656603,1.8314158679847424e-05,0.00014219783763483066
train,17,0.00012879167031693247,0.00030237731346481167,0.0001292375660274897,0.00012864661647372382,9.12542585037691e-06,0.00012908918305710619
train,18,0.00013320380604913982,0.00016605229158170488,0.00013420459165699075,0.000133165988480585,1.7878637868236387e-05,0.00013428847276277433
train,19,0.00013719197698809638,0.00025133065937542196,0.00013725018751687041,0.00013712140831908617,4.009863695455134e-06,0.00013719050382062346
train,20,0.00014192360065664732,0.0001660262446272083,0.00014323703677649084,0.00014191846212227281,2.0048696913898696e-05,0.00014329800467965083
train,21,0.00014304672270159494,0.0001492271533888563,0.00014337149081030087,0.00014304698392957256,9.595229842668387e-06,0.0001433697319557177
train,22,0.00013796442676703764,0.00045598947212678457,0.00013840293026345737,0.00013781201946701723,1.3842782568937451e-05,0.00013836744372172166
train,23,0.0001329718884715701,0.0005354622693663436,0.0001339631224731815,0.00013290896259292157,1.229834849551346e-05,0.00013347766364950846
train,24,0.00015268531063995617,0.0005330316648302411,0.00015347503488862582,0.00015265003572074691,1.3903878819508892e-05,0.00015328818291715762
test,0,0.00015430884275882274,0.0002116727819813001,0.00015478426302350192,0.00015429065467159573,1.0996687715551264e-05,0.00015470605833434176
test,1,0.00013884192552568694,0.0001578229487831413,0.00013992062538767757,0.00013884553312307364,1.6592853299109045e-05,0.0001398623917265291
test,2,0.00014944092088628287,0.00020879471912181304,0.00015121356850754898,0.00014940188987114998,2.1335204197387953e-05,0.0001510115393437272
test,3,0.00013477375194122633,0.00015018914010775847,0.00013523940880694503,0.00013477384017554752,1.0890118191079793e-05,0.00013521501028147858
test,4,0.00014616673479085203,0.00015584005579787896,0.00014713327048885996,0.00014616379969794736,1.6753963717947333e-05,0.00014712315032088436
test,5,0.00012481380664621698,0.00033894396113319866,0.00012536430924037087,0.0001248043951619619,1.356478162304804e-05,0.00012554400449965884
test,6,0.0001439724873459954,0.00014562815381774516,0.0001449474696965438,0.0001439723917727636,1.6783226367847842e-05,0.00014494687025660838
