split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,0.00016041332215880236,0.0010243421006977957,0.00015936930183092562,0.00015692934146327388,1.3361428410303426e-05,0.00015721282214449435
train,1,0.00019568904654213828,0.001983695036546962,0.0001709635783948522,0.00014991880100154433,4.921981289915947e-05,0.000143830719023104
train,2,0.0004477979397559133,0.00997436893424664,0.00046488289566598405,0.00013235739429841872,2.1237877007774037e-05,0.0001339493483777735
train,3,0.0005353609693205866,0.006986428687223496,0.0003593049444182548,0.00034466625845165665,0.0003222416849121826,0.00013066606476457276
train,4,0.00025905898022055224,0.006081149087817339,0.0002587603911240868,0.00014075491183780759,1.1566073328531534e-06,0.00014077814676751984
train,5,0.00020801091813545672,0.005216952883684339,0.00020685009633442577,0.00013862469087263659,1.4917078388030931e-05,0.000138314386187192
train,6,0.0001336752585649673,0.0003041047770871701,0.00013367937400888624,0.00013365124571576396,1.0449461350899554e-06,0.00013365368513162422
train,7,0.0003010052133242799,0.00710304017936695,0.0002628016920050512,0.00016644341750742003,0.00010063369703472849,0.0001448697124620503
train,8,0.00019554758199405084,0.0022429345416875943,0.000171123752142629,0.000155163440381071,5.465324952480221e-05,0.00014169152917321902
train,9,0.0004161889093736765,0.004399749210787779,0.0003037784591034017,0.00022613973136513562,0.0001542107202191677,0.00015074353249208474
train,10,0.0003094790947411148,0.0032883155149552004,0.00023470815250910732,0.00017125703326886286,0.00010283261624226022,0.0001414283697790497
train,11,0.0006737685183169885,0.01278313781967352,0.0005045901786857701,0.00038760182201509673,0.0003626022797705977,0.00014190069339559832
train,12,0.0001575159898189875,0.0019943542547981316,0.00015656204576386222,0.0001516117690672709,1.3275228929973313e-05,0.00015218734868851382
train,13,0.00014266729867063737,0.0002381187295242179,0.00014273307877926044,0.00014263687794911187,4.326574895437137e-06,0.00014270040972549325
train,14,0.0006215399127357745,0.012185927549579057,0.0005099045924861828,0.00030648330074776136,0.0002709742938112879,0.0001448866505193397
train,15,0.00013522097160560226,0.0014691793217116238,0.00013695753925985316,0.00013298018316150757,1.7055932046879114e-05,0.000133760782788003
train,16,0.00041201585372332197,0.00481456119860245,0.00029598852211755716,0.00022481560106552508,0.00018378839578863895,0.00014219783763483386
train,17,0.0004284988886728815,0.0070952950260858745,0.00028556433279688183,0.0003122910705745916,0.00027613095660701645,0.00012908918305710535
train,18,0.00027166356009824177,0.0029461861422902243,0.00020249743675643977,0.00015755779941939498,9.989547624508843e-05,0.00013428847276277433
train,19,0.00022871775991825376,0.005351648377090337,0.0001990730939314315,0.0001622560590388544,8.382316262059642e-05,0.00013719050382062626
train,20,0.00016897555250522056,0.0016633008315171,0.0001518647275972982,0.00014425842889659706,4.5352013070681184e-05,0.00014329800467965058
train,21,0.0001437825554412116,0.0010853123982968466,0.0001443431132862287,0.00014304321372454615,9.252529070424509e-06,0.0001433697319557177
train,22,0.0007225224363988853,0.010436862824589305,0.0004186003388612529,0.0005333077343368017,0.0005150060055077899,0.00013836744372171622
train,23,0.00065601562205253,0.013216144099955248,0.0006654427369143349,0.00013294782442754897,9.808431761372575e-06,0.00013347766364950846
train,24,0.0006073324599528691,0.012405841904909915,0.000611849902363433,0.00015280143194643355,7.871238997841304e-06,0.0001532881829171548
test,0,0.000255911292131507,0.0036043630764977528,0.0002272546077882183,0.0001625378067039112,4.075426245996975e-05,0.00015470605833434176
test,1,0.00018073385698396573,0.002006879426990877,0.00017132105540010995,0.0001422811800731836,1.8629837263046065e-05,0.0001398623917265291
test,2,0.00030900062119631675,0.003263404763502862,0.00025571624922419837,0.00017593577318028705,7.101751042141695e-05,0.0001510115393437272
test,3,0.0001411992863876322,0.0018825484331545673,0.00014361728216867416,0.0001348268000792841,8.74162281056163e-06,0.00013521501028147858
test,4,0.00014715938070564732,0.0010455895208770593,0.0001490091416958218,0.00014615778022697212,1.622423358886662e-05,0.00014712315032088829
test,5,0.00030417280950980285,0.007401454074588821,0.00029331183175263436,0.00012479444337677424,1.4990749944872027e-05,0.00012554400449965884
test,6,0.00014399157292684927,0.00025535751601043843,0.00014502701666722282,0.00014397414330720928,1.6823986053628297e-05,0.00014494687025660969
