split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,3.329233751252225e-05,0.0010099788871111852,2.831574298205411e-05,1.688340779458682e-05,6.475622306792889e-06,1.5721282214395744e-05
train,1,0.00012937920889029202,0.001982106286760434,9.122777229460522e-05,4.564077311449415e-05,4.381944981611198e-05,1.4383071902298839e-05
train,2,0.00042469920816108484,0.009996962371002768,0.00042244946307628086,1.8720608176937637e-05,1.2340198453703522e-05,1.3394934837774288e-05
train,3,0.0005215227012775909,0.006983706665158703,0.0003388705070746599,0.00031946664280308064,0.00031951852721954187,1.3066606476414485e-05
train,4,0.0002170440864553141,0.006072588942201793,0.00021032072194060927,1.6657488251366695e-05,8.02232876865688e-06,1.4077814676693842e-05
train,5,0.00016051680236895554,0.005216537306074939,0.0001561157296942862,1.759091737919049e-05,1.1179889300520235e-05,1.3831438618662343e-05
train,6,1.3770049598843597e-05,0.00027419279210734747,1.3655882448859803e-05,1.338068888885933e-05,6.224891091678759e-07,1.3365368513208882e-05
train,7,0.0002619579308556898,0.00708922681094395,0.00022564211948922257,8.501077122710403e-05,8.543255490005633e-05,1.4486971246255787e-05
train,8,0.0001300535046032812,0.0022325486218123455,8.449923903368106e-05,6.562680253957055e-05,6.312286654804665e-05,1.4169152917293253e-05
train,9,0.0003912840574689671,0.004386158214853269,0.0002562310745900644,0.0001710903521138948,0.0001687565444334446,1.5074353249278865e-05
train,10,0.0002761489151318321,0.0032904268066363527,0.00019014390628958316,9.947394305138194e-05,9.875272181670917e-05,1.414283697791539e-05
train,11,0.0006578909354271248,0.012767976980620334,0.0004782809874999035,0.0003600982117360242,0.0003599852945721319,1.4190069339567013e-05
train,12,4.3646559272924686e-05,0.001985444478841501,4.211674475497532e-05,1.5225066517645742e-05,1.7398750393132671e-06,1.5218734868831591e-05
train,13,1.4335324888061906e-05,0.0001928934419633765,1.4339023199061088e-05,1.426443737031421e-05,5.530644783919606e-07,1.4270040972522777e-05
train,14,0.0006027737206899537,0.012194904648699585,0.00048504901930562826,0.0002716330256883031,0.0002713350343636976,1.4488665051917953e-05
train,15,2.732890221567132e-05,0.0014551018475510967,2.6493093188978996e-05,1.3807520959414478e-05,4.588106519737306e-06,1.3376078278896027e-05
train,16,0.0003934460057269248,0.004798356236799153,0.0002725570599431953,0.00017481798927663372,0.0001750740603888884,1.4219783763499643e-05
train,17,0.00040490858726838864,0.007106201030989867,0.00024748858578564127,0.00028557534882872664,0.00028443820149837173,1.2908918305735682e-05
train,18,0.00023517885753686273,0.002956144117714088,0.00016100809561562322,8.520079855576666e-05,8.569642841438985e-05,1.342884727628834e-05
train,19,0.00017833150128095633,0.0053563485126200214,0.0001389058813916464,8.844352852677244e-05,8.708055668208258e-05,1.3719050382068635e-05
train,20,9.246894560085459e-05,0.0016408555881343052,6.835286723845658e-05,2.9589291905349258e-05,2.788221017035504e-05,1.4329800467969492e-05
train,21,2.0636909123485844e-05,0.0010778166943761984,2.0765360844086896e-05,1.4308646169398812e-05,6.136345758183315e-07,1.433697319550724e-05
train,22,0.0007065121414827196,0.010418014432280192,0.0003953542841799764,0.0005142482415670934,0.0005140279425522843,1.3836744372231828e-05
train,23,0.00064322871018754,0.013205410110053026,0.0006423957873294776,1.365425742890375e-05,2.1933361152526382e-06,1.3347766365016206e-05
train,24,0.0005891242846956044,0.012408816078448385,0.0005894697561301864,1.6720032424759115e-05,5.522863518314473e-06,1.532881829173482e-05
test,0,0.0002036822363927544,0.003596118413733023,0.00015883261720674632,5.333649976288839e-05,4.9999147457670084e-05,1.5470605833418225e-05
test,1,0.00011722770604152854,0.002010414040720575,9.096008775691764e-05,3.401470860466185e-05,2.9611917558846243e-05,1.3986239172667519e-05
test,2,0.0002690776653818245,0.003240152508491769,0.0001893375734360575,9.395217732736052e-05,9.056105462140323e-05,1.5101153934331412e-05
test,3,4.437733844572924e-05,0.0018872594057786315,4.2535174039675316e-05,1.3990688972086434e-05,3.095846924478014e-06,1.3521501028131542e-05
test,4,2.0312299212399965e-05,0.0010242173763612243,2.0891139608742288e-05,1.4626554772895956e-05,1.1510057551855888e-06,1.4712315032091958e-05
test,5,0.0002782602583734103,0.007390799990038939,0.0002754684578731141,1.2603833389964616e-05,2.962019556144158e-06,1.2554400449992189e-05
test,6,1.4460783500501295e-05,0.00020345808592190162,1.4617446778648761e-05,1.4397636530754219e-05,1.7203749932580843e-06,1.4494687025683646e-05
