split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,1.5691181132513346e-05,4.419679932979365e-05,1.5726196000159104e-05,1.5681274729921647e-05,1.1272138938704416e-06,1.5721282214395744e-05
train,1,1.4410936581190743e-05,7.747357447747665e-05,1.4411009831803362e-05,1.4348574607139121e-05,1.2267368233088277e-06,1.4383071902298839e-05
train,2,1.3735457769957276e-05,0.0004106834784756986,1.4491738576181778e-05,1.3172148846448095e-05,2.3809914323008517e-06,1.339493483777593e-05
train,3,1.376329638497433e-05,0.0002880010566626974,1.3279562987714957e-05,1.3349971568401603e-05,3.180403927894228e-06,1.3066606476414485e-05
train,4,1.4159799371987782e-05,0.00023732198257556128,1.4263630371761424e-05,1.4047143263614994e-05,8.644293303072348e-07,1.4077814676694431e-05
train,5,1.3834214144536054e-05,0.00021381334144719908,1.3872715037149215e-05,1.381789688278096e-05,6.72873079985957e-07,1.3831438618662343e-05
train,6,1.3364846599176221e-05,1.7286513530827515e-05,1.3365353096615435e-05,1.3364960558142408e-05,1.0309054295654969e-07,1.3365368513208882e-05
train,7,1.4584701911559298e-05,0.00029189440168058843,1.4523765270375472e-05,1.4388593270168898e-05,2.4652044029136832e-06,1.4486971246255787e-05
train,8,1.4208902524604048e-05,8.867005042328625e-05,1.425058917712747e-05,1.4136973326206933e-05,6.671893582433176e-07,1.4169152917293253e-05
train,9,1.5108771819247023e-05,0.00016964028302939664,1.5312682729387922e-05,1.4929638581807879e-05,1.7584022056779838e-06,1.5074353249278865e-05
train,10,1.4159593209955288e-05,0.00012601349648366789,1.4190148823625332e-05,1.4026204776921945e-05,2.138109475288923e-06,1.414283697791539e-05
train,11,1.5072271269715894e-05,0.0005011145304160509,1.483795547821308e-05,1.4452062189110415e-05,3.3489676015504407e-06,1.4190069339568466e-05
train,12,1.5167296126013327e-05,8.242505945335588e-05,1.5216465662958283e-05,1.5159145893814482e-05,1.3473587489349127e-06,1.5218734868831591e-05
train,13,1.4264038097128568e-05,1.6139516716940295e-05,1.4270273624676696e-05,1.4263826241932439e-05,4.2092290325404083e-07,1.4270040972522777e-05
train,14,1.5397357965763363e-05,0.0005001909170443603,1.5145606327060742e-05,1.4647933748702843e-05,2.1511890576076003e-06,1.4488665051921368e-05
train,15,1.3293679438545486e-05,5.988312136995627e-05,1.3388415395722681e-05,1.3291055298006714e-05,1.5221025717800448e-06,1.3376078278904817e-05
train,16,1.436882209739927e-05,0.00020181919015358353,1.4187421772063362e-05,1.4202598133553687e-05,2.887898753928682e-06,1.4219783763495698e-05
train,17,1.343411605720659e-05,0.0002862009850414432,1.3198244756023667e-05,1.3088632390254645e-05,1.6047737068678128e-06,1.290891830574003e-05
train,18,1.3457228264223804e-05,0.00011267744923658536,1.339559107598897e-05,1.3329541628200563e-05,2.2766378958564285e-06,1.342884727628834e-05
train,19,1.3851550789371928e-05,0.00021759375047243417,1.3819634473518779e-05,1.372912176933446e-05,4.311640785807686e-07,1.3719050382068831e-05
train,20,1.421606993743739e-05,7.085816241179985e-05,1.4278884385334637e-05,1.4193677216193176e-05,2.2048512505262677e-06,1.4329800467969492e-05
train,21,1.430489681469403e-05,4.567880813914033e-05,1.4339184941446617e-05,1.4304699001818406e-05,9.569308511585223e-07,1.433697319550724e-05
train,22,1.4868617122415304e-05,0.00041713979586082084,1.4176342359139307e-05,1.4306865298353833e-05,4.154846652609213e-06,1.3836744372231828e-05
train,23,1.4138395050644176e-05,0.0005087707063610095,1.4580405385484498e-05,1.329091178928898e-05,1.2126325547739647e-06,1.3347766365016206e-05
train,24,1.5999854567534186e-05,0.0005146438565101355,1.6204237568598744e-05,1.526513296529723e-05,1.3372090980537492e-06,1.5328818291735536e-05
test,0,1.5514427449284126e-05,0.00014061402350822508,1.5590139881777597e-05,1.5433110659329203e-05,8.157251338638904e-07,1.5470605833418225e-05
test,1,1.391296948550841e-05,8.330131072710267e-05,1.4061889307330328e-05,1.3887317712710159e-05,1.4495290712230216e-06,1.3986239172667519e-05
test,2,1.5098004627302365e-05,0.00012687961841794754,1.5360914299473945e-05,1.495397476339686e-05,1.5609362208670175e-06,1.5101153934331412e-05
test,3,1.3481315155920399e-05,7.690064765198273e-05,1.3549307291274297e-05,1.3477423856320483e-05,1.0693642914679e-06,1.3521501028131542e-05
test,4,1.4619663085789737e-05,4.4225861761402835e-05,1.472277974824067e-05,1.4616381219424835e-05,1.671683224880454e-06,1.4712315032099258e-05
test,5,1.2680143564824822e-05,0.00030565776619319535,1.2563037923146875e-05,1.248044912818486e-05,1.3670274698851041e-06,1.2554400449992189e-05
test,6,1.4397338147226243e-05,1.6975851192451395e-05,1.4495289182760851e-05,1.4397239334648862e-05,1.678612716734576e-06,1.4494687025685124e-05
