split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,1.464507406365318e-05,4.3748005418017355e-05,1.4721329776620569e-05,1.4645869691106435e-05,1.614730051180708e-06,1.4730501562086585e-05
train,1,1.3742542642340548e-05,7.599970323674769e-05,1.3783726539048115e-05,1.373381910668845e-05,2.202680194949003e-06,1.3862277913948513e-05
train,2,1.473382356520006e-05,0.0004115971507072164,1.5161414260133759e-05,1.4193148624293947e-05,1.706056226482006e-06,1.4294320174120234e-05
train,3,1.4566312939912103e-05,0.0002863647174559237,1.4256731213641942e-05,1.3771817929198413e-05,3.6861327982848567e-06,1.363142419576896e-05
train,4,1.4696849361307662e-05,0.00023625012425321175,1.4659538301450854e-05,1.4601313108287771e-05,4.747810524046521e-07,1.4606942790455194e-05
train,5,1.3945455689920559e-05,0.00021297154838624253,1.4047180864942968e-05,1.384667643332351e-05,9.066505431542555e-07,1.388102409267554e-05
train,6,1.5272350997671756e-05,1.858811528038332e-05,1.532860363247769e-05,1.5272477646576556e-05,1.3136316228128668e-06,1.5328695707071087e-05
train,7,1.4539060650610833e-05,0.0002901989468351362,1.4486114160731456e-05,1.4302054865722491e-05,1.969575330327003e-06,1.4346855725358672e-05
train,8,1.4514132505661115e-05,8.967667308613669e-05,1.4594932215437354e-05,1.4437007503035119e-05,9.466561925329522e-07,1.449814309001412e-05
train,9,1.5247306102806901e-05,0.00016824379817197773,1.5044754248943786e-05,1.488693837347445e-05,2.1663813741635033e-06,1.4871294144189902e-05
train,10,1.3503538578927849e-05,0.00012610104181726207,1.344130455861705e-05,1.3472959695385516e-05,6.049578632783676e-07,1.3458476478884296e-05
train,11,1.541017409388782e-05,0.0005001362694179985,1.492470996943465e-05,1.482023347450633e-05,3.8563483604623164e-06,1.4560010034860808e-05
train,12,1.2918287690044614e-05,7.961829506249972e-05,1.3181803045536947e-05,1.291811229365217e-05,2.324286514153994e-06,1.3127874992581552e-05
train,13,1.4348955018655473e-05,1.6096078663599018e-05,1.4369305030395749e-05,1.4348997415535718e-05,7.572277069345249e-07,1.436896832045766e-05
train,14,1.5722495773241253e-05,0.0005003393869823729,1.534752499082301e-05,1.4704241394619194e-05,1.7046739348501378e-06,1.4634298779644859e-05
train,15,1.3952986638086975e-05,5.823863137598334e-05,1.3977096254466156e-05,1.3951611503054423e-05,9.855849813051502e-07,1.398587848211696e-05
train,16,1.4649280738909199e-05,0.0002001097408940606,1.448684501495532e-05,1.4399168653969094e-05,1.555616085361445e-06,1.4355274045854256e-05
train,17,1.4026321437971825e-05,0.00028896907467034925,1.3828195102744589e-05,1.3964411038453319e-05,1.8763632827577541e-06,1.3791243198311186e-05
train,18,1.3577269131822623e-05,0.00011379426274946185,1.3492077097005458e-05,1.3441909362097138e-05,1.1650801675764009e-06,1.3441608820101586e-05
train,19,1.3557531370856422e-05,0.0002174258505660479,1.3586896514634846e-05,1.3543141615666106e-05,4.231734909464295e-07,1.3547901194113367e-05
train,20,1.5405347022590984e-05,6.91657798854061e-05,1.5457850164637733e-05,1.5415273669366015e-05,1.134718371696078e-06,1.5459872119662822e-05
train,21,1.3281937774806689e-05,4.4460628033608826e-05,1.3324286773140753e-05,1.327799435359176e-05,9.538491042756818e-07,1.3312214537904381e-05
train,22,1.5032133429854077e-05,0.00041611331441877706,1.4374300910030481e-05,1.4603290424148576e-05,4.658556119658362e-06,1.4106759711430909e-05
train,23,1.481606088298774e-05,0.0005073312674749851,1.4728729587160289e-05,1.3946622267825235e-05,9.276496606531102e-07,1.3978745785869722e-05
train,24,1.4396827419255698e-05,0.0005165740572920418,1.3992394207728408e-05,1.3476713081943107e-05,1.9575073094571408e-06,1.362261832622873e-05
test,0,1.4408278374635722e-05,0.0001403728997647433,1.4707423584635622e-05,1.4316698790611567e-05,2.323468079501039e-06,1.4542143921397978e-05
test,1,1.4706396781839696e-05,8.403370908429506e-05,1.472834294206546e-05,1.4691311857477188e-05,3.8640290793213284e-07,1.4701197695689367e-05
test,2,1.3782488045509843e-05,0.00012533829891034272,1.3903340473985674e-05,1.3565688166854518e-05,1.7632546306859022e-06,1.3685628820607776e-05
test,3,1.6049095580219054e-05,8.114158438798553e-05,1.6444613592930653e-05,1.604669205902603e-05,3.8714046444042814e-06,1.649943843001017e-05
test,4,1.4605114160625992e-05,4.4162358108865575e-05,1.4814193472628886e-05,1.4601418866868319e-05,2.4441459622360775e-06,1.4803663464811092e-05
test,5,1.3788829784874863e-05,0.00030453019550453044,1.3933700849462605e-05,1.3592282874177212e-05,1.987782520624504e-06,1.3736235986837795e-05
test,6,1.4213731604211351e-05,1.6216614562183348e-05,1.4241136622181971e-05,1.4213730002348124e-05,8.833990882609166e-07,1.4241197189809198e-05
