split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,8.241903660429706e-08,4.105527093471028e-05,1.9053197019480958e-07,1.7178933253788698e-07,1.7178933253788698e-07,0.0
train,1,3.835110590208538e-07,7.654976157303851e-05,6.897038599171851e-07,5.733191428515238e-07,5.733191428515238e-07,0.0
train,2,1.254440471917861e-06,0.00041308096171099477,3.4929222879834913e-06,3.2602230920642234e-06,3.2602230920642234e-06,0.0
train,3,2.6967732145902394e-06,0.0002875251522550226,2.837639246872803e-06,8.831068486004352e-07,8.831068486004352e-07,0.0
train,4,2.1248699187687856e-07,0.0002361344475158096,1.6148858659044398e-06,1.6009602708567445e-06,1.6009602708567445e-06,0.0
train,5,5.598257371596808e-07,0.00021351324607996245,1.2808323862136237e-06,1.1520712307577614e-06,1.1520712307577614e-06,0.0
train,6,9.264356414229547e-09,1.1041080942638122e-05,2.282128753418782e-08,2.0855085594310478e-08,2.0855085594310478e-08,0.0
train,7,1.1000862304559482e-06,0.0002901796244050734,1.8564597068612352e-06,1.4955220075111183e-06,1.4955220075111183e-06,0.0
train,8,5.30694317970785e-07,8.689952100470178e-05,6.329386112103095e-07,3.4495638790171015e-07,3.4495638790171015e-07,0.0
train,9,1.4238155395880346e-06,0.00016773409082863674,1.93478131318903e-06,1.3103029831563323e-06,1.3103029831563323e-06,0.0
train,10,8.410994472276366e-07,0.0001258014274600083,1.4418113393408465e-06,1.1713038047251542e-06,1.1713038047251542e-06,0.0
train,11,2.5866277008412033e-06,0.0004993023040429591,3.7321442991147184e-06,2.6907183387112004e-06,2.6907183387112004e-06,0.0
train,12,4.009135904448842e-08,8.065925051292254e-05,3.225412263876018e-07,3.200470537343137e-07,3.200470537343137e-07,0.0
train,13,4.361434042408806e-09,7.735698486976284e-06,8.648623863044824e-09,7.468323798709438e-09,7.468323798709438e-09,0.0
train,14,2.5307975322116624e-06,0.0005010590877200063,3.997721201220251e-06,3.095034136792064e-06,3.095034136792064e-06,0.0
train,15,9.028018359801983e-08,5.748089367236896e-05,1.7370908137132788e-07,1.484080008454075e-07,1.484080008454075e-07,0.0
train,16,1.888622921540379e-06,0.0001997544669103943,2.2974497683321787e-06,1.3084951268996328e-06,1.3084951268996328e-06,0.0
train,17,1.9591336805727347e-06,0.00028726209754096596,2.0331594952229518e-06,5.43639964124769e-07,5.43639964124769e-07,0.0
train,18,7.25569975479485e-07,0.00011334253229841466,1.229304509374022e-06,9.925263177223394e-07,9.925263177223394e-07,0.0
train,19,7.302402722984455e-07,0.0002178792767181724,1.1215020235943207e-06,8.512308997921749e-07,8.512308997921749e-07,0.0
train,20,2.985465881432483e-07,6.759763657068425e-05,5.67941608719343e-07,4.831987032616385e-07,4.831987032616385e-07,0.0
train,21,3.8323200004053313e-08,4.35841253702355e-05,1.2014234574883912e-07,1.1386725825042699e-07,1.1386725825042699e-07,0.0
train,22,2.848466356547019e-06,0.00041491105991412126,3.0787850269764513e-06,1.1684588481886104e-06,1.1684588481886104e-06,0.0
train,23,5.867115837464003e-07,0.0005074764507529944,4.881052405474978e-06,4.846304486842656e-06,4.846304486842656e-06,0.0
train,24,1.2122457321739455e-06,0.0005148470943498761,4.929808848700558e-06,4.7790525086393665e-06,4.7790525086393665e-06,0.0
test,0,5.157263424552899e-07,0.0001392273270896143,1.198358711951305e-06,1.0818963536240617e-06,1.0818963536240617e-06,0.0
test,1,3.668676436079218e-07,8.305844012459559e-05,7.397940818891844e-07,6.425111346079112e-07,6.425111346079112e-07,0.0
test,2,7.91357498509076e-07,0.00012378887828311448,1.416964433439707e-06,1.1756416396324066e-06,1.1756416396324066e-06,0.0
test,3,8.760650116506929e-08,7.6764508141262e-05,3.212287458512163e-07,3.090596087293907e-07,3.090596087293907e-07,0.0
test,4,3.981427317978669e-08,4.0488468479825275e-05,1.0665349301698397e-07,9.894418255109515e-08,9.894418255109515e-08,0.0
test,5,1.9116149695296111e-07,0.0003043333075780703,2.291446571050968e-06,2.2836461294355456e-06,2.2836461294355456e-06,0.0
test,6,3.9894698881844606e-09,8.047578864218425e-06,9.37460266884788e-09,8.48329464259802e-09,8.48329464259802e-09,0.0
