split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,0.001610311154816448,0.001009595137179229,2.3246320956647067e-05,0.0015926236132684408,0.0015926236132684408,0.0
train,1,0.002158535306382131,0.0019824515090130445,8.982394348084148e-05,0.0020912138243842034,0.0020912138243842034,0.0
train,2,0.0008943960787731526,0.009999559318185108,0.00041961193275446147,0.0008300222266877785,0.0008300222266877785,0.0
train,3,0.003250660083282645,0.006983526395951796,0.0003390507043365162,0.003168678073378404,0.003168678073378404,0.0
train,4,0.002115086555129963,0.006071800273204748,0.00020902625000176702,0.0020695604015382517,0.0020695604015382517,0.0
train,5,0.00034926275853809814,0.005216674494654532,0.00015568915994168108,0.0002801245465073776,0.0002801245465073776,0.0
train,6,0.000765583778939938,0.00027394527713541265,2.821209620168614e-06,0.0007635815826475222,0.0007635815826475222,0.0
train,7,0.0007288417520182675,0.007087838382990908,0.00022582378621519386,0.0007392287856197768,0.0007392287856197768,0.0
train,8,0.0018374576103916045,0.0022318414661381607,8.17766035006266e-05,0.001796114068173865,0.001796114068173865,0.0
train,9,0.0027519503046447035,0.004384904623196251,0.0002548885453530795,0.002591283869438745,0.002591283869438745,0.0
train,10,0.0026877754548501748,0.0032909652173761716,0.00018987157049405237,0.0025476880031085757,0.0025476880031085757,0.0
train,11,0.0019914405489356384,0.012766370194494248,0.00047738151615760594,0.002066020176252825,0.002066020176252825,0.0
train,12,0.0013089166474560794,0.0019850355099589245,3.9541002494680935e-05,0.0012998010105547517,0.0012998010105547517,0.0
train,13,3.400903495115175e-05,0.0001925574478252258,1.0755013030233466e-06,3.313656381779724e-05,3.313656381779724e-05,0.0
train,14,0.0013444929817128352,0.012195987758241156,0.0004843799868794022,0.001412983935298011,0.001412983935298011,0.0
train,15,0.00011168586536854615,0.001454144603096454,2.2020759442697923e-05,9.88363279720365e-05,9.88363279720365e-05,0.0
train,16,0.0032912368517893347,0.004796763080102691,0.00027354920470423614,0.0031579010397166894,0.0031579010397166894,0.0
train,17,0.00265871894991849,0.00710752900519096,0.00024629625978124953,0.0026489062134519054,0.0026489062134519054,0.0
train,18,0.0025491321604959017,0.0029575533754262772,0.0001614038796070959,0.0024311828295850713,0.0024311828295850713,0.0
train,19,0.000982703346142221,0.005357046166243266,0.00013754088403463064,0.0010022054833385206,0.0010022054833385206,0.0
train,20,0.002291993825312216,0.001638969250654634,6.842606345502697e-05,0.0022408172185842076,0.0022408172185842076,0.0
train,21,0.00034529234158112143,0.0010779344783685754,1.4819131004814049e-05,0.000341779847150292,0.000341779847150292,0.0
train,22,0.0024334197411344043,0.010416009965898249,0.00039511669879972,0.0024085056872819545,0.0024085056872819545,0.0
train,23,0.0020879274221905822,0.013204284370082921,0.0006411746250002838,0.0020846459648593196,0.0020846459648593196,0.0
train,24,0.001608297106906079,0.012409241175019967,0.0005889287045342249,0.0015813474441739015,0.0015813474441739015,0.0
test,0,0.002692987862035141,0.0035955340174646487,0.00015711775985726605,0.0025678425574195253,0.0025678425574195253,0.0
test,1,0.0025524841130756194,0.0020112927422857247,8.881429525929072e-05,0.00248427551854303,0.00248427551854303,0.0
test,2,0.0027035315001143184,0.0032379107833587803,0.0001866727390509209,0.0025625195569836464,0.0025625195569836464,0.0
test,3,0.0016189062695595676,0.0018882663075168993,3.932948522590584e-05,0.0016024331994781425,0.0016024331994781425,0.0
test,4,0.00024606213492293753,0.0010228737075002887,1.3504616728667279e-05,0.00024195732308350486,0.00024195732308350486,0.0
test,5,0.0019167123169258643,0.007389721898817053,0.0002762812676207339,0.001890331795769852,0.001890331795769852,0.0
test,6,7.2873089641951e-05,0.00020211468195737703,1.1783989766418088e-06,7.231737933178478e-05,7.231737933178478e-05,0.0
