split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,1.5242799011991521e-05,4.364375089338382e-05,1.5318405915115873e-05,1.5249543402657289e-05,1.5201601141254835e-06,1.5312378993319748e-05
train,1,1.3856214625448974e-05,7.693577882794726e-05,1.3878048789549425e-05,1.3828291179118691e-05,7.782840287356419e-07,1.3882069897654068e-05
train,2,1.4478939594928786e-05,0.00041395630770400425,1.4681512603243303e-05,1.4723944879374183e-05,2.430713284673516e-06,1.4382669597292237e-05
train,3,1.372472156037608e-05,0.0002886576061416456,1.3762182704676834e-05,1.3717061151045019e-05,1.0148737547784227e-06,1.3690949359543484e-05
train,4,1.4384819220986715e-05,0.0002349759280839918,1.445719403232161e-05,1.4486130546457558e-05,1.444929696294007e-06,1.4547665842109288e-05
train,5,1.3041594645532143e-05,0.00021480237086451992,1.3119899917448128e-05,1.3136928779832778e-05,1.4313092358312965e-06,1.315083967602052e-05
train,6,1.4401565428676028e-05,1.7925531859403858e-05,1.441028248257596e-05,1.4401911739747038e-05,5.011553664936261e-07,1.4409951819542673e-05
train,7,1.4472638804804594e-05,0.00029096765790648287,1.4491415616668238e-05,1.4506861629021949e-05,7.375148386670022e-07,1.4456402319969542e-05
train,8,1.364969573816532e-05,8.847567160440517e-05,1.3667778656877801e-05,1.36320155717223e-05,7.028927550746408e-07,1.363466964245159e-05
train,9,1.4931724126283653e-05,0.0001677004135411591,1.4945586997834683e-05,1.481420090730211e-05,6.435719038676285e-07,1.482494936881846e-05
train,10,1.528394316566425e-05,0.00012647381317704067,1.5318292039696362e-05,1.5317056746163184e-05,1.0254601313610049e-06,1.527749418819215e-05
train,11,1.5194385592573606e-05,0.0004980028044119416,1.5240680772301717e-05,1.5021311323563868e-05,1.1871444710565584e-06,1.4882786737380555e-05
train,12,1.394833655978063e-05,8.280744087851192e-05,1.4008767218418464e-05,1.3955569870262706e-05,1.299844465773417e-06,1.4028231654333967e-05
train,13,1.38127206291169e-05,1.5358058497361476e-05,1.3855297302107781e-05,1.3812768808526931e-05,1.0853632435924976e-06,1.3854820484391149e-05
train,14,1.533621458605621e-05,0.0005019144513245528,1.551912082295797e-05,1.5361743001386193e-05,2.3759400164143066e-06,1.506601563899913e-05
train,15,1.3097881206650694e-05,5.9950784499611926e-05,1.3131734020565168e-05,1.3091047956560683e-05,9.423224326847292e-07,1.311426221670791e-05
train,16,1.4973614675316221e-05,0.00020019749624919839,1.5110126591801362e-05,1.4912379649173637e-05,2.0267446864815366e-06,1.4908852627320554e-05
train,17,1.4476555696568659e-05,0.0002874728779683309,1.4523566448674446e-05,1.433599629403903e-05,1.1676368819787232e-06,1.4339923449345069e-05
train,18,1.276965767083485e-05,0.0001155367079711389,1.3003787087564301e-05,1.2752069039030168e-05,2.4569010766490947e-06,1.281621520922922e-05
train,19,1.3155187287887403e-05,0.00021661234758389527,1.3464305226679047e-05,1.3156390493071183e-05,2.868635634349172e-06,1.330000649358323e-05
train,20,1.3373652023651141e-05,6.963627863182292e-05,1.3384593863484021e-05,1.3393386717872894e-05,5.411246769612772e-07,1.3415948163482342e-05
train,21,1.4269032164433831e-05,4.778389087517192e-05,1.4390565953659281e-05,1.4271830631983754e-05,1.8663332028522108e-06,1.4407778254631568e-05
train,22,1.4341819680572119e-05,0.0004138346780501491,1.452983471133404e-05,1.4320555202168358e-05,2.330124700595032e-06,1.4348100701294993e-05
train,23,1.3466280730050508e-05,0.0005066730470513944,1.4064364467597219e-05,1.4360331823281295e-05,4.058438101377979e-06,1.3600106723275449e-05
train,24,1.3699736418967475e-05,0.0005136672691139572,1.5017790155190368e-05,1.445102159565626e-05,6.153053617653122e-06,1.3712971095988018e-05
test,0,1.363838626429602e-05,0.00014113181513151504,1.3858839045202032e-05,1.3666459752495532e-05,2.462510520906836e-06,1.3693375603748957e-05
test,1,1.2633175713102559e-05,8.341295915436278e-05,1.2716845127671314e-05,1.2628758505192754e-05,1.4564514484392654e-06,1.2666242560122773e-05
test,2,1.4217021312367964e-05,0.00012593973912725033,1.4405023966230888e-05,1.4177992304049304e-05,2.3201512991135125e-06,1.4183545409072618e-05
test,3,1.3504175869590375e-05,7.984166260302264e-05,1.3619153975652743e-05,1.3502820311690247e-05,1.7659959931470175e-06,1.365661011642229e-05
test,4,1.3907905547845011e-05,4.344619169198789e-05,1.3942132587895552e-05,1.3910689154723816e-05,9.763367624265764e-07,1.3938349764130408e-05
test,5,1.458098704670947e-05,0.0003053644261007466,1.4679479748398358e-05,1.474293677290849e-05,1.6977159701944906e-06,1.4597991709935976e-05
test,6,1.357924858569768e-05,1.595426482732832e-05,1.3621337920434512e-05,1.3579404425481407e-05,1.0699768088516582e-06,1.362122980239823e-05
