split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,1.7710354925730677e-05,0.0010095298172045106,2.8158314362350825e-05,2.5894069495057468e-05,2.1919225196702826e-05,1.5312378993319748e-05
train,1,5.243951356170114e-05,0.001981643666945055,9.048696023859777e-05,7.657608834967491e-05,7.399535786066586e-05,1.3882069897654068e-05
train,2,0.0001530515365335193,0.01000019924742074,0.00041935386963819004,0.0003925185966590762,0.00039142138615522073,1.4382669597292365e-05
train,3,0.0003265124025577043,0.006984330615941317,0.0003382450838292139,8.952083509070214e-05,8.86458934337892e-05,1.3690949359542183e-05
train,4,2.9855212859968466e-05,0.0060702131837570734,0.0002079094513207588,0.00020813848180682777,0.00020613765878416964,1.4547665842113677e-05
train,5,6.816035912103097e-05,0.00521757689903985,0.00015528523065372126,0.0001407207340370511,0.00013971489780413338,1.315083967602052e-05
train,6,1.4406434829722844e-05,0.0002739504947443421,1.4721764109272097e-05,1.4630365879444191e-05,3.0307427497345004e-06,1.4409951819542673e-05
train,7,0.0001345907992839355,0.007088275696484727,0.0002256337016114612,0.00018281684730137178,0.00018143165537928848,1.4456402319970971e-05
train,8,6.932128167102911e-05,0.0022324013132489213,8.32853677423133e-05,4.7966344971111106e-05,4.627471644502951e-05,1.363466964245159e-05
train,9,0.00018595233312319485,0.004384270717849851,0.000255308512050309,0.00017781812580033862,0.0001759644397229574,1.482494936881846e-05
train,10,0.00010994927254132072,0.003290745142788075,0.00019020086920973876,0.00015701771100353463,0.00015605908193314953,1.527749418819215e-05
train,11,0.0003302713039799166,0.012764880201989811,0.00047719012667259,0.0003474339438303366,0.0003454608624051845,1.4882786737377965e-05
train,12,1.4373551472067184e-05,0.001986040921394974,4.099579735381085e-05,4.1658018176133145e-05,3.841605466569459e-05,1.4028231654333967e-05
train,13,1.3817925561057645e-05,0.00019202462774193992,1.3955290022859921e-05,1.3844032853933334e-05,1.953248244857573e-06,1.3854820484391149e-05
train,14,0.0003082157600789155,0.012196635499130996,0.0004843531026542355,0.00037582375883479297,0.0003747891411936835,1.5066015638997697e-05
train,15,1.8069363009304798e-05,0.0014552331571905663,2.6667393735488157e-05,2.2928693307558873e-05,1.961957363149623e-05,1.3114262216707633e-05
train,16,0.0002308650491488859,0.004796675438918251,0.0002741068532330193,0.00014900514282105879,0.00014858984127825406,1.4908852627313859e-05
train,17,0.0002384129787403682,0.007107402986941413,0.0002470059528890684,6.557778689015059e-05,6.461992218355642e-05,1.4339923449343907e-05
train,18,9.531418069386687e-05,0.0029590687360394655,0.00016325342006933297,0.00013256537351466623,0.0001331939288893566,1.281621520922922e-05
train,19,9.086282087496843e-05,0.005355393737656897,0.00013956521415090265,0.00010515672296060774,0.00010607579416013033,1.330000649357176e-05
train,20,3.831488017014371e-05,0.0016397512440801795,6.871981604936108e-05,5.953487849088879e-05,5.7219770219082146e-05,1.3415948163482342e-05
train,21,1.4754657150472654e-05,0.001080048010852951,1.908705112000097e-05,2.0023338904029194e-05,1.2111520589941316e-05,1.4407778254631568e-05
train,22,0.0003661785417038341,0.010414676811510865,0.0003945741828135743,0.00014714784223300584,0.0001471361893066306,1.434810070129143e-05
train,23,7.692496917156125e-05,0.013203300372428178,0.0006401864780556036,0.0006388264124069852,0.0006377187768209278,1.3600106723275449e-05
train,24,0.0001467173784065812,0.012407887174211749,0.0005904253232766343,0.0005725343675854267,0.0005737235115785075,1.3712971095988018e-05
test,0,6.797950129377812e-05,0.0035968102495663504,0.00015900427402954038,0.00014367134819720924,0.00014440380797416487,1.3693375603748957e-05
test,1,4.7124489986736154e-05,0.002010719495766503,9.020096407857783e-05,7.794957701796499e-05,7.719435516574118e-05,1.2666242560122773e-05
test,2,0.00010478841460002223,0.003239309871938356,0.00018872745563732423,0.0001573975650380176,0.0001578387685995584,1.4183545409072618e-05
test,3,1.7739807972834208e-05,0.0018902410510820763,3.9941347648903415e-05,4.017183685227477e-05,3.5812139380805924e-05,1.365661011642229e-05
test,4,1.4491586500587295e-05,0.0010236326691126154,1.971038528558753e-05,1.8725046648940642e-05,1.3363291004360792e-05,1.3938349764138389e-05
test,5,2.8258383186357444e-05,0.007390420642354788,0.000276039874333772,0.0002762519778971697,0.000275144418230517,1.4597991709935976e-05
test,6,1.3569587554599177e-05,0.00020283515201843105,1.3685240667450988e-05,1.3621630945771968e-05,1.7754200456113182e-06,1.3621229802400423e-05
