split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,1.0177562267188396e-05,0.001009595137179229,2.3246320956647067e-05,2.0767637011817592e-05,2.0767637011817592e-05,0.0
train,1,4.9325226385509676e-05,0.0019824515090130445,8.982394348084148e-05,7.510972813993771e-05,7.510972813993771e-05,0.0
train,2,0.0001516192470391022,0.009999559318185108,0.00041961193275446147,0.00039222755369600944,0.00039222755369600944,0.0
train,3,0.0003273982233531002,0.006983526395951796,0.0003390507043365162,8.815161810872146e-05,8.815161810872146e-05,0.0
train,4,2.7142338532594615e-05,0.006071800273204748,0.00020902625000176702,0.00020757803193680098,0.00020757803193680098,0.0
train,5,6.827250880448325e-05,0.005216674494654532,0.00015568915994168108,0.00014008771013024728,0.00014008771013024728,0.0
train,6,1.1540948728582158e-06,0.00027394527713541265,2.821209620168614e-06,2.5068805760344907e-06,2.5068805760344907e-06,0.0
train,7,0.00013380728687925448,0.007087838382990908,0.00022582378621519386,0.00018224955702881985,0.00018224955702881985,0.0
train,8,6.769460386942104e-05,0.0022318414661381607,8.17766035006266e-05,4.580788081086397e-05,4.580788081086397e-05,0.0
train,9,0.0001841906139535105,0.004384904623196251,0.0002548885453530795,0.00017694898588321476,0.00017694898588321476,0.0
train,10,0.0001090757261901124,0.0032909652173761716,0.00018987157049405237,0.00015600483949927249,0.00015600483949927249,0.0
train,11,0.00032881396820057083,0.012766370194494248,0.00047738151615760594,0.00034716573748552954,0.00034716573748552954,0.0
train,12,4.960126905305212e-06,0.0019850355099589245,3.9541002494680935e-05,3.921622523749357e-05,3.921622523749357e-05,0.0
train,13,5.425574209896322e-07,0.0001925574478252258,1.0755013030233466e-06,9.254870602691642e-07,9.254870602691642e-07,0.0
train,14,0.000307368843012312,0.012195987758241156,0.0004843799868794022,0.0003755435233554144,0.0003755435233554144,0.0
train,15,1.1436910396895361e-05,0.001454144603096454,2.2020759442697923e-05,1.881702857174668e-05,1.881702857174668e-05,0.0
train,16,0.00023041285903332032,0.004796763080102691,0.00027354920470423614,0.00014793162270872642,0.00014793162270872642,0.0
train,17,0.00023784705529188014,0.00710752900519096,0.00024629625978124953,6.396759412250895e-05,6.396759412250895e-05,0.0
train,18,9.386648807871481e-05,0.0029575533754262772,0.0001614038796070959,0.00013169515394871644,0.00013169515394871644,0.0
train,19,8.978310551951677e-05,0.005357046166243266,0.00013754088403463064,0.00010435137831204778,0.00010435137831204778,0.0
train,20,3.6567487261989415e-05,0.001638969250654634,6.842606345502697e-05,5.777534358574394e-05,5.777534358574394e-05,0.0
train,21,4.736198678136167e-06,0.0010779344783685754,1.4819131004814049e-05,1.4036449309863816e-05,1.4036449309863816e-05,0.0
train,22,0.0003670354854237761,0.010416009965898249,0.00039511669879972,0.00014643568868440856,0.00014643568868440856,0.0
train,23,7.71881125411265e-05,0.013204284370082921,0.0006411746250002838,0.000638647845739221,0.000638647845739221,0.0
train,24,0.00014596235473832972,0.012409241175019967,0.0005889287045342249,0.0005723349832975729,0.0005723349832975729,0.0
test,0,6.648009587976402e-05,0.0035955340174646487,0.00015711775985726605,0.00014275164492039496,0.00014275164492039496,0.0
test,1,4.487846224212132e-05,0.0020112927422857247,8.881429525929072e-05,7.665903368061583e-05,7.665903368061583e-05,0.0
test,2,0.00010268797443912547,0.0032379107833587803,0.0001866727390509209,0.00015648932428632213,0.00015648932428632213,0.0
test,3,1.0829033515880557e-05,0.0018882663075168993,3.932948522590584e-05,3.7754286197059126e-05,3.7754286197059126e-05,0.0
test,4,5.033413595338755e-06,0.0010228737075002887,1.3504616728667279e-05,1.252612708514079e-05,1.252612708514079e-05,0.0
test,5,2.310827953923262e-05,0.007389721898817053,0.0002762812676207339,0.000275836758504722,0.000275836758504722,0.0
test,6,5.012222275319695e-07,0.00020211468195737703,1.1783989766418088e-06,1.0627340858072727e-06,1.0627340858072727e-06,0.0
