split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,1.0176179703860905e-05,0.001009595137179229,2.3246320956647067e-05,2.092785754738575e-05,2.092785754738575e-05,0.0
train,1,4.9324724340446866e-05,0.0019824515090130445,8.982394348084148e-05,7.53288125394548e-05,7.53288125394548e-05,0.0
train,2,0.00015161921958121562,0.009999559318185108,0.00041961193275446147,0.00039225868132229094,0.00039225868132229094,0.0
train,3,0.00032739804775701526,0.006983526395951796,0.0003390507043365162,8.845906910964604e-05,8.845906910964604e-05,0.0
train,4,2.714146102892693e-05,0.006071800273204748,0.00020902625000176702,0.0002076411080027068,0.0002076411080027068,0.0
train,5,6.827249973652499e-05,0.005216674494654532,0.00015568915994168108,0.00014010876269329378,0.00014010876269329378,0.0
train,6,1.1513490959270037e-06,0.00027394527713541265,2.821209620168614e-06,2.5762454064726484e-06,2.5762454064726484e-06,0.0
train,7,0.0001338072664963351,0.007087838382990908,0.00022582378621519386,0.00018224857364335646,0.00018224857364335646,0.0
train,8,6.769433880700024e-05,0.0022318414661381607,8.17766035006266e-05,4.599176353919951e-05,4.599176353919951e-05,0.0
train,9,0.00018419039707111967,0.004384904623196251,0.0002548885453530795,0.00017722272243629865,0.00017722272243629865,0.0
train,10,0.00010907537553043465,0.0032909652173761716,0.00018987157049405237,0.0001562759373405329,0.0001562759373405329,0.0
train,11,0.000328813904242817,0.012766370194494248,0.00047738151615760594,0.0003471200830540297,0.0003471200830540297,0.0
train,12,4.958257485465231e-06,0.0019850355099589245,3.9541002494680935e-05,3.9252858656789906e-05,3.9252858656789906e-05,0.0
train,13,5.425467233336464e-07,0.0001925574478252258,1.0755013030233466e-06,9.286714887026852e-07,9.286714887026852e-07,0.0
train,14,0.00030736881343213765,0.012195987758241156,0.0004843799868794022,0.0003755227432953751,0.0003755227432953751,0.0
train,15,1.1436904849337404e-05,0.001454144603096454,2.2020759442697923e-05,1.882476161104383e-05,1.882476161104383e-05,0.0
train,16,0.00023041260205480097,0.004796763080102691,0.00027354920470423614,0.00014826596565027615,0.00014826596565027615,0.0
train,17,0.00023784689384288412,0.00710752900519096,0.00024629625978124953,6.399359449696642e-05,6.399359449696642e-05,0.0
train,18,9.386612120641243e-05,0.0029575533754262772,0.0001614038796070959,0.00013195190306963372,0.00013195190306963372,0.0
train,19,8.978304871257185e-05,0.005357046166243266,0.00013754088403463064,0.00010433278402961341,0.00010433278402961341,0.0
train,20,3.6566704394668186e-05,0.001638969250654634,6.842606345502697e-05,5.8013357437081806e-05,5.8013357437081806e-05,0.0
train,21,4.73606363894226e-06,0.0010779344783685754,1.4819131004814049e-05,1.4045703661492316e-05,1.4045703661492316e-05,0.0
train,22,0.0003670354019814532,0.010416009965898249,0.00039511669879972,0.00014645241511503652,0.00014645241511503652,0.0
train,23,7.718781203474266e-05,0.013204284370082921,0.0006411746250002838,0.000638682106890238,0.000638682106890238,0.0
train,24,0.00014596225986622147,0.012409241175019967,0.0005889287045342249,0.0005723697872218404,0.0005723697872218404,0.0
test,0,6.647951733869575e-05,0.0035955340174646487,0.00015711775985726605,0.00014302078208994535,0.00014302078208994535,0.0
test,1,4.487767001700267e-05,0.0020112927422857247,8.881429525929072e-05,7.69263129224059e-05,7.69263129224059e-05,0.0
test,2,0.00010268759750605996,0.0032379107833587803,0.0001866727390509209,0.00015676356780554288,0.00015676356780554288,0.0
test,3,1.0827721017144711e-05,0.0018882663075168993,3.932948522590584e-05,3.783820847807798e-05,3.783820847807798e-05,0.0
test,4,5.033349341375876e-06,0.0010228737075002887,1.3504616728667279e-05,1.2534685832250331e-05,1.2534685832250331e-05,0.0
test,5,2.3107417763100695e-05,0.007389721898817053,0.0002762812676207339,0.0002758710228612649,0.0002758710228612649,0.0
test,6,5.011660509720896e-07,0.00020211468195737703,1.1783989766418088e-06,1.0665691694206731e-06,1.0665691694206731e-06,0.0
