split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,0.001524163534204622,0.0018240986901024272,0.0015320029124380277,0.0015247935758552363,0.00014062443363556395,0.001531237899332812
train,1,0.0013874248442508365,0.0023489838571361258,0.0013884778413311364,0.0013828574005809741,8.092588682009005e-05,0.0013882069897650526
train,2,0.0014517448865488199,0.01016459321901768,0.00148403143165544,0.0014875472450346973,0.00030547560565219467,0.0014382669597296349
train,3,0.0013803421014787556,0.007193652802240104,0.0013842209999398065,0.0013701623717803436,8.419890214039675e-05,0.0013690949359504532
train,4,0.0014385474246516984,0.006085630186843112,0.0014464822866030586,0.0014541138249339332,0.00013148214368478918,0.0014547665842123483
train,5,0.0013037523415925872,0.005465110757174416,0.001312946812146336,0.0013163764171000743,0.00015172201883645537,0.0013150839676000948
train,6,0.0014401651765216141,0.0014598062641088079,0.0014410369578811957,0.001440196123295901,4.595816569732094e-05,0.0014409951819569383
train,7,0.0014491813332882203,0.007275051234500954,0.0014530629009804057,0.0014543660390850172,0.00010934607568607588,0.0014456402319929628
train,8,0.0013659022073925725,0.0026592287252335785,0.0013682262655826314,0.0013630118098943056,6.355831243640707e-05,0.001363466964245298
train,9,0.0015020765182447748,0.004565886460130909,0.001504063852823258,0.0014833499453694578,7.591403028400454e-05,0.0014824949368827912
train,10,0.0015299812483469048,0.0036050358453378183,0.0015359834158442367,0.0015326724594974664,0.0001114093969723097,0.0015277494188209169
train,11,0.001538370949124355,0.01270310570087034,0.0015499829970250956,0.0015191829642882593,0.000202493202234739,0.001488278673742678
train,12,0.0013949874925639485,0.002507559819164687,0.0014005404843334774,0.0013958706786249416,0.0001389467715522756,0.0014028231654326653
train,13,0.0013812795070139068,0.0013845403449657305,0.0013855415547134168,0.0013812852061072009,0.00010825117225609184,0.0013854820484377126
train,14,0.0015453691668601542,0.012351893666089797,0.0015745378361511678,0.0015513686622116792,0.00030624015940899186,0.0015066015639051608
train,15,0.0013099932566791304,0.0020331941327556917,0.0013136776109837474,0.0013091370980164068,9.756347885745185e-05,0.0013114262216691337
train,16,0.001503217214787943,0.005012521271087158,0.0015185126291407292,0.0014899159121546778,0.00019750226744793859,0.001490885262731969
train,17,0.001454665530328144,0.007236961045898437,0.0014599458450585449,0.0014341685774708246,0.0001301030043957623,0.0014339923449357684
train,18,0.0012793215302060227,0.003357057009527419,0.0013085205688949198,0.0012756566928712346,0.0002513865349211619,0.0012816215209207435
train,19,0.0013169713857324754,0.005355277970809454,0.0013513791573056652,0.0013173379010548787,0.0003013004451572293,0.0013300006493596655
train,20,0.0013374789687715547,0.0021735896292667763,0.0013381288079600154,0.0013389984430495592,6.028885376136859e-05,0.001341594816349178
train,21,0.0014268502240748515,0.0019165389857104603,0.0014386705075303638,0.0014271959423438375,0.00018579276260713984,0.0014407778254628477
train,22,0.0014451845511904411,0.010380477089265172,0.0014667543594261757,0.0014344823567536736,0.00026500761255054576,0.001434810070127079
train,23,0.0013454374947995955,0.013175194811435665,0.0014545172162606676,0.0014933758155024298,0.0005477080982595935,0.001360010672325087
train,24,0.001372958808026236,0.012348711534432991,0.0015443421118351015,0.0014778730593911246,0.0007071589050612713,0.0013712971095979647
test,0,0.0013648391965357376,0.0039625887290337366,0.001393074786541921,0.0013673457281626138,0.0002551136327382243,0.0013693375603808817
test,1,0.0012641769908432728,0.002324442229748151,0.0012731869865533242,0.0012622061075140988,0.00013617395122090465,0.0012666242560108354
test,2,0.0014250902725030557,0.003658127812597424,0.001450376888895999,0.0014186794690757964,0.00024746629982972805,0.0014183545409096267
test,3,0.0013506097319210557,0.0024815494466259636,0.001361167436988392,0.001350296022096436,0.0001754531648333706,0.0013656610116382336
test,4,0.0013907578282894694,0.001767750203363414,0.0013943252914044965,0.0013911163057071666,9.965707349670639e-05,0.0013938349764158117
test,5,0.001458598489144417,0.007599371430192289,0.0014740088740179548,0.0014818193443565351,0.00021757803425323708,0.001459799170993348
test,6,0.001357962791452575,0.0013808877546691494,0.0013621366783825761,0.001357982239936651,0.00010695187236778421,0.001362122980243036
