split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,8.241967793582992e-08,4.105527093471028e-05,1.9053197019480958e-07,1.7148138880068892e-07,1.7148138880068892e-07,0.0
train,1,3.8351134138779775e-07,7.654976157303851e-05,6.897038599171851e-07,5.728666518724951e-07,5.728666518724951e-07,0.0
train,2,1.2544404848048085e-06,0.00041308096171099477,3.4929222879834913e-06,3.2601662572643256e-06,3.2601662572643256e-06,0.0
train,3,2.6967732874775605e-06,0.0002875251522550226,2.837639246872803e-06,8.82533398405326e-07,8.82533398405326e-07,0.0
train,4,2.1248747395994451e-07,0.0002361344475158096,1.6148858659044398e-06,1.6008332263657304e-06,1.6008332263657304e-06,0.0
train,5,5.598257413939549e-07,0.00021351324607996245,1.2808323862136237e-06,1.1520313250951698e-06,1.1520313250951698e-06,0.0
train,6,9.265683429842754e-09,1.1041080942638122e-05,2.282128753418782e-08,2.0718985050878027e-08,2.0718985050878027e-08,0.0
train,7,1.1000862411483447e-06,0.0002901796244050734,1.8564597068612352e-06,1.495523068677875e-06,1.495523068677875e-06,0.0
train,8,5.306944654880253e-07,8.689952100470178e-05,6.329386112103095e-07,3.4457693183608194e-07,3.4457693183608194e-07,0.0
train,9,1.4238156665233744e-06,0.00016773409082863674,1.93478131318903e-06,1.3097298879322367e-06,1.3097298879322367e-06,0.0
train,10,8.410996507807133e-07,0.0001258014274600083,1.4418113393408465e-06,1.1707385509068298e-06,1.1707385509068298e-06,0.0
train,11,2.586627729720352e-06,0.0004993023040429591,3.7321442991147184e-06,2.6908043792071474e-06,2.6908043792071474e-06,0.0
train,12,4.0092243650746145e-08,8.065925051292254e-05,3.225412263876018e-07,3.199752975510693e-07,3.199752975510693e-07,0.0
train,13,4.361439359828506e-09,7.735698486976284e-06,8.648623863044824e-09,7.462042771492557e-09,7.462042771492557e-09,0.0
train,14,2.5307975483669567e-06,0.0005010590877200063,3.997721201220251e-06,3.0950748226358407e-06,3.0950748226358407e-06,0.0
train,15,9.028018639936424e-08,5.748089367236896e-05,1.7370908137132788e-07,1.4839258623070925e-07,1.4839258623070925e-07,0.0
train,16,1.8886230296348794e-06,0.0001997544669103943,2.2974497683321787e-06,1.307883608341533e-06,1.307883608341533e-06,0.0
train,17,1.959133748948956e-06,0.00028726209754096596,2.0331594952229518e-06,5.434957275591434e-07,5.434957275591434e-07,0.0
train,18,7.255701867486831e-07,0.00011334253229841466,1.229304509374022e-06,9.91992174061669e-07,9.91992174061669e-07,0.0
train,19,7.302403026085232e-07,0.0002178792767181724,1.1215020235943207e-06,8.51267867025686e-07,8.51267867025686e-07,0.0
train,20,2.9854693734414037e-07,6.759763657068425e-05,5.67941608719343e-07,4.827506024176017e-07,4.827506024176017e-07,0.0
train,21,3.83232660755123e-08,4.35841253702355e-05,1.2014234574883912e-07,1.1384933322692334e-07,1.1384933322692334e-07,0.0
train,22,2.848466406529145e-06,0.00041491105991412126,3.0787850269764513e-06,1.1684796604942776e-06,1.1684796604942776e-06,0.0
train,23,5.867117525889149e-07,0.0005074764507529944,4.881052405474978e-06,4.846234218576853e-06,4.846234218576853e-06,0.0
train,24,1.2122457758568244e-06,0.0005148470943498761,4.929808848700558e-06,4.778990336576102e-06,4.778990336576102e-06,0.0
test,0,5.157266734669143e-07,0.0001392273270896143,1.198358711951305e-06,1.0813403399399483e-06,1.0813403399399483e-06,0.0
test,1,3.6686799316690946e-07,8.305844012459559e-05,7.397940818891844e-07,6.420104631270186e-07,6.420104631270186e-07,0.0
test,2,7.913577173462477e-07,0.00012378887828311448,1.416964433439707e-06,1.175069901389576e-06,1.175069901389576e-06,0.0
test,3,8.760711321531025e-08,7.6764508141262e-05,3.212287458512163e-07,3.088961665361169e-07,3.088961665361169e-07,0.0
test,4,3.981430597004842e-08,4.0488468479825275e-05,1.0665349301698397e-07,9.892684864369173e-08,9.892684864369173e-08,0.0
test,5,1.911618895512245e-07,0.0003043333075780703,2.291446571050968e-06,2.2835816134937446e-06,2.2835816134937446e-06,0.0
test,6,3.989498282610727e-09,8.047578864218425e-06,9.37460266884788e-09,8.475610863919633e-09,8.475610863919633e-09,0.0
