split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,1.5585607415249687e-05,4.364375089338382e-05,1.5318405915115873e-05,1.5557918200381342e-05,1.9754168888129357e-06,1.5312378993319748e-05
train,1,1.4616438698143344e-05,7.693577882794726e-05,1.3878048789549425e-05,1.4409623311771482e-05,5.4301172680025685e-06,1.3882069897654068e-05
train,2,1.4590404707720582e-05,0.00041395630770400425,1.4681512603243303e-05,1.4706853574613105e-05,2.472021409144758e-06,1.4382669597292237e-05
train,3,1.5087846606093528e-05,0.0002886576061416456,1.3762182704676834e-05,1.473822873064295e-05,5.476909427585706e-06,1.3690949359543484e-05
train,4,1.5080004698311064e-05,0.0002349759280839918,1.445719403232161e-05,1.504074327159321e-05,3.133302869671401e-06,1.4547665842109288e-05
train,5,1.3060035280225922e-05,0.00021480237086451992,1.3119899917448128e-05,1.3119887931377389e-05,7.422913690692388e-07,1.315083967602052e-05
train,6,1.4486641368263296e-05,1.7925531859403858e-05,1.441028248257596e-05,1.448500628928255e-05,1.3014789986955701e-06,1.4409951819542673e-05
train,7,1.4553837089650374e-05,0.00029096765790648287,1.4491415616668238e-05,1.458892578913782e-05,1.9640799787603205e-06,1.4456402319969542e-05
train,8,1.4211511322208868e-05,8.847567160440517e-05,1.3667778656877801e-05,1.410121363868305e-05,3.283409240966972e-06,1.363466964245159e-05
train,9,1.609579853306859e-05,0.0001677004135411591,1.4945586997834683e-05,1.5506078853075542e-05,6.182202004861283e-06,1.482494936881846e-05
train,10,1.636519691337159e-05,0.00012647381317704067,1.5318292039696362e-05,1.598363933694529e-05,4.834799732760636e-06,1.527749418819215e-05
train,11,1.5678368603038698e-05,0.0004980028044119416,1.5240680772301717e-05,1.566069756908174e-05,4.750623853837708e-06,1.4882786737380555e-05
train,12,1.4200041837309909e-05,8.280744087851192e-05,1.4008767218418464e-05,1.4190811658881432e-05,3.9519115654390965e-06,1.4028231654333967e-05
train,13,1.3812887902168916e-05,1.5358058497361476e-05,1.3855297302107781e-05,1.381290176643076e-05,1.0176791247652033e-06,1.3854820484391149e-05
train,14,1.5600913490029486e-05,0.0005019144513245528,1.551912082295797e-05,1.5707123378985113e-05,4.126468425315751e-06,1.506601563899913e-05
train,15,1.3099809705728406e-05,5.9950784499611926e-05,1.3131734020565168e-05,1.3091212189025575e-05,7.988477606506393e-07,1.311426221670791e-05
train,16,1.627849227694207e-05,0.00020019749624919839,1.5110126591801362e-05,1.571684727626031e-05,5.390052036703951e-06,1.4908852627320554e-05
train,17,1.5373802571788192e-05,0.0002874728779683309,1.4523566448674446e-05,1.5189658062065856e-05,5.175626055112766e-06,1.4339923449345069e-05
train,18,1.3918076091173121e-05,0.0001155367079711389,1.3003787087564301e-05,1.3511705554561886e-05,3.185203688445091e-06,1.281621520922922e-05
train,19,1.3322077991666752e-05,0.00021661234758389527,1.3464305226679047e-05,1.334706584048607e-05,3.0965438795305433e-06,1.330000649358323e-05
train,20,1.4130977677616344e-05,6.963627863182292e-05,1.3384593863484021e-05,1.399448968288142e-05,4.850185794629224e-06,1.3415948163482342e-05
train,21,1.4286760323759453e-05,4.778389087517192e-05,1.4390565953659281e-05,1.4288111968778746e-05,2.2766361724807965e-06,1.4407778254631568e-05
train,22,1.530131219559196e-05,0.0004138346780501491,1.452983471133404e-05,1.5297486569676527e-05,6.906964676754664e-06,1.4348100701294993e-05
train,23,1.4182623558414743e-05,0.0005066730470513944,1.4064364467597219e-05,1.4803675029966848e-05,4.544835069080027e-06,1.3600106723275449e-05
train,24,1.4081251975677107e-05,0.0005136672691139572,1.5017790155190368e-05,1.4609183666323581e-05,6.6110813367824545e-06,1.3712971095988018e-05
test,0,1.4836759772353741e-05,0.00014113181513151504,1.3858839045202032e-05,1.4448444968349333e-05,3.573736666931668e-06,1.3693375603748957e-05
test,1,1.3609990212818735e-05,8.341295915436278e-05,1.2716845127671314e-05,1.3365320991621453e-05,4.227731425734274e-06,1.2666242560122773e-05
test,2,1.538637972760374e-05,0.00012593973912725033,1.4405023966230888e-05,1.4902077051934168e-05,3.984096649900616e-06,1.4183545409072618e-05
test,3,1.3895223127659144e-05,7.984166260302264e-05,1.3619153975652743e-05,1.3857172286479443e-05,4.128300647578189e-06,1.365661011642229e-05
test,4,1.3917266816289839e-05,4.344619169198789e-05,1.3942132587895552e-05,1.3918803479284521e-05,1.0916170667159854e-06,1.3938349764130408e-05
test,5,1.508653968488952e-05,0.0003053644261007466,1.4679479748398358e-05,1.5145215492282177e-05,4.57376046283396e-06,1.4597991709935976e-05
test,6,1.3580077555056778e-05,1.595426482732832e-05,1.3621337920434512e-05,1.3580184848666325e-05,1.1635881723214874e-06,1.362122980239823e-05
