split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,0.00015300414118143025,0.0010193456992825573,0.000155459284940745,0.0001526396490451286,1.5483771557199157e-05,0.0001531237899332567
train,1,0.00015258512284751336,0.0019787456695995152,0.00016311928196269577,0.00014818854701190314,4.0461404698706185e-05,0.00013882069897650035
train,2,0.00021444966062441286,0.010006887046761911,0.0004387785539911905,0.00041485285601512863,0.00038084452171214557,0.00014382669597294274
train,3,0.0003455571998991216,0.006992770767703595,0.0003554838039058213,0.00014931149680115014,6.189015934382647e-05,0.00013690949359508272
train,4,0.00014635864389211104,0.006057483062767387,0.0002410036371256786,0.000248394754798153,0.00018636689844089914,0.00014547665842124365
train,5,0.00014122471601739152,0.005227180591668309,0.00019633647256190418,0.00019025138930975683,0.00013431987547598458,0.00013150839676000285
train,6,0.000144201136464256,0.00030620712916810673,0.00014416613472388045,0.0001441365625253735,5.616359893030707e-06,0.00014409951819571455
train,7,0.00019697587968497474,0.007093536204481432,0.00026257782154432525,0.00023262782820180917,0.00017451383885627776,0.00014456402319929925
train,8,0.00015454322289366602,0.002241169481242782,0.00016096331365304738,0.00013912044208508548,3.04635588020621e-05,0.0001363466964245638
train,9,0.0002466753464035742,0.004380819604177539,0.00029477270807262186,0.00021036229845576647,0.00013801098098014037,0.00014824949368828747
train,10,0.00018859283630546765,0.003291955885882252,0.00024147246535543386,0.0002001170208822611,0.00012705429337307484,0.00015277494188207594
train,11,0.00037121258844399383,0.012752244076489783,0.0004959848010918987,0.0003819837345365958,0.0003360868971060251,0.00014882786737422431
train,12,0.00013983317508416842,0.0019995006496308226,0.00014299073957240978,0.0001445912887036293,3.6663357211775565e-05,0.0001402823165432877
train,13,0.00013812439972642592,0.00022870348649846686,0.0001386114548932394,0.00013812990648824663,1.1274576700804823e-05,0.00013854820484373586
train,14,0.00034676664259584864,0.012203300661238285,0.0005047694223652434,0.00040668707133940604,0.00037058276041797614,0.00015066015639050864
train,15,0.00013232800715289115,0.0014702670594321037,0.00013500304767839817,0.00013214269293275907,2.6004681938939566e-05,0.0001311426221668808
train,16,0.00027607851565155235,0.004797971747862442,0.0003128702816568597,0.0001879737377240375,0.00011995110738838789,0.00014908852627319255
train,17,0.00028018731206113555,0.007107570763458707,0.000287523539548103,0.00015827703719228567,7.348700885607405e-05,0.00014339923449353773
train,18,0.00016365266474118075,0.0029751576618908732,0.0002164228822913248,0.00016583258186598905,0.0001187715795070929,0.00012816215209210174
train,19,0.00016009183125650824,0.005341989172915182,0.00020111477450996865,0.0001691615506937206,0.00012356603669216648,0.0001330000649359944
train,20,0.00013908272246390945,0.0016516835269400224,0.0001458899777237567,0.00013819406913162058,2.6323879217944918e-05,0.00013415948163486558
train,21,0.00014254211485016514,0.0011073549418564844,0.00014265083978732326,0.00014335574286123087,9.661718704535326e-06,0.00014407778254624834
train,22,0.0003838908213551292,0.010403561241922772,0.00041274825963594886,0.00020477700614780688,0.0001562605087731656,0.00014348100701274826
train,23,0.0001498381251817278,0.013195071897217846,0.0006442746544869808,0.00064983241604301,0.0006256812219773345,0.00013600106723255125
train,24,0.00020132348376481106,0.01239637715315419,0.0006175852607611076,0.0005852561492475464,0.0005828053084645891,0.0001371297109597996
test,0,0.0001546261848991151,0.0036106137491198516,0.00021800331562137063,0.0001791828081005164,0.00013021438016128442,0.00013693375603809714
test,1,0.0001382299317007503,0.0020091494426909486,0.00015750987549577105,0.00013574910063460523,5.378017815709962e-05,0.0001266624256010953
test,2,0.00018341394666513612,0.00325465725720651,0.000246304056003891,0.0001916294636609063,0.00014062699986696167,0.0001418354540910135
test,3,0.00013702477319409498,0.0019123155464029033,0.00013717546003304496,0.0001389279114588464,1.3882774928527645e-05,0.00013656610116377958
test,4,0.00013890298666170348,0.0010388877719762484,0.00014045855010463756,0.00013961640507765543,2.0649322418352564e-05,0.000139383497641546
test,5,0.00015056433171605052,0.007398002713929346,0.00030688303187976986,0.00030952767551385387,0.0002664725726332308,0.00014597991709933597
test,6,0.0001357816702119923,0.0002458989591243274,0.00013623058255651056,0.00013580137474764075,1.1475402194146878e-05,0.0001362122980242901
