split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,1.5242833704307571e-05,4.364375089338382e-05,1.5318405915115873e-05,1.5249227408488627e-05,1.4906836936338388e-06,1.5312378993319748e-05
train,1,1.3856292788597314e-05,7.693577882794726e-05,1.3878048789549425e-05,1.3826475768408004e-05,8.247434757886191e-07,1.3882069897654068e-05
train,2,1.4478950792076277e-05,0.00041395630770400425,1.4681512603243303e-05,1.4722684723514973e-05,2.42452344695418e-06,1.4382669597292237e-05
train,3,1.372486475227043e-05,0.0002886576061416456,1.3762182704676834e-05,1.3713472695716142e-05,9.646890863517347e-07,1.3690949359543484e-05
train,4,1.438489046985114e-05,0.0002349759280839918,1.445719403232161e-05,1.4484781775095122e-05,1.4008062316211416e-06,1.4547665842109288e-05
train,5,1.3041596491946976e-05,0.00021480237086451992,1.3119899917448128e-05,1.3136577114997434e-05,1.4243947692425553e-06,1.315083967602052e-05
train,6,1.4401573967734103e-05,1.7925531859403858e-05,1.441028248257596e-05,1.4401900340627486e-05,4.911714218110116e-07,1.4409951819542673e-05
train,7,1.447264695283259e-05,0.00029096765790648287,1.4491415616668238e-05,1.4506880604736266e-05,7.441357934673621e-07,1.4456402319969542e-05
train,8,1.3649753116665408e-05,8.847567160440517e-05,1.3667778656877801e-05,1.3631103157767253e-05,6.647700981680978e-07,1.363466964245159e-05
train,9,1.4931845155627586e-05,0.0001677004135411591,1.4945586997834683e-05,1.4809205156780497e-05,6.591745081540232e-07,1.482494936881846e-05
train,10,1.5284055194050703e-05,0.00012647381317704067,1.5318292039696362e-05,1.5312802181500515e-05,9.673922670521277e-07,1.527749418819215e-05
train,11,1.5194434798595767e-05,0.0004980028044119416,1.5240680772301717e-05,1.502291820982014e-05,1.213672709503443e-06,1.4882786737380555e-05
train,12,1.3948361976298385e-05,8.280744087851192e-05,1.4008767218418464e-05,1.3955428874881712e-05,1.3261777354431784e-06,1.4028231654333967e-05
train,13,1.3812720645846444e-05,1.5358058497361476e-05,1.3855297302107781e-05,1.3812768473651458e-05,1.0846862672193494e-06,1.3854820484391149e-05
train,14,1.5336241302709195e-05,0.0005019144513245528,1.551912082295797e-05,1.536259767952628e-05,2.382828152434097e-06,1.506601563899913e-05
train,15,1.3097881399562943e-05,5.9950784499611926e-05,1.3131734020565168e-05,1.3091030497547591e-05,9.407303980734777e-07,1.311426221670791e-05
train,16,1.4973750953793323e-05,0.00020019749624919839,1.5110126591801362e-05,1.4907096040342823e-05,1.988262783565243e-06,1.4908852627320554e-05
train,17,1.4476648272535017e-05,0.0002874728779683309,1.4523566448674446e-05,1.4335536986116515e-05,1.1629261745008415e-06,1.4339923449345069e-05
train,18,1.2769777760837317e-05,0.0001155367079711389,1.3003787087564301e-05,1.2747988508512272e-05,2.4028839725763074e-06,1.281621520922922e-05
train,19,1.3155204094626726e-05,0.00021661234758389527,1.3464305226679047e-05,1.3156648705325867e-05,2.8633756351949736e-06,1.330000649358323e-05
train,20,1.337372995963413e-05,6.963627863182292e-05,1.3384593863484021e-05,1.3391831832307734e-05,5.646880510521706e-07,1.3415948163482342e-05
train,21,1.4269033939568729e-05,4.778389087517192e-05,1.4390565953659281e-05,1.4271817951139759e-05,1.8695421389049804e-06,1.4407778254631568e-05
train,22,1.43419189079618e-05,0.0004138346780501491,1.452983471133404e-05,1.4320824090368257e-05,2.360219711686686e-06,1.4348100701294993e-05
train,23,1.3466354321513706e-05,0.0005066730470513944,1.4064364467597219e-05,1.4358005256993017e-05,4.039384657490316e-06,1.3600106723275449e-05
train,24,1.3699775129905683e-05,0.0005136672691139572,1.5017790155190368e-05,1.4448981119222721e-05,6.149277106850669e-06,1.3712971095988018e-05
test,0,1.3638511454114135e-05,0.00014113181513151504,1.3858839045202032e-05,1.3662136906320384e-05,2.406866119931981e-06,1.3693375603748957e-05
test,1,1.2633277248129559e-05,8.341295915436278e-05,1.2716845127671314e-05,1.262628721468642e-05,1.4229868932018142e-06,1.2666242560122773e-05
test,2,1.4217143142421752e-05,0.00012593973912725033,1.4405023966230888e-05,1.4173325033489662e-05,2.268278241847771e-06,1.4183545409072618e-05
test,3,1.3504215570255074e-05,7.984166260302264e-05,1.3619153975652743e-05,1.3502482012311569e-05,1.7753606094942453e-06,1.365661011642229e-05
test,4,1.3907906484982191e-05,4.344619169198789e-05,1.3942132587895552e-05,1.3910677628399443e-05,9.762374870908644e-07,1.3938349764130408e-05
test,5,1.4581038516727652e-05,0.0003053644261007466,1.4679479748398358e-05,1.4741977955526146e-05,1.7070796443379388e-06,1.4597991709935976e-05
test,6,1.357924866869585e-05,1.595426482732832e-05,1.3621337920434512e-05,1.3579404021574908e-05,1.0708497085176312e-06,1.362122980239823e-05
