split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,0.002220806395082777,0.0018240986901024272,0.0015320029124380277,0.0022083131731007524,0.001476038066835481,0.001531237899332812
train,1,0.002562048737399274,0.0023489838571361258,0.0013884778413311364,0.0025037830402737478,0.0022197102898904556,0.0013882069897650526
train,2,0.0016984719165234726,0.01016459321901768,0.00148403143165544,0.0016585096358582986,0.0008130992629344142,0.0014382669597296349
train,3,0.0035166526356725934,0.007193652802240104,0.0013842209999398065,0.003450941904881632,0.0031612178883720205,0.0013690949359504532
train,4,0.002560433472991603,0.006085630186843112,0.0014464822866030586,0.0025235480969490044,0.001971085253315325,0.0014547665842123483
train,5,0.0013488721120507887,0.005465110757174416,0.001312946812146336,0.001339600725556206,0.00019129591356886768,0.0013150839676000948
train,6,0.0016315172201943904,0.0014598062641088079,0.0014410369578811957,0.001630604243895187,0.0007348249990071749,0.0014409951819569383
train,7,0.0016164587831071363,0.007275051234500954,0.0014530629009804057,0.001620960551689868,0.0007578918064279366,0.0014456402319929628
train,8,0.002289375999359211,0.0026592287252335785,0.0013682262655826314,0.0022554985130620784,0.001761209491895301,0.001363466964245298
train,9,0.003126213824714055,0.004565886460130909,0.001504063852823258,0.002979930955281119,0.002726291551077255,0.0014824949368827912
train,10,0.003090330171245309,0.0036050358453378183,0.0015359834158442367,0.0029700124494681963,0.0025602375693072887,0.0015277494188209169
train,11,0.0024946803842013,0.01270310570087034,0.0015499829970250956,0.002540821256899886,0.0020677174233132804,0.001488278673742678
train,12,0.0019093966539686581,0.002507559819164687,0.0014005404843334774,0.0019035039892487079,0.0014297850682521629,0.0014028231654326653
train,13,0.001381705286742489,0.0013845403449657305,0.0013855415547134168,0.0013816898008806042,7.441553399563396e-05,0.0013854820484377126
train,14,0.002025262621006792,0.012351893666089797,0.0015745378361511678,0.0020645432731238637,0.001405785964584639,0.0015066015639051608
train,15,0.001314680784102621,0.0020331941327556917,0.0013136776109837474,0.00131272319173488,7.867259611529605e-05,0.0013114262216691337
train,16,0.0036106921447701702,0.005012521271087158,0.0015185126291407292,0.0034897289800856824,0.003162393094110073,0.001490885262731969
train,17,0.003020769803791189,0.007236961045898437,0.0014599458450585449,0.003011382790670222,0.0026562428637723116,0.0014339923449357684
train,18,0.0028542862742587005,0.003357057009527419,0.0013085205688949198,0.002746841694799781,0.0022906626459894695,0.0012816215209207435
train,19,0.001641690948962578,0.005355277970809454,0.0013513791573056652,0.0016527559050008285,0.0009563541217212805,0.0013300006493596655
train,20,0.0026507026359240404,0.0021735896292667763,0.0013381288079600154,0.0026075782403484626,0.00231135508427442,0.001341594816349178
train,21,0.0014676214499637675,0.0019165389857104603,0.0014386705075303638,0.0014670959695427428,0.0004591642088870807,0.0014407778254628477
train,22,0.0028029263675771253,0.010380477089265172,0.0014667543594261757,0.002795683682516655,0.0025383748140199694,0.001434810070127079
train,23,0.0024855911847508614,0.013175194811435665,0.0014545172162606676,0.00248759641933822,0.0019576809476739344,0.001360010672325087
train,24,0.0021083303676009434,0.012348711534432991,0.0015443421118351015,0.0020870188180805846,0.0016511971157260738,0.0013712971095979647
test,0,0.0030216572817955405,0.0039625887290337366,0.001393074786541921,0.0029097408470920914,0.0024411441889291147,0.0013693375603808817
test,1,0.002848970006144059,0.002324442229748151,0.0012731869865533242,0.0027872404313995115,0.0024557863896755906,0.0012666242560108354
test,2,0.003056703976569788,0.003658127812597424,0.001450376888895999,0.002928482177762523,0.002475348728388229,0.0014183545409096267
test,3,0.0021066078649513895,0.0024815494466259636,0.001361167436988392,0.002093700004264164,0.0016734226535106414,0.0013656610116382336
test,4,0.0014121968237233939,0.001767750203363414,0.0013943252914044965,0.001411804123194981,0.0002601476902923438,0.0013938349764158117
test,5,0.0024060897719248727,0.007599371430192289,0.0014740088740179548,0.002384092099402548,0.001957599515922421,0.001459799170993348
test,6,0.0013597602716136272,0.0013808877546691494,0.0013621366783825761,0.0013597500980297185,0.000156298393959404,0.001362122980243036
