split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,0.001524851159877733,0.0015312910620236483,0.0015312427538920624,0.0015248574012858107,0.0001397700126608176,0.001531237899332812
train,1,0.001381674584496261,0.0013855078970046648,0.00138818600711097,0.0013816412325841547,0.00013431773457278425,0.0013882069897650526
train,2,0.0014359153513591764,0.0015135904287128204,0.0014381490048331028,0.0014358525082297593,8.012984676383515e-05,0.0014382669597296318
train,3,0.0013686306128245828,0.0014154848949403814,0.001368875207619481,0.0013688577608054525,2.5876499381583832e-05,0.0013690949359504558
train,4,0.0014397241386022567,0.0014478821710465096,0.0014545876475980082,0.0014397399637944054,0.00020742645606332377,0.001454766584212352
train,5,0.001308574269296384,0.0013464599947329607,0.0013149913110648993,0.0013086309027868386,0.0001297499386647549,0.0013150839676000948
train,6,0.0014401893135097068,0.0014407519811381192,0.001440995494733212,0.0014401896566538373,4.8195489816572504e-05,0.0014409951819569383
train,7,0.001442959337689672,0.0014828949695589384,0.0014455572760664977,0.0014429584781638985,8.663059859690997e-05,0.0014456402319929576
train,8,0.0013627770093630805,0.001369541908527587,0.001363485569335621,0.0013627650909349602,4.395393437984998e-05,0.001363466964245298
train,9,0.0014757252543837079,0.0014841894752041854,0.0014824910752112583,0.0014756196083561158,0.00014150451011555562,0.0014824949368827912
train,10,0.001527209407896849,0.0015308385707997045,0.001527722915900681,0.0015272210054691178,3.9608829545147496e-05,0.0015277494188209169
train,11,0.0014780337585483339,0.0015206994132263131,0.0014881775937181352,0.0014778387912596487,0.00017347513405427926,0.0014882786737426817
train,12,0.0013951865554422283,0.0014106223367674562,0.0014028000434082942,0.0013951898543601929,0.00014596099015791098,0.0014028231654326653
train,13,0.0013812766531367412,0.0013849287474384706,0.0013854825225911723,0.001381276705308499,0.00010787292261195512,0.0013854820484377126
train,14,0.0015047544299503484,0.0016074827231400725,0.0015065363935346107,0.0015046760945722642,7.325980338507256e-05,0.0015066015639051621
train,15,0.001309028068554373,0.0013171745302518738,0.0013114425660552397,0.0013090206713081926,7.954436260791679e-05,0.0013114262216691308
train,16,0.0014854866392086598,0.001502708345086938,0.001490912647091953,0.001485486740635253,0.000127082079421494,0.001490885262731971
train,17,0.0014325874357436483,0.0014595905268061592,0.001434034470682007,0.001432568600608436,6.44074334140973e-05,0.0014339923449357712
train,18,0.0012713737254186949,0.0012996902867161838,0.001281752092158245,0.0012713372178040294,0.00016280256213478756,0.0012816215209207435
train,19,0.0013128884582712845,0.0013204685075784716,0.001330119146030092,0.0013128825074128921,0.00021340659646048186,0.001330000649359673
train,20,0.001338452822822338,0.0013470057195081372,0.0013415515967796685,0.0013384667589422905,9.114166804626303e-05,0.0013415948163491788
train,21,0.0014271352962821392,0.0014475338804997107,0.0014407601274273622,0.0014271376820522645,0.00019767527193666507,0.0014407778254628477
train,22,0.001427071900279859,0.0014563789470419467,0.001434665931438917,0.001427280685863209,0.00014743812586858943,0.0014348100701270783
train,23,0.0013517218349623473,0.0014167526038699426,0.0013596156555260618,0.001351792441420328,0.0001462981174689961,0.001360010672325087
train,24,0.001363796399745594,0.0014161115830219663,0.0013717866484133621,0.0013637961393842082,0.0001478551033798637,0.0013712971095979647
test,0,0.001362360381024281,0.001388925056550933,0.0013694521066465808,0.0013623554534039715,0.0001392129735304712,0.0013693375603808817
test,1,0.001261256042614734,0.0012653434586019198,0.0012666535708799234,0.00126124071320699,0.00011681152788199116,0.0012666242560108354
test,2,0.0014129834575160353,0.0014354961318489826,0.0014185076694174937,0.0014129166968412483,0.00012508647913509846,0.0014183545409096267
test,3,0.0013499329818086104,0.0013785726771323099,0.0013656198660754806,0.0013499284845163882,0.0002063991349545467,0.0013656610116382336
test,4,0.0013910312026589676,0.0013963570630089715,0.001393838355783559,0.0013910337361969188,8.84171166441678e-05,0.0013938349764158172
test,5,0.0014565163671040643,0.0015050545864454042,0.0014597028375643746,0.0014565034247071397,9.640585678000691e-05,0.001459799170993348
test,6,0.0013579404012070626,0.00136230227584012,0.0013621230851677897,0.0013579405521831765,0.0001066588104049872,0.001362122980243032
