split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,1.5242799015407009e-05,4.364375089338382e-05,1.5318405915115873e-05,1.5249539938507225e-05,1.5198676607268297e-06,1.5312378993319748e-05
train,1,1.385621463322871e-05,7.693577882794726e-05,1.3878048789549425e-05,1.3828272431406128e-05,7.787439755316355e-07,1.3882069897654068e-05
train,2,1.4478939596034774e-05,0.00041395630770400425,1.4681512603243303e-05,1.4723932300537838e-05,2.430651423346644e-06,1.4382669597292237e-05
train,3,1.3724721574710953e-05,0.0002886576061416456,1.3762182704676834e-05,1.3717024219985846e-05,1.0143700445272854e-06,1.3690949359543484e-05
train,4,1.4384819228104753e-05,0.0002349759280839918,1.445719403232161e-05,1.4486116500498376e-05,1.4444924800539024e-06,1.4547665842109288e-05
train,5,1.3041594645769658e-05,0.00021480237086451992,1.3119899917448128e-05,1.3136925272768346e-05,1.4312407737915743e-06,1.315083967602052e-05
train,6,1.4401565429528438e-05,1.7925531859403858e-05,1.441028248257596e-05,1.4401911543330487e-05,5.010550847923077e-07,1.4409951819542673e-05
train,7,1.4472638805595043e-05,0.00029096765790648287,1.4491415616668238e-05,1.4506861738643608e-05,7.375791176686962e-07,1.4456402319969542e-05
train,8,1.3649695743924952e-05,8.847567160440517e-05,1.3667778656877801e-05,1.3632005976696217e-05,7.025145118580188e-07,1.363466964245159e-05
train,9,1.493172413839921e-05,0.0001677004135411591,1.4945586997834683e-05,1.4814150255851687e-05,6.437007109125278e-07,1.482494936881846e-05
train,10,1.528394317690399e-05,0.00012647381317704067,1.5318292039696362e-05,1.5317013532235085e-05,1.0248849458355834e-06,1.527749418819215e-05
train,11,1.5194385597563832e-05,0.0004980028044119416,1.5240680772301717e-05,1.5021326748491773e-05,1.1874038618722582e-06,1.4882786737380555e-05
train,12,1.3948336562283008e-05,8.280744087851192e-05,1.4008767218418464e-05,1.395556823498382e-05,1.300105132368304e-06,1.4028231654333967e-05
train,13,1.38127206291395e-05,1.5358058497361476e-05,1.3855297302107781e-05,1.3812768792688896e-05,1.0853565403450638e-06,1.3854820484391149e-05
train,14,1.5336214588723757e-05,0.0005019144513245528,1.551912082295797e-05,1.5361751193217582e-05,2.376006624118794e-06,1.506601563899913e-05
train,15,1.3097881206646478e-05,5.9950784499611926e-05,1.3131734020565168e-05,1.3091047778421933e-05,9.423066565209102e-07,1.311426221670791e-05
train,16,1.4973614688999186e-05,0.00020019749624919839,1.5110126591801362e-05,1.4912326002869603e-05,2.0263573831741727e-06,1.4908852627320554e-05
train,17,1.4476555705852679e-05,0.0002874728779683309,1.4523566448674446e-05,1.4335990830050837e-05,1.1675790816006225e-06,1.4339923449345069e-05
train,18,1.2769657682857165e-05,0.0001155367079711389,1.3003787087564301e-05,1.2752027472003345e-05,2.456365952400178e-06,1.281621520922922e-05
train,19,1.3155187289625476e-05,0.00021661234758389527,1.3464305226679047e-05,1.3156392879189316e-05,2.8685828502258853e-06,1.330000649358323e-05
train,20,1.3373652031392031e-05,6.963627863182292e-05,1.3384593863484021e-05,1.3393370570372316e-05,5.413441289046146e-07,1.3415948163482342e-05
train,21,1.4269032164549422e-05,4.778389087517192e-05,1.4390565953659281e-05,1.4271830486089757e-05,1.8663648690010876e-06,1.4407778254631568e-05
train,22,1.4341819690465247e-05,0.0004138346780501491,1.452983471133404e-05,1.4320556888258703e-05,2.3304185902504863e-06,1.4348100701294993e-05
train,23,1.3466280737377087e-05,0.0005066730470513944,1.4064364467597219e-05,1.4360308090780357e-05,4.058247498024704e-06,1.3600106723275449e-05
train,24,1.3699736422818138e-05,0.0005136672691139572,1.5017790155190368e-05,1.4451001032931559e-05,6.153015394662428e-06,1.3712971095988018e-05
test,0,1.3638386276821494e-05,0.00014113181513151504,1.3858839045202032e-05,1.3666415734175691e-05,2.461958950340484e-06,1.3693375603748957e-05
test,1,1.2633175723264066e-05,8.341295915436278e-05,1.2716845127671314e-05,1.2628733037376904e-05,1.4561152481291242e-06,1.2666242560122773e-05
test,2,1.4217021324578857e-05,0.00012593973912725033,1.4405023966230888e-05,1.4177944897714307e-05,2.3196360616090366e-06,1.4183545409072618e-05
test,3,1.3504175873590619e-05,7.984166260302264e-05,1.3619153975652743e-05,1.3502816582693952e-05,1.7660859804765762e-06,1.365661011642229e-05
test,4,1.3907905547874361e-05,4.344619169198789e-05,1.3942132587895552e-05,1.3910689038050447e-05,9.763356487562122e-07,1.3938349764130408e-05
test,5,1.4580987051853198e-05,0.0003053644261007466,1.4679479748398358e-05,1.4742926787383264e-05,1.6978046009892644e-06,1.4597991709935976e-05
test,6,1.3579248585797835e-05,1.595426482732832e-05,1.3621337920434512e-05,1.3579404424918867e-05,1.0699854455165719e-06,1.362122980239823e-05
