split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,0.00015247974961106605,0.00015805112469048464,0.00015312875110537244,0.00015248584379425173,1.4084096842187604e-05,0.0001531237899332567
train,1,0.00013819909494379242,0.0001542608650451989,0.0001388012571168287,0.0001381653123126263,1.291685509409387e-05,0.00013882069897650035
train,2,0.00014365648633448924,0.00044327511226534093,0.00014374689629777828,0.00014362186673909244,5.0978796531480145e-06,0.0001438266959729398
train,3,0.0001366827070046473,0.000325676995984881,0.00013671611262874712,0.00013688862317338016,3.022175780002939e-06,0.00013690949359507893
train,4,0.00014395989077826775,0.0002633413837360527,0.00014530569918801823,0.00014398284569824976,1.9731740492427163e-05,0.00014547665842124438
train,5,0.0001308076787045524,0.000258213945406842,0.00013142132829402302,0.0001308681489757038,1.2684810414036613e-05,0.00013150839676000285
train,6,0.00014401863154593075,0.00014423696384356944,0.00014409983259808988,0.00014401896774146906,4.8369245022692315e-06,0.00014409951819571455
train,7,0.00014430115682107482,0.0003280133089069981,0.0001444917797148348,0.00014430351174234276,7.419894268787215e-06,0.00014456402319929925
train,8,0.0001362892799870992,0.00016445997496095788,0.00013636662236730978,0.00013627694221943925,4.592410468927807e-06,0.0001363466964245638
train,9,0.00014767641502279257,0.00021863641308050106,0.00014825699457186726,0.00014756768964328018,1.3110400988257875e-05,0.00014824949368828747
train,10,0.00015271295563263604,0.00019628659255532157,0.0001527545610155681,0.00015272654739195013,3.5650243915564204e-06,0.00015277494188207594
train,11,0.0001480015899468254,0.0005062386545044749,0.00014876889490368755,0.0001478081208357719,1.5091285344733383e-05,0.00014882786737422431
train,12,0.00013951541931964107,0.000166519385988517,0.00014025952657658767,0.00013951936792306862,1.4429085886253765e-05,0.0001402823165432877
train,13,0.00013812762084353808,0.0001381889101455976,0.0001385486792394083,0.0001381276682885891,1.0793375041809804e-05,0.00013854820484373586
train,14,0.0001505679723617256,0.000529214431450062,0.00015064272166027045,0.00015049911495750896,4.745325139068047e-06,0.00015066015639050864
train,15,0.000130909466206394,0.00014725160779677335,0.00013115906916482355,0.00013090215060817585,8.087951760025691e-06,0.0001311426221668782
train,16,0.00014855980120873083,0.0002483513667934442,0.00014913183622869265,0.00014855437950178708,1.3049553221138474e-05,0.00014908852627319066
train,17,0.00014328793593197816,0.0003197466933830622,0.00014345432232629039,0.00014325788107597963,6.9074172239514285e-06,0.00014339923449353657
train,18,0.00012717156076503012,0.0001806973318664228,0.00012829796407574833,0.0001271375877532456,1.6965861868562698e-05,0.00012816215209210174
train,19,0.00013129632644326582,0.0002405967451875612,0.0001331227658853122,0.00013129097909095718,2.197645803299382e-05,0.0001330000649359944
train,20,0.00013383271536351367,0.00015351234037937604,0.00013411733807061925,0.0001338475539360592,8.733822203065329e-06,0.00013415948163486558
train,21,0.0001427113765228245,0.00015626703137328098,0.00014406012862035997,0.00014271381106264642,1.966706440053055e-05,0.00014407778254624834
train,22,0.00014254161994624854,0.00042633184053436824,0.0001433665586817684,0.00014273280085913917,1.5359733985575728e-05,0.00014348100701274893
train,23,0.00013511561407830578,0.0005157822163702557,0.00013568457054898502,0.00013526521397041582,1.2412914808198661e-05,0.00013600106723255125
train,24,0.00013639228434814222,0.0005194775841267173,0.00013769791189054636,0.000136462519599232,1.8918791068367253e-05,0.00013712971095979662
test,0,0.00013624158244140996,0.0002039593663818561,0.00013705297447641463,0.00013623982052445095,1.489384925611485e-05,0.00013693375603809714
test,1,0.0001261400390541926,0.0001480807560713233,0.0001266936813566255,0.00012612569064074668,1.1831509653660489e-05,0.0001266624256010953
test,2,0.00014135989240022807,0.00019697859748859514,0.00014199487136625153,0.0001412965206608864,1.3415709520215653e-05,0.0001418354540910135
test,3,0.00013499747237886306,0.00016582241545980232,0.00013652529013819076,0.00013499319554823177,2.0368056559799042e-05,0.00013656610116377958
test,4,0.00013910088559979174,0.00014699270213226537,0.00013938691369563984,0.00013910340740987112,8.925019469919158e-06,0.00013938349764154855
test,5,0.00014566500574306166,0.00034363438556457516,0.0001458997508121258,0.00014566804082197688,8.273821714947108e-06,0.00014597991709933597
test,6,0.000135793867640429,0.0001366049964363597,0.00013621240323934852,0.0001357940214593594,1.0669720697534741e-05,0.00013621229802429077
