split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,1.5242799011981364e-05,4.364375089338382e-05,1.5318405915115873e-05,1.5249543418896676e-05,1.5201630700316464e-06,1.5312378993319748e-05
train,1,1.3856214625384374e-05,7.693577882794726e-05,1.3878048789549425e-05,1.3828291360461277e-05,7.782793817686384e-07,1.3882069897654068e-05
train,2,1.4478939594877344e-05,0.00041395630770400425,1.4681512603243303e-05,1.4723945006831424e-05,2.430713910528442e-06,1.4382669597292237e-05
train,3,1.3724721560305842e-05,0.0002886576061416456,1.3762182704676834e-05,1.3717061540881731e-05,1.0148788426940007e-06,1.3690949359543484e-05
train,4,1.4384819220971552e-05,0.0002349759280839918,1.445719403232161e-05,1.4486130688368e-05,1.4449341145072417e-06,1.4547665842109288e-05
train,5,1.3041594645573455e-05,0.00021480237086451992,1.3119899917448128e-05,1.3136928813900855e-05,1.4313099263049198e-06,1.315083967602052e-05
train,6,1.4401565428692643e-05,1.7925531859403858e-05,1.441028248257596e-05,1.4401911741650407e-05,5.011563796658883e-07,1.4409951819542673e-05
train,7,1.4472638804794946e-05,0.00029096765790648287,1.4491415616668238e-05,1.4506861630087101e-05,7.375141892899138e-07,1.4456402319969542e-05
train,8,1.3649695738209184e-05,8.847567160440517e-05,1.3667778656877801e-05,1.3632015668786133e-05,7.028965749196322e-07,1.363466964245159e-05
train,9,1.4931724126289934e-05,0.0001677004135411591,1.4945586997834683e-05,1.4814201418443636e-05,6.435706045417761e-07,1.482494936881846e-05
train,10,1.5283943165718637e-05,0.00012647381317704067,1.5318292039696362e-05,1.531705718529767e-05,1.0254659402940065e-06,1.527749418819215e-05
train,11,1.5194385592606437e-05,0.0004980028044119416,1.5240680772301717e-05,1.5021311169174628e-05,1.187141851699431e-06,1.4882786737380555e-05
train,12,1.3948336559760261e-05,8.280744087851192e-05,1.4008767218418464e-05,1.3955569880423414e-05,1.2998418318525321e-06,1.4028231654333967e-05
train,13,1.3812720629147629e-05,1.5358058497361476e-05,1.3855297302107781e-05,1.381276878793186e-05,1.0853633129620949e-06,1.3854820484391149e-05
train,14,1.533621458609067e-05,0.0005019144513245528,1.551912082295797e-05,1.5361742917097155e-05,2.375939343363596e-06,1.506601563899913e-05
train,15,1.3097881206659866e-05,5.9950784499611926e-05,1.3131734020565168e-05,1.3091047955344066e-05,9.423225921658358e-07,1.311426221670791e-05
train,16,1.4973614675314483e-05,0.00020019749624919839,1.5110126591801362e-05,1.4912380190764535e-05,2.0267486000499454e-06,1.4908852627320554e-05
train,17,1.4476555696606458e-05,0.0002874728779683309,1.4523566448674446e-05,1.4335996349133437e-05,1.1676374648164745e-06,1.4339923449345069e-05
train,18,1.2769657670915268e-05,0.0001155367079711389,1.3003787087564301e-05,1.2752069467630457e-05,2.4569064832258584e-06,1.281621520922922e-05
train,19,1.3155187287906826e-05,0.00021661234758389527,1.3464305226679047e-05,1.3156390480401545e-05,2.868636167891734e-06,1.330000649358323e-05
train,20,1.3373652023647216e-05,6.963627863182292e-05,1.3384593863484021e-05,1.339338687982939e-05,5.411224615610648e-07,1.3415948163482342e-05
train,21,1.4269032164392386e-05,4.778389087517192e-05,1.4390565953659281e-05,1.4271830631642503e-05,1.8663328828051091e-06,1.4407778254631568e-05
train,22,1.434181968052517e-05,0.0004138346780501491,1.452983471133404e-05,1.4320555182483484e-05,2.33012173271376e-06,1.4348100701294993e-05
train,23,1.3466280730102285e-05,0.0005066730470513944,1.4064364467597219e-05,1.4360332060654943e-05,4.05844002785653e-06,1.3600106723275449e-05
train,24,1.369973641901766e-05,0.0005136672691139572,1.5017790155190368e-05,1.4451021801379144e-05,6.15305400351209e-06,1.3712971095988018e-05
test,0,1.3638386264302804e-05,0.00014113181513151504,1.3858839045202032e-05,1.3666460198886274e-05,2.46251609345116e-06,1.3693375603748957e-05
test,1,1.2633175713115117e-05,8.341295915436278e-05,1.2716845127671314e-05,1.2628758755204025e-05,1.4564548449291988e-06,1.2666242560122773e-05
test,2,1.421702131236215e-05,0.00012593973912725033,1.4405023966230888e-05,1.4177992775758037e-05,2.320156497691755e-06,1.4183545409072618e-05
test,3,1.3504175869565128e-05,7.984166260302264e-05,1.3619153975652743e-05,1.3502820355274912e-05,1.7659950851044495e-06,1.365661011642229e-05
test,4,1.3907905547849634e-05,4.344619169198789e-05,1.3942132587895552e-05,1.391068915193185e-05,9.763367734140765e-07,1.3938349764130408e-05
test,5,1.4580987046806759e-05,0.0003053644261007466,1.4679479748398358e-05,1.4742936865966852e-05,1.697715074939247e-06,1.4597991709935976e-05
test,6,1.3579248585689637e-05,1.595426482732832e-05,1.3621337920434512e-05,1.3579404433209771e-05,1.069976719814195e-06,1.362122980239823e-05
