split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,1.5689619659327958e-05,4.419679932979365e-05,1.5726196000159104e-05,1.5682131578356104e-05,1.0719619515130618e-06,1.5721282214395744e-05
train,1,1.4383623431618337e-05,7.747357447747665e-05,1.4411009831803362e-05,1.4356578798835875e-05,8.880260183195008e-07,1.4383071902298839e-05
train,2,1.3332289671151876e-05,0.0004106834784756986,1.4491738576181778e-05,1.3569237740943773e-05,5.6803698252691845e-06,1.339493483777593e-05
train,3,1.3258505342422282e-05,0.0002880010566626974,1.3279562987714957e-05,1.307969862512553e-05,7.475737164920895e-07,1.3066606476414485e-05
train,4,1.4062602392439298e-05,0.00023732198257556128,1.4263630371761424e-05,1.4137929017696107e-05,2.3864940579300336e-06,1.4077814676694431e-05
train,5,1.378214752514898e-05,0.00021381334144719908,1.3872715037149215e-05,1.3865504567232822e-05,1.582701927173962e-06,1.3831438618662343e-05
train,6,1.3364821024958746e-05,1.7286513530827515e-05,1.3365353096615435e-05,1.3364975629252264e-05,1.1925799971587603e-07,1.3365368513208882e-05
train,7,1.4465779132625069e-05,0.00029189440168058843,1.4523765270375472e-05,1.444971113148338e-05,1.296483536032411e-06,1.4486971246255787e-05
train,8,1.4185585767904328e-05,8.867005042328625e-05,1.425058917712747e-05,1.4133285825433988e-05,1.35966271837271e-06,1.4169152917293253e-05
train,9,1.4902240691013606e-05,0.00016964028302939664,1.5312682729387922e-05,1.4940318439584146e-05,3.522323812062404e-06,1.5074353249278865e-05
train,10,1.403759959108218e-05,0.00012601349648366789,1.4190148823625332e-05,1.4058358851723613e-05,2.0751774023957406e-06,1.414283697791539e-05
train,11,1.4392971058336308e-05,0.0005011145304160509,1.483795547821308e-05,1.4406500728966951e-05,3.607010197494893e-06,1.4190069339568466e-05
train,12,1.5163719692369389e-05,8.242505945335588e-05,1.5216465662958283e-05,1.5162521150158169e-05,1.2659078051522428e-06,1.5218734868831591e-05
train,13,1.4264035847422164e-05,1.6139516716940295e-05,1.4270273624676696e-05,1.4263828178909375e-05,4.218887784817143e-07,1.4270040972522777e-05
train,14,1.478867998233572e-05,0.0005001909170443603,1.5145606327060742e-05,1.4814451132739973e-05,3.2691009975500724e-06,1.4488665051921368e-05
train,15,1.3292661596818914e-05,5.988312136995627e-05,1.3388415395722681e-05,1.3291844936110006e-05,1.598389454389487e-06,1.3376078278904817e-05
train,16,1.4075099090283601e-05,0.00020181919015358353,1.4187421772063362e-05,1.4173532256641864e-05,1.781829677253757e-06,1.4219783763495698e-05
train,17,1.3130753185646835e-05,0.0002862009850414432,1.3198244756023667e-05,1.2874144577611387e-05,1.3331636103785915e-06,1.290891830574003e-05
train,18,1.3363947448553042e-05,0.00011267744923658536,1.339559107598897e-05,1.3353369071570537e-05,9.202923278754097e-07,1.342884727628834e-05
train,19,1.3795857159827694e-05,0.00021759375047243417,1.3819634473518779e-05,1.3738419822144216e-05,8.103415702812356e-07,1.3719050382068831e-05
train,20,1.4198248833065674e-05,7.085816241179985e-05,1.4278884385334637e-05,1.4200044051032402e-05,1.515517613044548e-06,1.4329800467969492e-05
train,21,1.4304435333011995e-05,4.567880813914033e-05,1.4339184941446617e-05,1.4305151402013445e-05,9.976689540808658e-07,1.433697319550724e-05
train,22,1.4166945644691617e-05,0.00041713979586082084,1.4176342359139307e-05,1.3824594629980023e-05,5.161439716975196e-07,1.3836744372231828e-05
train,23,1.3276756220929662e-05,0.0005087707063610095,1.4580405385484498e-05,1.414693386965162e-05,6.02702174441203e-06,1.3347766365016206e-05
train,24,1.5268685808849712e-05,0.0005146438565101355,1.6204237568598744e-05,1.599557999585106e-05,5.426748169503149e-06,1.5328818291735536e-05
test,0,1.5448657171473844e-05,0.00014061402350822508,1.5590139881777597e-05,1.5466918272708734e-05,2.0960098514978967e-06,1.5470605833418225e-05
test,1,1.388249676265305e-05,8.330131072710267e-05,1.4061889307330328e-05,1.3899393565427911e-05,2.2392726430999616e-06,1.3986239172667519e-05
test,2,1.4987827016523471e-05,0.00012687961841794754,1.5360914299473945e-05,1.4986254373728292e-05,3.3656474075713908e-06,1.5101153934331412e-05
test,3,1.347712924952026e-05,7.690064765198273e-05,1.3549307291274297e-05,1.3480927281804096e-05,1.3967172193586568e-06,1.3521501028131542e-05
test,4,1.461931298000686e-05,4.4225861761402835e-05,1.472277974824067e-05,1.4616714793535265e-05,1.7423859079658175e-06,1.4712315032099258e-05
test,5,1.2469971769974763e-05,0.00030565776619319535,1.2563037923146875e-05,1.2687619493769275e-05,1.5264004575739408e-06,1.2554400449992189e-05
test,6,1.4397335393864243e-05,1.6975851192451395e-05,1.4495289182760851e-05,1.4397241787132199e-05,1.682303883358961e-06,1.4494687025685124e-05
