split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,1.568961966269407e-05,4.419679932979365e-05,1.5726196000159104e-05,1.568212817349669e-05,1.0719374674680297e-06,1.5721282214395744e-05
train,1,1.4383623439191327e-05,7.747357447747665e-05,1.4411009831803362e-05,1.4356560562250678e-05,8.88102218145418e-07,1.4383071902298839e-05
train,2,1.333228967236675e-05,0.0004106834784756986,1.4491738576181778e-05,1.3569223952781504e-05,5.680323294476284e-06,1.339493483777593e-05
train,3,1.3258505357283851e-05,0.0002880010566626974,1.3279562987714957e-05,1.3079659533173781e-05,7.473540850155428e-07,1.3066606476414485e-05
train,4,1.406260239972496e-05,0.00023732198257556128,1.4263630371761424e-05,1.4137914510348835e-05,2.386259703576764e-06,1.4077814676694431e-05
train,5,1.3782147525393983e-05,0.00021381334144719908,1.3872715037149215e-05,1.3865501219160624e-05,1.5826454384336141e-06,1.3831438618662343e-05
train,6,1.336482102582735e-05,1.7286513530827515e-05,1.3365353096615435e-05,1.3364975419595705e-05,1.1920509326433261e-07,1.3365368513208882e-05
train,7,1.4465779133422967e-05,0.00029189440168058843,1.4523765270375472e-05,1.4449711244267553e-05,1.2966353715285493e-06,1.4486971246255787e-05
train,8,1.4185585773412126e-05,8.867005042328625e-05,1.425058917712747e-05,1.4133276484007455e-05,1.3593672927684169e-06,1.4169152917293253e-05
train,9,1.4902240703173077e-05,0.00016964028302939664,1.5312682729387922e-05,1.4940267644101681e-05,3.5217298846334253e-06,1.5074353249278865e-05
train,10,1.4037599603308644e-05,0.00012601349648366789,1.4190148823625332e-05,1.4058311303441909e-05,2.0750697771359105e-06,1.414283697791539e-05
train,11,1.439297106349954e-05,0.0005011145304160509,1.483795547821308e-05,1.4406516947206654e-05,3.6071514603632683e-06,1.4190069339568466e-05
train,12,1.516371969471875e-05,8.242505945335588e-05,1.5216465662958283e-05,1.5162519620745444e-05,1.2656631195235855e-06,1.5218734868831591e-05
train,13,1.4264035847440521e-05,1.6139516716940295e-05,1.4270273624676696e-05,1.4263828191492886e-05,4.218904583372581e-07,1.4270040972522777e-05
train,14,1.478867998514432e-05,0.0005001909170443603,1.5145606327060742e-05,1.481445971391241e-05,3.2691453354979423e-06,1.4488665051921368e-05
train,15,1.3292661596807018e-05,5.988312136995627e-05,1.3388415395722681e-05,1.3291844763777023e-05,1.5983916057084803e-06,1.3376078278904817e-05
train,16,1.4075099104879014e-05,0.00020181919015358353,1.4187421772063362e-05,1.417347522191346e-05,1.781433269529741e-06,1.4219783763495698e-05
train,17,1.3130753195842623e-05,0.0002862009850414432,1.3198244756023667e-05,1.2874138442227802e-05,1.3326804557859378e-06,1.290891830574003e-05
train,18,1.336394746004863e-05,0.00011267744923658536,1.339559107598897e-05,1.3353328998955568e-05,9.207351851313176e-07,1.342884727628834e-05
train,19,1.3795857161426506e-05,0.00021759375047243417,1.3819634473518779e-05,1.3738422132006152e-05,8.1026869192488e-07,1.3719050382068831e-05
train,20,1.4198248840469848e-05,7.085816241179985e-05,1.4278884385334637e-05,1.4200028662213444e-05,1.5159689821013584e-06,1.4329800467969492e-05
train,21,1.4304435333217263e-05,4.567880813914033e-05,1.4339184941446617e-05,1.4305151260854376e-05,9.97726213729102e-07,1.433697319550724e-05
train,22,1.4166945654679728e-05,0.00041713979586082084,1.4176342359139307e-05,1.382459641918993e-05,5.156104215272624e-07,1.3836744372231828e-05
train,23,1.3276756228347246e-05,0.0005087707063610095,1.4580405385484498e-05,1.414690955929443e-05,6.026979202891164e-06,1.3347766365016206e-05
train,24,1.5268685812365695e-05,0.0005146438565101355,1.6204237568598744e-05,1.599556123383917e-05,5.426764338073471e-06,1.5328818291735536e-05
test,0,1.544865718255873e-05,0.00014061402350822508,1.5590139881777597e-05,1.5466878988005477e-05,2.0954263601564256e-06,1.5470605833418225e-05
test,1,1.388249677193338e-05,8.330131072710267e-05,1.4061889307330328e-05,1.3899370191114413e-05,2.238829765480227e-06,1.3986239172667519e-05
test,2,1.4987827028061112e-05,0.00012687961841794754,1.5360914299473945e-05,1.4986209057915141e-05,3.365085405426045e-06,1.5101153934331412e-05
test,3,1.3477129253486725e-05,7.690064765198273e-05,1.3549307291274297e-05,1.3480923504564812e-05,1.3965924611861073e-06,1.3521501028131542e-05
test,4,1.4619312980045831e-05,4.4225861761402835e-05,1.472277974824067e-05,1.461671467711696e-05,1.7424095489464966e-06,1.4712315032099258e-05
test,5,1.2469971776029917e-05,0.00030565776619319535,1.2563037923146875e-05,1.2687607803764398e-05,1.526567721646236e-06,1.2554400449992189e-05
test,6,1.439733539385328e-05,1.6975851192451395e-05,1.4495289182760851e-05,1.4397241784117885e-05,1.6822887928913624e-06,1.4494687025685124e-05
