split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,0.00015903958890741747,0.0010243421006977957,0.00015936930183092562,0.00015696613047750532,5.447441248410801e-06,0.00015721282214449435
train,1,0.0001574121829515765,0.001983695036546962,0.0001709635783948522,0.0001531225064748445,4.987009488643397e-05,0.000143830719023104
train,2,0.00020923334443625135,0.00997436893424664,0.00046488289566598405,0.00041096828747618115,0.00041332912148686943,0.0001339493483777735
train,3,0.00035081075016397224,0.006986428687223496,0.0003593049444182548,0.00014343058526246672,5.7796432134948485e-05,0.00013066606476457276
train,4,0.00014643146639661613,0.006081149087817339,0.0002587603911240868,0.0002463882187868533,0.00020897953604874733,0.00014077814676751984
train,5,0.00014898451414949098,0.005216952883684339,0.00020685009633442577,0.00019532449837216835,0.0001415618608367663,0.000138314386187192
train,6,0.00013387351910491995,0.0003041047770871701,0.00013367937400888624,0.00013377690394202727,5.918435832775811e-06,0.00013365368513162422
train,7,0.0002007671651727947,0.00710304017936695,0.0002628016920050512,0.00023229940293961922,0.00017087668379167206,0.0001448697124620503
train,8,0.00016319352917213025,0.0022429345416875943,0.000171123752142629,0.00014403568094152106,3.7861264486012534e-05,0.00014169152917321902
train,9,0.00023429486004544989,0.004399749210787779,0.0003037784591034017,0.00021147328702009096,0.00016879687508635204,0.00015074353249208474
train,10,0.00017998474768132796,0.0032883155149552004,0.00023470815250910732,0.00019062179763915745,0.0001282046566409849,0.0001414283697790497
train,11,0.00035948134554026256,0.01278313781967352,0.0005045901786857701,0.00037960602699634185,0.00036110446528442476,0.00014190069339559832
train,12,0.00015285858715137203,0.0019943542547981316,0.00015656204576386222,0.00015627473795054946,3.068786221727351e-05,0.00015218734868851382
train,13,0.00014266419526912948,0.0002381187295242179,0.00014273307877926044,0.00014263819598400257,4.477030738423448e-06,0.00014270040972549325
train,14,0.00034445227192154043,0.012185927549579057,0.0005099045924861828,0.0004046139551131915,0.00037973575964313607,0.0001448866505193397
train,15,0.0001336044949301162,0.0014691793217116238,0.00013695753925985316,0.000134146830454224,2.9787180622211027e-05,0.000133760782788003
train,16,0.00026137759876057056,0.00481456119860245,0.00029598852211755716,0.0001822547978800114,0.00010980408794479943,0.00014219783763483386
train,17,0.00027938694408842637,0.0070952950260858745,0.00028556433279688183,0.00014523075894075049,6.430316958361176e-05,0.00012908918305710535
train,18,0.00016821992463220744,0.0029461861422902243,0.00020249743675643977,0.00017042660822641715,9.135984037647497e-05,0.00013428847276277433
train,19,0.00017080762925234563,0.005351648377090337,0.0001990730939314315,0.0001737141959702082,0.00010487522482475394,0.00013719050382062626
train,20,0.00014879932540215276,0.0016633008315171,0.0001518647275972982,0.000146000329889881,1.643567716970158e-05,0.00014329800467965058
train,21,0.00014312962703492429,0.0010853123982968466,0.0001443431132862287,0.00014368381979132778,2.02006458142442e-05,0.0001433697319557177
train,22,0.0003968738628690239,0.010436862824589305,0.0004186003388612529,0.00020134521424697378,0.00013477379687195485,0.00013836744372171622
train,23,0.0001520224036717432,0.013216144099955248,0.0006654427369143349,0.0006493885567362633,0.0006474462336836184,0.00013347766364950846
train,24,0.0002084882539861642,0.012405841904909915,0.000611849902363433,0.0005892093493843385,0.0005743775275391998,0.0001532881829171548
test,0,0.00017156908311459235,0.0036043630764977528,0.0002272546077882183,0.00019325230185280868,0.00012523918797398588,0.00015470605833434176
test,1,0.0001476560133383293,0.002006879426990877,0.00017132105540010995,0.00014766627241960263,6.492945749666389e-05,0.0001398623917265291
test,2,0.0001859543534933307,0.003263404763502862,0.00025571624922419837,0.00019774274304242727,0.00015152584532345662,0.0001510115393437272
test,3,0.00013618670430784843,0.0018825484331545673,0.00014361728216867416,0.0001387216034838797,4.3429369689671115e-05,0.00013521501028147858
test,4,0.00014662448985106906,0.0010455895208770593,0.0001490091416958218,0.0001466412485257673,2.719395935372679e-05,0.00014712315032088829
test,5,0.00012707605861967568,0.007401454074588821,0.00029331183175263436,0.0003002705055126536,0.0002636189602785511,0.00012554400449965884
test,6,0.00014398926101969248,0.00025535751601043843,0.00014502701666722282,0.00014397718687873375,1.6581198174611652e-05,0.00014494687025660969
