split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,0.00015815317726334294,0.0010243421006977957,0.00015936930183092562,0.00015819865171129343,1.9679783204839053e-05,0.00015721282214449435
train,1,0.00015583236822545168,0.001983695036546962,0.0001709635783948522,0.000162004733892494,7.055580292166994e-05,0.000143830719023104
train,2,0.0002090344414728451,0.00997436893424664,0.00046488289566598405,0.00041382997346050404,0.00041628372615868905,0.0001339493483777735
train,3,0.0003491699998006068,0.006986428687223496,0.0003593049444182548,0.00015764201887849297,8.503808832902642e-05,0.00013066606476457276
train,4,0.00014479650029189373,0.006081149087817339,0.0002587603911240868,0.0002507040184774226,0.00021486102902910838,0.00014077814676751984
train,5,0.00014894293679510153,0.005216952883684339,0.00020685009633442577,0.0001967975386755201,0.00014373604289753196,0.000138314386187192
train,6,0.00013363706296304792,0.0003041047770871701,0.00013367937400888624,0.00013367444356464855,3.363763839255902e-06,0.00013365368513162422
train,7,0.00020063145670078605,0.00710304017936695,0.0002628016920050512,0.00023210671928199634,0.000170062428920512,0.0001448697124620503
train,8,0.0001620907391783484,0.0022429345416875943,0.000171123752142629,0.0001485815740710853,5.4991297191376274e-05,0.00014169152917321902
train,9,0.00023258380741791822,0.004399749210787779,0.0003037784591034017,0.00023157132440210524,0.00019657990399171366,0.00015074353249208474
train,10,0.00017784857343678683,0.0032883155149552004,0.00023470815250910732,0.0002098397019380497,0.00015397854356923501,0.0001414283697790497
train,11,0.00035889654289862285,0.01278313781967352,0.0005045901786857701,0.00037486396207393627,0.0003557569552927159,0.00014190069339559832
train,12,0.00015225096723779172,0.0019943542547981316,0.00015656204576386222,0.00015660574233368187,3.6515220476491595e-05,0.00015218734868851382
train,13,0.00014266378921161879,0.0002381187295242179,0.00014273307877926044,0.00014263986561715314,4.44683505169248e-06,0.00014270040972549325
train,14,0.0003441883975010014,0.012185927549579057,0.0005099045924861828,0.00040246181338642295,0.0003773804190718853,0.0001448866505193397
train,15,0.00013359977290102422,0.0014691793217116238,0.00013695753925985316,0.00013425084448101884,3.015253516262545e-05,0.000133760782788003
train,16,0.0002591045592670671,0.00481456119860245,0.00029598852211755716,0.00020478964254480602,0.00014390566605877308,0.00014219783763483386
train,17,0.0002780099295555069,0.0070952950260858745,0.00028556433279688183,0.00014372151912586285,6.528178265497654e-05,0.00012908918305710535
train,18,0.0001661622156634873,0.0029461861422902243,0.00020249743675643977,0.00018739860857140792,0.00011630250992465579,0.00013428847276277433
train,19,0.00017050888754207102,0.005351648377090337,0.0001990730939314315,0.000172302301805219,0.00010288040369052016,0.00013719050382062626
train,20,0.000146865979835817,0.0016633008315171,0.0001518647275972982,0.0001532899257821475,3.8760332268691675e-05,0.00014329800467965058
train,21,0.0001430850524055622,0.0010853123982968466,0.0001443431132862287,0.00014373029425994915,1.9016716740152623e-05,0.0001433697319557177
train,22,0.00039610172369394184,0.010436862824589305,0.0004186003388612529,0.0002010349478838631,0.00013552454341155798,0.00013836744372171622
train,23,0.0001504900118232748,0.013216144099955248,0.0006654427369143349,0.0006523957688779459,0.0006504010235272702,0.00013347766364950846
train,24,0.00020782392413706103,0.012405841904909915,0.000611849902363433,0.0005923485152122375,0.0005772555180717794,0.0001532881829171548
test,0,0.00016931332805364285,0.0036043630764977528,0.0002272546077882183,0.00021040478211507382,0.00015230718155031004,0.00015470605833434176
test,1,0.00014522926225295023,0.002006879426990877,0.00017132105540010995,0.0001587575960831567,9.122041368069232e-05,0.0001398623917265291
test,2,0.0001838613750955731,0.003263404763502862,0.00025571624922419837,0.00021661964996034377,0.00017871662841085017,0.0001510115393437272
test,3,0.00013513978576394915,0.0018825484331545673,0.00014361728216867416,0.00013998630188827112,4.864770190687198e-05,0.00013521501028147858
test,4,0.0001466025208226353,0.0010455895208770593,0.0001490091416958218,0.0001466926806885242,2.6673555550385775e-05,0.00014712315032088829
test,5,0.00012550115408487247,0.007401454074588821,0.00029331183175263436,0.00030274697621978486,0.0002656265160245097,0.00012554400449965884
test,6,0.00014398728039149655,0.00025535751601043843,0.00014502701666722282,0.00014397806725501718,1.7335293088927655e-05,0.00014494687025660969
