split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,3.251455906561845e-06,4.105527093471028e-05,1.9053197019480958e-07,3.0866689529918274e-06,3.0866689529918274e-06,0.0
train,1,4.668741354179897e-06,7.654976157303851e-05,6.897038599171851e-07,4.09212151123361e-06,4.09212151123361e-06,0.0
train,2,2.1940400728846554e-06,0.00041308096171099477,3.4929222879834913e-06,3.1821351439471977e-06,3.1821351439471977e-06,0.0
train,3,6.822588238058045e-06,0.0002875251522550226,2.837639246872803e-06,5.462946683723227e-06,5.462946683723227e-06,0.0
train,4,4.530467767416057e-06,0.0002361344475158096,1.6148858659044398e-06,4.3517398243363015e-06,4.3517398243363015e-06,0.0
train,5,8.911839495819162e-07,0.00021351324607996245,1.2808323862136237e-06,9.377553987909344e-07,9.377553987909344e-07,0.0
train,6,1.5676203141979514e-06,1.1041080942638122e-05,2.282128753418782e-08,1.549344695811414e-06,1.549344695811414e-06,0.0
train,7,1.888693950155759e-06,0.0002901796244050734,1.8564597068612352e-06,2.1505173411050762e-06,2.1505173411050762e-06,0.0
train,8,3.991678170885139e-06,8.689952100470178e-05,6.329386112103095e-07,3.6235817030405082e-06,3.6235817030405082e-06,0.0
train,9,6.1766943135996185e-06,0.00016773409082863674,1.93478131318903e-06,4.763665299489395e-06,4.763665299489395e-06,0.0
train,10,5.910053953576694e-06,0.0001258014274600083,1.4418113393408465e-06,4.715608839633663e-06,4.715608839633663e-06,0.0
train,11,4.651067327966416e-06,0.0004993023040429591,3.7321442991147184e-06,5.182119221830318e-06,5.182119221830318e-06,0.0
train,12,2.662588832871667e-06,8.065925051292254e-05,3.225412263876018e-07,2.593493220339809e-06,2.593493220339809e-06,0.0
train,13,6.808729422848825e-08,7.735698486976284e-06,8.648623863044824e-09,6.103248246897757e-08,6.103248246897757e-08,0.0
train,14,3.820195493097481e-06,0.0005010590877200063,3.997721201220251e-06,4.506503721611236e-06,4.506503721611236e-06,0.0
train,15,2.422446548365971e-07,5.748089367236896e-05,1.7370908137132788e-07,1.6228478972139988e-07,1.6228478972139988e-07,0.0
train,16,6.659376199002186e-06,0.0001997544669103943,2.2974497683321787e-06,5.133476325698113e-06,5.133476325698113e-06,0.0
train,17,5.533679581744492e-06,0.00028726209754096596,2.0331594952229518e-06,5.04968444235783e-06,5.04968444235783e-06,0.0
train,18,5.582966703351184e-06,0.00011334253229841466,1.229304509374022e-06,4.575303071011974e-06,4.575303071011974e-06,0.0
train,19,2.2251403892074646e-06,0.0002178792767181724,1.1215020235943207e-06,2.4036064880323113e-06,2.4036064880323113e-06,0.0
train,20,4.574026244011454e-06,6.759763657068425e-05,5.67941608719343e-07,4.086388220653353e-06,4.086388220653353e-06,0.0
train,21,7.127102854442557e-07,4.35841253702355e-05,1.2014234574883912e-07,6.91504064878247e-07,6.91504064878247e-07,0.0
train,22,6.046573739825468e-06,0.00041491105991412126,3.0787850269764513e-06,5.505262858530155e-06,5.505262858530155e-06,0.0
train,23,4.488520129576061e-06,0.0005074764507529944,4.881052405474978e-06,6.034211425520766e-06,6.034211425520766e-06,0.0
train,24,3.4741073739078557e-06,0.0005148470943498761,4.929808848700558e-06,5.238005205969171e-06,5.238005205969171e-06,0.0
test,0,5.863825986991151e-06,0.0001392273270896143,1.198358711951305e-06,4.811892032950186e-06,4.811892032950186e-06,0.0
test,1,5.076228448536342e-06,8.305844012459559e-05,7.397940818891844e-07,4.422399600441936e-06,4.422399600441936e-06,0.0
test,2,5.936280514735777e-06,0.00012378887828311448,1.416964433439707e-06,4.736649564013329e-06,4.736649564013329e-06,0.0
test,3,3.2746708422715296e-06,7.6764508141262e-05,3.212287458512163e-07,3.1291521164395804e-06,3.1291521164395804e-06,0.0
test,4,5.120150294503366e-07,4.0488468479825275e-05,1.0665349301698397e-07,4.854859658565495e-07,4.854859658565495e-07,0.0
test,5,3.877775254144392e-06,0.0003043333075780703,2.291446571050968e-06,4.152114253342414e-06,4.152114253342414e-06,0.0
test,6,1.5041404864742611e-07,8.047578864218425e-06,9.37460266884788e-09,1.4615684203851029e-07,1.4615684203851029e-07,0.0
