split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,0.0015681305840590726,0.0015733210061639516,0.0015721319929765615,0.0015681221141214108,0.00011242736427293998,0.0015721282214450946
train,1,0.0014345539467984034,0.0014380991058596177,0.0014383187841092893,0.0014345193739970258,0.00010728519305797679,0.001438307190230614
train,2,0.0013172763236204003,0.0013226640172627022,0.001340184152922097,0.0013171755681581133,0.0002464420589738815,0.0013394934837777975
train,3,0.0013049351274864063,0.0013417707280907849,0.0013065702964195002,0.0013049970410575608,7.092806543018544e-05,0.0013066606476454684
train,4,0.0014047199304254147,0.0014401438339365859,0.0014078768097668254,0.001404705080937145,9.059240567277685e-05,0.001407781467674491
train,5,0.0013817091909577618,0.0013972715743118774,0.0013831264883699568,0.0013817556355127574,6.189417214159201e-05,0.001383143861872343
train,6,0.001336496713788172,0.0013365182980462909,0.0013365368166110049,0.0013364968336377961,1.0254608064926743e-05,0.0013365368513163604
train,7,0.0014372631757109027,0.0015039125875446176,0.0014486162028766198,0.0014372126931949767,0.00018207824077468522,0.0014486971246207559
train,8,0.0014129608904636102,0.001423449714734848,0.0014169829650272601,0.0014129124576772178,0.00010426120046571649,0.0014169152917322017
train,9,0.0014882323287712476,0.0015303863601967172,0.0015075526116769677,0.0014882770643996092,0.00023506919989368152,0.0015074353249209791
train,10,0.001400964678753942,0.0014146952349239044,0.00141425832974325,0.0014009572765650493,0.0001958733825868189,0.0014142836977907858
train,11,0.0014153165674185213,0.0015569347577203694,0.0014191837100603019,0.0014153099451237022,0.00010744306488064382,0.001419006933956002
train,12,0.001515921429117694,0.0015258575978562253,0.0015218678340972534,0.0015159164346323236,0.0001322760627951439,0.0015218734868854486
train,13,0.0014263828747930476,0.0014269202586528838,0.0014270043273139452,0.0014263826673361136,4.211104950325872e-05,0.0014270040972545349
train,14,0.001448845593809679,0.001497450042054328,0.0014489923228810466,0.0014487639667953986,2.1899964689976307e-05,0.0014488665051932636
train,15,0.001329102551643982,0.0013426839971097326,0.0013376190539781095,0.0013291010534619207,0.000150701543686844,0.00133760782788022
train,16,0.0014111489871771671,0.0014576069330189498,0.0014217622945349436,0.0014113060436054736,0.00017417109064126217,0.0014219783763488947
train,17,0.0012864040216306895,0.001292828808946444,0.001291025881809555,0.0012862769299163879,0.00010406289797011387,0.0012908918305715431
train,18,0.0013316843956464207,0.0013353352842154782,0.0013427958057864707,0.0013316539146518542,0.0001778822058282022,0.0013428847276275484
train,19,0.001371269156920476,0.0013778024825357538,0.0013719606081454964,0.001371205042471484,4.1512656443290776e-05,0.0013719050382061673
train,20,0.001419193285284527,0.001443125361112755,0.0014329180775927992,0.0014191887572970485,0.00020239676651452482,0.0014329800467968402
train,21,0.0014304696680393254,0.0014337121234484994,0.0014336990331169398,0.0014304699640429789,9.675942830568587e-05,0.0014336973195577087
train,22,0.0013776315872277472,0.0015010005834577066,0.0013836791008709404,0.0013775237642488886,0.00012711183345336262,0.001383674437217049
train,23,0.0013290698718654537,0.0014672672179699873,0.0013351825950685774,0.0013291033756574798,0.00012843396482329763,0.001334776636495033
train,24,0.0015264590016314215,0.0016032385393494628,0.0015329974455901678,0.0015265092268376336,0.00014415038914282198,0.0015328818291712296
test,0,0.0015429248625697947,0.0015580924980630767,0.0015471346288881973,0.001542909697911746,0.00010877724509456283,0.0015470605833430198
test,1,0.0013884547470159132,0.0013955380564838857,0.0013986804010149459,0.0013884595449339717,0.0001649421546789807,0.0013986239172653762
test,2,0.0014940436270496512,0.0015331153972217837,0.0015103115619832862,0.0014940113504014964,0.00021563539016084094,0.0015101153934372015
test,3,0.0013477417929448985,0.0013483365978712012,0.0013521741599145755,0.0013477419881423296,0.00010835563766658162,0.0013521501028146011
test,4,0.0014616409201328783,0.001475187211042421,0.0014712415888981608,0.0014616378795878461,0.00016802677042206137,0.001471231503208869
test,5,0.001248036954132435,0.0013167300273396773,0.0012552416419520653,0.0012480504942151331,0.00013735509426072444,0.0012554400449969563
test,6,0.001439723904116836,0.0014499504432429631,0.0014494693017343848,0.0014397238121158348,0.00016759893858498242,0.0014494687025661745
