split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,1.602277207189904e-05,4.419679932979365e-05,1.5726196000159104e-05,1.5982093249680252e-05,3.345106692873326e-06,1.5721282214395744e-05
train,1,1.5117419350877488e-05,7.747357447747665e-05,1.4411009831803362e-05,1.4917378927341558e-05,4.877797469770748e-06,1.4383071902298839e-05
train,2,1.3453247401792358e-05,0.0004106834784756986,1.4491738576181778e-05,1.3550656339252206e-05,5.49727791436965e-06,1.339493483777593e-05
train,3,1.4664933926801519e-05,0.0002880010566626974,1.3279562987714957e-05,1.4147121258100539e-05,6.046584400407748e-06,1.3066606476414485e-05
train,4,1.4772921212457577e-05,0.00023732198257556128,1.4263630371761424e-05,1.4705698173436904e-05,3.872781350261385e-06,1.4077814676694431e-05
train,5,1.3799588371079708e-05,0.00021381334144719908,1.3872715037149215e-05,1.3849353696707235e-05,1.0946342522311799e-06,1.3831438618662343e-05
train,6,1.3456441234104387e-05,1.7286513530827515e-05,1.3365353096615435e-05,1.3454464676789404e-05,1.531435659930267e-06,1.3365368513208882e-05
train,7,1.4546985818950168e-05,0.00029189440168058843,1.4523765270375472e-05,1.4532081790523877e-05,2.8235317088177794e-06,1.4486971246255787e-05
train,8,1.472700200114026e-05,8.867005042328625e-05,1.425058917712747e-05,1.4586413695811319e-05,3.0779778571331443e-06,1.4169152917293253e-05
train,9,1.606893081112934e-05,0.00016964028302939664,1.5312682729387922e-05,1.5626536494864805e-05,2.594521820593118e-06,1.5074353249278865e-05
train,10,1.5207642945947368e-05,0.00012601349648366789,1.4190148823625332e-05,1.4781812242612223e-05,5.837017257065163e-06,1.414283697791539e-05
train,11,1.4902919867780328e-05,0.0005011145304160509,1.483795547821308e-05,1.5071674788116772e-05,6.175280554039937e-06,1.4190069339568466e-05
train,12,1.539572792595762e-05,8.242505945335588e-05,1.5216465662958283e-05,1.5379469261674457e-05,1.5812443289450277e-06,1.5218734868831591e-05
train,13,1.4264197525371784e-05,1.6139516716940295e-05,1.4270273624676696e-05,1.4263956646935068e-05,4.4359832031891163e-07,1.4270040972522777e-05
train,14,1.506299509461389e-05,0.0005001909170443603,1.5145606327060742e-05,1.517217644456816e-05,4.665942733775447e-06,1.4488665051921368e-05
train,15,1.3294557202613922e-05,5.988312136995627e-05,1.3388415395722681e-05,1.3292000466088767e-05,1.6351862331848458e-06,1.3376078278904817e-05
train,16,1.5456008143847242e-05,0.00020181919015358353,1.4187421772063362e-05,1.501746549054884e-05,5.4635500588126e-06,1.4219783763495698e-05
train,17,1.4113980520755345e-05,0.0002862009850414432,1.3198244756023667e-05,1.3818631097912972e-05,3.96150606738068e-06,1.290891830574003e-05
train,18,1.4464835319806578e-05,0.00011267744923658536,1.339559107598897e-05,1.4080472578592438e-05,6.296206374920907e-06,1.342884727628834e-05
train,19,1.3955082633052674e-05,0.00021759375047243417,1.3819634473518779e-05,1.3921113783058416e-05,1.9732926002473697e-06,1.3719050382068831e-05
train,20,1.4913615407865671e-05,7.085816241179985e-05,1.4278884385334637e-05,1.476829077636078e-05,6.066580859946628e-06,1.4329800467969492e-05
train,21,1.4322111696752463e-05,4.567880813914033e-05,1.4339184941446617e-05,1.4321385938399964e-05,1.6258218923719578e-06,1.433697319550724e-05
train,22,1.5137771738324349e-05,0.00041713979586082084,1.4176342359139307e-05,1.4834722833820743e-05,4.818487424931435e-06,1.3836744372231828e-05
train,23,1.4002634865888094e-05,0.0005087707063610095,1.4580405385484498e-05,1.4596580746943111e-05,7.141401085645971e-06,1.3347766365016206e-05
train,24,1.5611838775561157e-05,0.0005146438565101355,1.6204237568598744e-05,1.6138572049256106e-05,6.4651302239895236e-06,1.5328818291735536e-05
test,0,1.65161717194303e-05,0.00014061402350822508,1.5590139881777597e-05,1.6162027172425787e-05,3.7521496326379485e-06,1.5470605833418225e-05
test,1,1.4777092060445595e-05,8.330131072710267e-05,1.4061889307330328e-05,1.4571898211258047e-05,3.291403916781272e-06,1.3986239172667519e-05
test,2,1.6101452946245534e-05,0.00012687961841794754,1.5360914299473945e-05,1.567303430742071e-05,2.854365051914581e-06,1.5101153934331412e-05
test,3,1.3869016039473512e-05,7.690064765198273e-05,1.3549307291274297e-05,1.3835897796744395e-05,3.0304822947936046e-06,1.3521501028131542e-05
test,4,1.4628207134482256e-05,4.4225861761402835e-05,1.472277974824067e-05,1.4624424914900751e-05,2.029641264762641e-06,1.4712315032099258e-05
test,5,1.305748833529192e-05,0.00030565776619319535,1.2563037923146875e-05,1.3152923968790076e-05,4.736269426952277e-06,1.2554400449992189e-05
test,6,1.4398125817438055e-05,1.6975851192451395e-05,1.4495289182760851e-05,1.4397986391211801e-05,1.5314378613227158e-06,1.4494687025685124e-05
