split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,1.568965335362117e-05,4.419679932979365e-05,1.5726196000159104e-05,1.5681824552972844e-05,1.0700000340008185e-06,1.5721282214395744e-05
train,1,1.4383698736316871e-05,7.747357447747665e-05,1.4411009831803362e-05,1.4354829715473755e-05,8.968106153266574e-07,1.4383071902298839e-05
train,2,1.3332301830177854e-05,0.0004106834784756986,1.4491738576181778e-05,1.356786996681622e-05,5.6757431712125965e-06,1.339493483777593e-05
train,3,1.3258653558785942e-05,0.0002880010566626974,1.3279562987714957e-05,1.3075937818541258e-05,7.27959965951676e-07,1.3066606476414485e-05
train,4,1.4062675269933798e-05,0.00023732198257556128,1.4263630371761424e-05,1.4136547481330726e-05,2.363373126054586e-06,1.4077814676694431e-05
train,5,1.3782149271366578e-05,0.00021381334144719908,1.3872715037149215e-05,1.3865171387543568e-05,1.5770582195922305e-06,1.3831438618662343e-05
train,6,1.336483022515608e-05,1.7286513530827515e-05,1.3365353096615435e-05,1.336496335516638e-05,1.149100445249881e-07,1.3365368513208882e-05
train,7,1.4465787281498656e-05,0.00029189440168058843,1.4523765270375472e-05,1.4449730314889208e-05,1.3116689613169043e-06,1.4486971246255787e-05
train,8,1.4185640981940518e-05,8.867005042328625e-05,1.425058917712747e-05,1.4132405839761866e-05,1.3303782949524846e-06,1.4169152917293253e-05
train,9,1.4902362011597945e-05,0.00016964028302939664,1.5312682729387922e-05,1.49353584487313e-05,3.4629439542620478e-06,1.5074353249278865e-05
train,10,1.4037721556838077e-05,0.00012601349648366789,1.4190148823625332e-05,1.4053723677066056e-05,2.065208510511879e-06,1.414283697791539e-05
train,11,1.4393022995461332e-05,0.0005011145304160509,1.483795547821308e-05,1.4408173876953329e-05,3.6213135599633557e-06,1.4190069339568466e-05
train,12,1.5163743088098399e-05,8.242505945335588e-05,1.5216465662958283e-05,1.516239132948755e-05,1.241483431703001e-06,1.5218734868831591e-05
train,13,1.4264035863563575e-05,1.6139516716940295e-05,1.4270273624676696e-05,1.4263827873287048e-05,4.220573611876185e-07,1.4270040972522777e-05
train,14,1.4788707687347647e-05,0.0005001909170443603,1.5145606327060742e-05,1.48153363565507e-05,3.2736557773890233e-06,1.4488665051921368e-05
train,15,1.3292661786402809e-05,5.988312136995627e-05,1.3388415395722681e-05,1.3291827719827709e-05,1.5986059859402697e-06,1.3376078278904817e-05
train,16,1.4075244066833423e-05,0.00020181919015358353,1.4187421772063362e-05,1.4167970921079165e-05,1.7429024892457875e-06,1.4219783763495698e-05
train,17,1.3130855267447595e-05,0.0002862009850414432,1.3198244756023667e-05,1.2873633624303315e-05,1.2849818523611787e-06,1.290891830574003e-05
train,18,1.3364062152158546e-05,0.00011267744923658536,1.339559107598897e-05,1.334947513218441e-05,9.651452651237605e-07,1.342884727628834e-05
train,19,1.379587318551699e-05,0.00021759375047243417,1.3819634473518779e-05,1.3738667048643236e-05,8.03293375406775e-07,1.3719050382068831e-05
train,20,1.4198322227613597e-05,7.085816241179985e-05,1.4278884385334637e-05,1.419857821667638e-05,1.560669487727325e-06,1.4329800467969492e-05
train,21,1.4304437103067253e-05,4.567880813914033e-05,1.4339184941446617e-05,1.4305138736216693e-05,1.0034032311033492e-06,1.433697319550724e-05
train,22,1.416704612312069e-05,0.00041713979586082084,1.4176342359139307e-05,1.3824875876637105e-05,4.627899961245612e-07,1.3836744372231828e-05
train,23,1.3276830845695274e-05,0.0005087707063610095,1.4580405385484498e-05,1.4144571728021848e-05,6.022929088546049e-06,1.3347766365016206e-05
train,24,1.5268720535028435e-05,0.0005146438565101355,1.6204237568598744e-05,1.599373665509906e-05,5.428461408180482e-06,1.5328818291735536e-05
test,0,1.5448767688657275e-05,0.00014061402350822508,1.5590139881777597e-05,1.5463098720929056e-05,2.037663506186562e-06,1.5470605833418225e-05
test,1,1.3882589174932063e-05,8.330131072710267e-05,1.4061889307330328e-05,1.3897146865295894e-05,2.1951215423841806e-06,1.3986239172667519e-05
test,2,1.4987942597145284e-05,0.00012687961841794754,1.5360914299473945e-05,1.4981836762486841e-05,3.3094932667646354e-06,1.5101153934331412e-05
test,3,1.3477169037784572e-05,7.690064765198273e-05,1.3549307291274297e-05,1.3480588206559101e-05,1.3845693023195824e-06,1.3521501028131542e-05
test,4,1.4619313870243391e-05,4.4225861761402835e-05,1.472277974824067e-05,1.4616703818764634e-05,1.744755875048323e-06,1.4712315032099258e-05
test,5,1.2470031950392621e-05,0.00030565776619319535,1.2563037923146875e-05,1.2686505654744247e-05,1.5435185400932677e-06,1.2554400449992189e-05
test,6,1.4397335472934974e-05,1.6975851192451395e-05,1.4495289182760851e-05,1.439724142025125e-05,1.680794773400305e-06,1.4494687025685124e-05
