split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,0.00035030258902700234,0.00016311970318838998,0.000157216697543419,0.00035016829780996293,0.0003141401431148798,0.00015721282214449435
train,1,0.00047145763505699885,0.0001609388132565233,0.0001438438006388531,0.00047096846421683733,0.0004557391662197189,0.000143830719023104
train,2,0.00021826616852629906,0.00040869848508880635,0.00013467919457867906,0.00021737194158576186,0.00017053393518019815,0.00013394934837776797
train,3,0.0006170777639024429,0.00031745224240505205,0.00013060343255807705,0.0006164054982465617,0.0006079751524745327,0.0001306660647645736
train,4,0.0004592858335977469,0.00028145794774762646,0.00014088178999845373,0.0004588898781860646,0.0004290837095108847,0.00014077814676752078
train,5,0.00015381211886065322,0.00025315622849783766,0.00013830234967030782,0.000153557747396286,6.079617690300969e-05,0.000138314386187192
train,6,0.00020176396562722045,0.00013404500393299633,0.00013365365217978968,0.00020175182916649158,0.00015091664127806775,0.00013365368513162422
train,7,0.00020653439824005473,0.00033626477331968934,0.00014479948143014047,0.00020649345172422772,0.00016151008983680473,0.00014486971246204398
train,8,0.00040754394958489976,0.00016949595322197507,0.00014176045962429603,0.0004072481957400615,0.00037522879317658026,0.00014169152917321902
train,9,0.0006001593445342725,0.00023455698786721996,0.00015087194386131486,0.000599066465427724,0.0005581930206568246,0.00015074353249208474
train,10,0.0005819620595181573,0.0001853693771964445,0.00014140961515202147,0.0005809666650895218,0.00057171976900238,0.0001414283697790497
train,11,0.00039828637272765595,0.0005343733101912509,0.00014212148052157928,0.0003988301609507959,0.0003800934056981495,0.0001419006933956003
train,12,0.00029845010150962657,0.00017386938261201187,0.00015218200342976448,0.000298379569722477,0.0002463906901524094,0.00015218734868851382
train,13,0.0001427981812588388,0.0001428052413641569,0.00014270064002061113,0.00014279763975992094,8.763078519342501e-06,0.00014270040972549325
train,14,0.0003123311914461369,0.0005111365549485391,0.00014506200496946942,0.0003126586762160543,0.00027770295627485315,0.0001448866505193397
train,15,0.0001347062767259451,0.00014908439329622855,0.00013377210996804624,0.00013468758914260697,2.8205022207464758e-05,0.00013376078278799577
train,16,0.0006307117624054624,0.00025766535314572633,0.00014199833594679526,0.000629644945354968,0.0006154692090778006,0.00014219783763483066
train,17,0.000515179338672133,0.00030237731346481167,0.0001292375660274897,0.0005150541571789515,0.00048782313402257247,0.00012908918305710619
train,18,0.0005504716955682788,0.00016605229158170488,0.00013420459165699075,0.0005496258904176474,0.0005502856275904656,0.00013428847276277433
train,19,0.00024521988250825427,0.00025133065937542196,0.00013725018751687041,0.00024530252360459114,0.00019908208192643672,0.00013719050382062346
train,20,0.00046133942286691825,0.0001660262446272083,0.00014323703677649084,0.0004609337638784875,0.00045831514376341783,0.00014329800467965083
train,21,0.00015857194881665587,0.0001492271533888563,0.00014337149081030087,0.00015855936564346495,7.683876880124047e-05,0.0001433697319557177
train,22,0.0005337883818391155,0.00045598947212678457,0.00013840293026345737,0.0005338624797476245,0.000510307354119774,0.00013836744372172166
train,23,0.0004497461672917266,0.0005354622693663436,0.0001339631224731815,0.0004490547430993817,0.00043115965158214243,0.00013347766364950846
train,24,0.00034883288150687957,0.0005330316648302411,0.00015347503488862582,0.00034803547318173697,0.0003248253839820797,0.00015328818291715762
test,0,0.0005852976783747968,0.0002116727819813001,0.00015478426302350192,0.0005843968327844166,0.0005531543777084059,0.00015470605833434176
test,1,0.0005075378799220877,0.0001578229487831413,0.00013992062538767757,0.0005069876534805226,0.0004745714526434167,0.0001398623917265291
test,2,0.0005883329642722601,0.00020879471912181304,0.00015121356850754898,0.0005873212550894618,0.0005474726540018992,0.0001510115393437272
test,3,0.0003432032625108501,0.00015018914010775847,0.00013523940880694503,0.0003430752425264984,0.00031188804026548096,0.00013521501028147858
test,4,0.00015415192593895544,0.00015584005579787896,0.00014713327048885996,0.0001541380185510268,5.9027717266762555e-05,0.00014712315032088436
test,5,0.00039336431180450273,0.00033894396113319866,0.00012536430924037087,0.0003930243015998278,0.00038319199294748656,0.00012554400449965884
test,6,0.0001447613343236983,0.00014562815381774516,0.0001449474696965438,0.00014476078357520406,1.6919873549501384e-06,0.00014494687025660838
