split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,0.0015681272189332774,0.0015733210061639516,0.0015721319929765615,0.001568119084379485,0.00011214422722247411,0.0015721282214450946
train,1,0.0014345464815255378,0.0014380991058596177,0.0014383187841092893,0.0014345136497605638,0.00010410805244921018,0.001438307190230614
train,2,0.0013172751040779935,0.0013226640172627022,0.001340184152922097,0.0013171757912249637,0.0002467579296754892,0.0013394934837777975
train,3,0.001304920185847542,0.0013417707280907849,0.0013065702964195002,0.0013049859579520816,6.565442196529659e-05,0.0013066606476454684
train,4,0.0014047125540434006,0.0014401438339365859,0.0014078768097668254,0.0014046991822675113,9.434878279845931e-05,0.001407781467674491
train,5,0.0013817090079604535,0.0013972715743118774,0.0013831264883699568,0.0013817557876738922,6.260525470860283e-05,0.001383143861872343
train,6,0.0013364957936389777,0.0013365182980462909,0.0013365368166110049,0.0013364959352957044,1.0471662500596553e-05,0.0013365368513163604
train,7,0.0014372623882771207,0.0015039125875446176,0.0014486162028766198,0.0014372118933644272,0.00018101248927491906,0.0014486971246207559
train,8,0.0014129552848393156,0.001423449714734848,0.0014169829650272601,0.0014129077693122688,0.00010676672984327612,0.0014169152917322017
train,9,0.0014882198723664168,0.0015303863601967172,0.0015075526116769677,0.0014882700243861627,0.00024069906111439187,0.0015074353249209791
train,10,0.0014009525751921949,0.0014146952349239044,0.00141425832974325,0.001400949846918246,0.0001935455870689423,0.0014142836977907858
train,11,0.0014153113725317481,0.0015569347577203694,0.0014191837100603019,0.0014153032358317865,0.00010477851841228351,0.001419006933956002
train,12,0.001515919015804495,0.0015258575978562253,0.0015218678340972534,0.0015159141750760575,0.0001344341136254437,0.0015218734868854486
train,13,0.001426382873246843,0.0014269202586528838,0.0014270043273139452,0.0014263826661189874,4.210847906900049e-05,0.0014270040972545349
train,14,0.0014488427743952564,0.001497450042054328,0.0014489923228810466,0.0014487603454282033,2.0820259689719053e-05,0.0014488665051932636
train,15,0.0013291025367004174,0.0013426839971097326,0.0013376190539781095,0.0013291010574419135,0.00015070801139569937,0.00133760782788022
train,16,0.0014111345597657688,0.0014576069330189498,0.0014217622945349436,0.0014112974951256292,0.00017351580602170875,0.0014219783763488947
train,17,0.001286393441170305,0.001292828808946444,0.001291025881809555,0.0012862668494319463,0.00010927717750226159,0.0012908918305715431
train,18,0.0013316731403345207,0.0013353352842154782,0.0013427958057864707,0.0013316464659080434,0.00017250499240696815,0.0013428847276275484
train,19,0.0013712675219376405,0.0013778024825357538,0.0013719606081454964,0.0013712031820299223,4.3602078610610324e-05,0.0013719050382061673
train,20,0.001419186187797525,0.001443125361112755,0.0014329180775927992,0.001419183095018535,0.0001979235202916286,0.0014329800467968402
train,21,0.0014304695071677865,0.0014337121234484994,0.0014336990331169398,0.001430469817587092,9.617614708886353e-05,0.0014336973195577087
train,22,0.001377621171879868,0.0015010005834577066,0.0013836791008709404,0.001377513004542617,0.00012934733532253597,0.001383674437217049
train,23,0.0013290624616913763,0.0014672672179699873,0.0013351825950685774,0.0013290985356564,0.00012770417643165807,0.001334776636495033
train,24,0.0015264556315894107,0.0016032385393494628,0.0015329974455901678,0.001526507799542119,0.00014146479027825196,0.0015328818291712296
test,0,0.001542913661824203,0.0015580924980630767,0.0015471346288881973,0.0015429025160819208,0.00011422922364527845,0.0015470605833430198
test,1,0.0013884453267056164,0.0013955380564838857,0.0013986804010149459,0.0013884525689746732,0.00016891723116550298,0.0013986239172653762
test,2,0.0014940317521337453,0.0015331153972217837,0.0015103115619832862,0.0014940042226248638,0.00022120333114117243,0.0015101153934372015
test,3,0.0013477377877826008,0.0013483365978712012,0.0013521741599145755,0.0013477383689550263,0.0001094459363746786,0.0013521501028146011
test,4,0.0014616408454282508,0.001475187211042421,0.0014712415888981608,0.0014616378170938193,0.0001678038710065972,0.001471231503208869
test,5,0.0012480310557825573,0.0013167300273396773,0.0012552416419520653,0.00124804572878522,0.00013436393342308676,0.0012554400449969563
test,6,0.0014397238899012158,0.0014499504432429631,0.0014494693017343848,0.0014397237984130216,0.00016779985452182233,0.0014494687025661745
