split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,0.00031325685449366396,4.105527093471028e-05,1.9053197019480958e-07,0.0003131105468359073,0.0003131105468359073,0.0
train,1,0.0004493340603049444,7.654976157303851e-05,6.897038599171851e-07,0.0004488290432978692,0.0004488290432978692,0.0
train,2,0.00017403783642959273,0.00041308096171099477,3.4929222879834913e-06,0.00017299423312021578,0.00017299423312021578,0.0
train,3,0.0006033506305960301,0.0002875251522550226,2.837639246872803e-06,0.0006026473053566549,0.0006026473053566549,0.0
train,4,0.0004370138919492395,0.0002361344475158096,1.6148858659044398e-06,0.00043660268087654196,0.00043660268087654196,0.0
train,5,6.749647039622305e-05,0.00021351324607996245,1.2808323862136237e-06,6.681818283531843e-05,6.681818283531843e-05,0.0
train,6,0.00015114389920715298,1.1041080942638122e-05,2.282128753418782e-08,0.00015112760196222204,0.00015112760196222204,0.0
train,7,0.00014857255900794426,0.0002901796244050734,1.8564597068612352e-06,0.00014856554240390345,0.00014856554240390345,0.0
train,8,0.0003820205350514712,8.689952100470178e-05,6.329386112103095e-07,0.00038172166830297076,0.00038172166830297076,0.0
train,9,0.0005806647718498121,0.00016773409082863674,1.93478131318903e-06,0.000579529862442525,0.000579529862442525,0.0
train,10,0.0005651026203462344,0.0001258014274600083,1.4418113393408465e-06,0.0005640761837355882,0.0005640761837355882,0.0
train,11,0.00037258564967516825,0.0004993023040429591,3.7321442991147184e-06,0.0003731741310106494,0.0003731741310106494,0.0
train,12,0.00025667116621747114,8.065925051292254e-05,3.225412263876018e-07,0.00025659182756213343,0.00025659182756213343,0.0
train,13,6.781051951894322e-06,7.735698486976284e-06,8.648623863044824e-09,6.774064902448595e-06,6.774064902448595e-06,0.0
train,14,0.0002766867484348046,0.0005010590877200063,3.997721201220251e-06,0.00027710361635365193,0.00027710361635365193,0.0
train,15,2.2191616210381646e-05,5.748089367236896e-05,1.7370908137132788e-07,2.2086973907457957e-05,2.2086973907457957e-05,0.0
train,16,0.0006148038083196689,0.0001997544669103943,2.2974497683321787e-06,0.0006136750525941353,0.0006136750525941353,0.0
train,17,0.0004984269083806862,0.00028726209754096596,2.0331594952229518e-06,0.0004983261770333614,0.0004983261770333614,0.0
train,18,0.0005347001783413229,0.00011334253229841466,1.229304509374022e-06,0.0005338316559431108,0.0005338316559431108,0.0
train,19,0.00020310526884572254,0.0002178792767181724,1.1215020235943207e-06,0.0002032489843370636,0.0002032489843370636,0.0
train,20,0.00043969791439877167,6.759763657068425e-05,5.67941608719343e-07,0.0004392703789355454,0.0004392703789355454,0.0
train,21,6.875094767452726e-05,4.35841253702355e-05,1.2014234574883912e-07,6.872126460650046e-05,6.872126460650046e-05,0.0
train,22,0.0005154546018343774,0.00041491105991412126,3.0787850269764513e-06,0.000515554676098166,0.000515554676098166,0.0
train,23,0.00042978178884992387,0.0005074764507529944,4.881052405474978e-06,0.0004290493130409215,0.0004290493130409215,0.0
train,24,0.00031414501993084294,0.0005148470943498761,4.929808848700558e-06,0.0003132365894104508,0.0003132365894104508,0.0
test,0,0.0005642248438487115,0.0001392273270896143,1.198358711951305e-06,0.0005632953538041222,0.0005632953538041222,0.0
test,1,0.00048768213432075674,8.305844012459559e-05,7.397940818891844e-07,0.0004871101320273957,0.0004871101320273957,0.0
test,2,0.0005683294760402065,0.00012378887828311448,1.416964433439707e-06,0.000567293878159611,0.000567293878159611,0.0
test,3,0.00031551622305296385,7.6764508141262e-05,3.212287458512163e-07,0.0003153770185770102,0.0003153770185770102,0.0
test,4,4.938706663035646e-05,4.0488468479825275e-05,1.0665349301698397e-07,4.935231886406675e-05,4.935231886406675e-05,0.0
test,5,0.00037339167619940966,0.0003043333075780703,2.291446571050968e-06,0.00037302762875072537,0.00037302762875072537,0.0
test,6,1.460639723862352e-05,8.047578864218425e-06,9.37460266884788e-09,1.4601921183428426e-05,1.4601921183428426e-05,0.0
