split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,8.241903655272537e-08,4.105527093471028e-05,1.9053197019480958e-07,1.7179244414320164e-07,1.7179244414320164e-07,0.0
train,1,3.835110589817615e-07,7.654976157303851e-05,6.897038599171851e-07,5.733237161561682e-07,5.733237161561682e-07,0.0
train,2,1.254440471833465e-06,0.00041308096171099477,3.4929222879834913e-06,3.2602236656117762e-06,3.2602236656117762e-06,0.0
train,3,2.6967732146095636e-06,0.0002875251522550226,2.837639246872803e-06,8.83112643121294e-07,8.83112643121294e-07,0.0
train,4,2.124869916945059e-07,0.0002361344475158096,1.6148858659044398e-06,1.6009615536273024e-06,1.6009615536273024e-06,0.0
train,5,5.598257371424902e-07,0.00021351324607996245,1.2808323862136237e-06,1.1520716337058114e-06,1.1520716337058114e-06,0.0
train,6,9.264356243419889e-09,1.1041080942638122e-05,2.282128753418782e-08,2.0856461571271332e-08,2.0856461571271332e-08,0.0
train,7,1.100086230487508e-06,0.0002901796244050734,1.8564597068612352e-06,1.4955219972621755e-06,1.4955219972621755e-06,0.0
train,8,5.306943179560485e-07,8.689952100470178e-05,6.329386112103095e-07,3.4496021956580206e-07,3.4496021956580206e-07,0.0
train,9,1.4238155395725813e-06,0.00016773409082863674,1.93478131318903e-06,1.3103087746007567e-06,1.3103087746007567e-06,0.0
train,10,8.410994472303674e-07,0.0001258014274600083,1.4418113393408465e-06,1.1713095163446172e-06,1.1713095163446172e-06,0.0
train,11,2.5866277008779908e-06,0.0004993023040429591,3.7321442991147184e-06,2.6907174700577774e-06,2.6907174700577774e-06,0.0
train,12,4.009135896263265e-08,8.065925051292254e-05,3.225412263876018e-07,3.2004777981152824e-07,3.2004777981152824e-07,0.0
train,13,4.361434035237506e-09,7.735698486976284e-06,8.648623863044824e-09,7.468387666916073e-09,7.468387666916073e-09,0.0
train,14,2.5307975321542285e-06,0.0005010590877200063,3.997721201220251e-06,3.095033725562813e-06,3.095033725562813e-06,0.0
train,15,9.028018360287376e-08,5.748089367236896e-05,1.7370908137132788e-07,1.4840815753109906e-07,1.4840815753109906e-07,0.0
train,16,1.8886229215390217e-06,0.0001997544669103943,2.2974497683321787e-06,1.308501305021502e-06,1.308501305021502e-06,0.0
train,17,1.959133680534729e-06,0.00028726209754096596,2.0331594952229518e-06,5.436414253469756e-07,5.436414253469756e-07,0.0
train,18,7.255699754159707e-07,0.00011334253229841466,1.229304509374022e-06,9.925317115056683e-07,9.925317115056683e-07,0.0
train,19,7.30240272364438e-07,0.0002178792767181724,1.1215020235943207e-06,8.512305264544343e-07,8.512305264544343e-07,0.0
train,20,2.9854658816381315e-07,6.759763657068425e-05,5.67941608719343e-07,4.832032290459014e-07,4.832032290459014e-07,0.0
train,21,3.8323200033525514e-08,4.35841253702355e-05,1.2014234574883912e-07,1.1386744064607171e-07,1.1386744064607171e-07,0.0
train,22,2.8484663564925914e-06,0.00041491105991412126,3.0787850269764513e-06,1.168458639703777e-06,1.168458639703777e-06,0.0
train,23,5.867115837084981e-07,0.0005074764507529944,4.881052405474978e-06,4.846305195019668e-06,4.846305195019668e-06,0.0
train,24,1.212245732101163e-06,0.0005148470943498761,4.929808848700558e-06,4.779053136729476e-06,4.779053136729476e-06,0.0
test,0,5.157263424306151e-07,0.0001392273270896143,1.198358711951305e-06,1.0819019719275227e-06,1.0819019719275227e-06,0.0
test,1,3.6686764352122403e-07,8.305844012459559e-05,7.397940818891844e-07,6.425161935623521e-07,6.425161935623521e-07,0.0
test,2,7.91357498449881e-07,0.00012378887828311448,1.416964433439707e-06,1.1756474182308513e-06,1.1756474182308513e-06,0.0
test,3,8.760650102139465e-08,7.6764508141262e-05,3.212287458512163e-07,3.0906126125575706e-07,3.0906126125575706e-07,0.0
test,4,3.9814273216809696e-08,4.0488468479825275e-05,1.0665349301698397e-07,9.894435839386082e-08,9.894435839386082e-08,0.0
test,5,1.9116149688283036e-07,0.0003043333075780703,2.291446571050968e-06,2.2836467823484953e-06,2.2836467823484953e-06,0.0
test,6,3.989469888902185e-09,8.047578864218425e-06,9.37460266884788e-09,8.483373807783898e-09,8.483373807783898e-09,0.0
