split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,0.001618006955629058,0.0010243421006977957,0.00015936930183092562,0.0016003108366988204,0.0015935409813338643,0.00015721282214449435
train,1,0.0021633871014073713,0.001983695036546962,0.0001709635783948522,0.002095978947635191,0.0020980379145310014,0.000143830719023104
train,2,0.0009058461617520537,0.00997436893424664,0.00046488289566598405,0.0008403320316422796,0.0008360709909146049,0.0001339493483777735
train,3,0.0032526562666663904,0.006986428687223496,0.0003593049444182548,0.0031711072185557692,0.003174149166618686,0.00013066606476457276
train,4,0.0021200997390337407,0.006081149087817339,0.0002587603911240868,0.002074552891854203,0.0020623693663832606,0.00014077814676751984
train,5,0.00037365520232898584,0.005216952883684339,0.00020685009633442577,0.0003125392823080411,0.00027469644162289716,0.000138314386187192
train,6,0.0007771671861904971,0.0003041047770871701,0.00013367937400888624,0.0007751971941061822,0.0007633591776459724,0.00013365368513162422
train,7,0.0007437569533331078,0.00710304017936695,0.0002628016920050512,0.0007528222418823405,0.0007484733350972483,0.0001448697124620503
train,8,0.0018435542285314996,0.0022429345416875943,0.000171123752142629,0.0018018871199790615,0.0017895492418107514,0.00014169152917321902
train,9,0.0027562408818619715,0.004399749210787779,0.0003037784591034017,0.002596036933895028,0.002569684174488823,0.00015074353249208474
train,10,0.0026912268567409097,0.0032883155149552004,0.00023470815250910732,0.002551359069552388,0.0025554309620019235,0.0001414283697790497
train,11,0.001996341637838985,0.01278313781967352,0.0005045901786857701,0.002070460096891852,0.002072967195334734,0.00014190069339559832
train,12,0.0013181607296935522,0.0019943542547981316,0.00015656204576386222,0.0013090449684540712,0.001289484555955694,0.00015218734868851382
train,13,0.00014665352026415867,0.0002381187295242179,0.00014273307877926044,0.00014642824306132396,3.445867108420637e-05,0.00014270040972549325
train,14,0.0013533263059475015,0.012185927549579057,0.0005099045924861828,0.0014202420462418092,0.0014149157316563773,0.0001448866505193397
train,15,0.00017357492073215246,0.0014691793217116238,0.00013695753925985316,0.00016543539332181833,0.00010388182286740566,0.000133760782788003
train,16,0.0032933534688283127,0.00481456119860245,0.00029598852211755716,0.0031609383497342752,0.003158658545861543,0.00014219783763483386
train,17,0.0026630406077834618,0.0070952950260858745,0.00028556433279688183,0.002652551451125129,0.002639275740137654,0.00012908918305710535
train,18,0.002552320233760327,0.0029461861422902243,0.00020249743675643977,0.0024344275829789735,0.002447772077665181,0.00013428847276277433
train,19,0.0009934519053898215,0.005351648377090337,0.0001990730939314315,0.0010116470542079052,0.0009985725026803232,0.00013719050382062626
train,20,0.0022955718854132065,0.0016633008315171,0.0001518647275972982,0.0022445294350965476,0.002259841747393366,0.00014329800467965058
train,21,0.0003734336132640365,0.0010853123982968466,0.0001443431132862287,0.0003702021113103109,0.0003500008351715827,0.0001433697319557177
train,22,0.0024381875780346263,0.010436862824589305,0.0004186003388612529,0.0024127392273078714,0.002401579196880263,0.00013836744372171622
train,23,0.0020918163317977133,0.013216144099955248,0.0006654427369143349,0.0020887975338976226,0.002089981683677588,0.00013347766364950846
train,24,0.0016145975192916253,0.012405841904909915,0.000611849902363433,0.0015882145723755804,0.0015945581390724877,0.0001532881829171548
test,0,0.0026978021563195337,0.0036043630764977528,0.0002272546077882183,0.002572752383604399,0.002557508876208484,0.00015470605833434176
test,1,0.002556792693586882,0.002006879426990877,0.00017132105540010995,0.0024886777943699738,0.0024716467021276803,0.0001398623917265291
test,2,0.002708433397236595,0.003263404763502862,0.00025571624922419837,0.0025673837911549427,0.0025424544016144418,0.0001510115393437272
test,3,0.0016246303472094812,0.0018825484331545673,0.00014361728216867416,0.0016082145560012166,0.0015989868402527462,0.00013521501028147858
test,4,0.0002860216939526741,0.0010455895208770593,0.0001490091416958218,0.0002823091165358101,0.0002509838552750291,0.00014712315032088829
test,5,0.0019202851787217417,0.007401454074588821,0.00029331183175263436,0.001894088894017944,0.0018994740864115938,0.00012554400449965884
test,6,0.00016159617344071404,0.00025535751601043843,0.00014502701666722282,0.0001613348665462348,5.6039267437639244e-05,0.00014494687025660969
