split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,0.0001568201414184009,0.00016311970318838998,0.000157216697543419,0.00015681197193255026,1.1161606841653974e-05,0.00015721282214449435
train,1,0.00014348523840050788,0.0001609388132565233,0.0001438438006388531,0.0001434523196695316,1.0180612718195207e-05,0.000143830719023104
train,2,0.00013182499754849295,0.00040869848508880635,0.00013467919457867906,0.00013175740155559103,2.7578829227256253e-05,0.00013394934837776797
train,3,0.0001304581150599877,0.00031745224240505205,0.00013060343255807705,0.00013050117188901018,6.2085245715329966e-06,0.0001306660647645736
train,4,0.0001404840410792739,0.00028145794774762646,0.00014088178999845373,0.00014047882163097794,1.0544727860392681e-05,0.00014077814676752078
train,5,0.00013812998705586078,0.00025315622849783766,0.00013830234967030782,0.00013818031011569098,6.895994919240018e-06,0.000138314386187192
train,6,0.00013364945321878776,0.00013404500393299633,0.00013365365217978968,0.00013364959391075538,1.0561340998330993e-06,0.00013365368513162422
train,7,0.00014377709283367124,0.00033626477331968934,0.00014479948143014047,0.00014372889693053918,1.7187827386121906e-05,0.00014486971246204398
train,8,0.00014133849432276682,0.00016949595322197507,0.00014176045962429603,0.000141291104046852,1.0904468303707e-05,0.00014169152917321902
train,9,0.00014878503945536258,0.00023455698786721996,0.00015087194386131486,0.00014883224134403753,2.4955284406440992e-05,0.00015074353249208474
train,10,0.00014010036079607747,0.0001853693771964445,0.00014140961515202147,0.00014009934970917593,1.921827190750944e-05,0.0001414283697790497
train,11,0.00014155958226329124,0.0005343733101912509,0.00014212148052157928,0.00014155580133280764,1.2650597977757162e-05,0.0001419006933956003
train,12,0.00015159599183459254,0.00017386938261201187,0.00015218200342976448,0.000151591753066283,1.3321010830324207e-05,0.00015218734868851382
train,13,0.00014263847164083655,0.0001428052413641569,0.00014270064002061113,0.00014263826294742149,4.211922807036078e-06,0.00014270040972549325
train,14,0.00014498099350621822,0.0005111365549485391,0.00014506200496946942,0.00014490881982517567,4.854422245042395e-06,0.0001448866505193397
train,15,0.0001329115393334821,0.00014908439329622855,0.00013377210996804624,0.00013291023727408338,1.5149705419070166e-05,0.00013376078278799577
train,16,0.00014097813361618758,0.00025766535314572633,0.00014199833594679526,0.00014113523368312035,1.6992415830908792e-05,0.00014219783763483066
train,17,0.00012876349945550218,0.00030237731346481167,0.0001292375660274897,0.00012862773485495805,1.1008958945914134e-05,0.00012908918305710619
train,18,0.00013319432066115052,0.00016605229158170488,0.00013420459165699075,0.00013316790310964713,1.6493076881476133e-05,0.00013428847276277433
train,19,0.0001371868368646748,0.00025133065937542196,0.00013725018751687041,0.00013712294959543323,4.1485702594920035e-06,0.00013719050382062346
train,20,0.0001419218805265727,0.0001660262446272083,0.00014323703677649084,0.0001419189598443168,1.9413389498054685e-05,0.00014329800467965083
train,21,0.000143046674227162,0.0001492271533888563,0.00014337149081030087,0.00014304702658118041,9.651418391514584e-06,0.0001433697319557177
train,22,0.00013788379032956448,0.00045598947212678457,0.00013840293026345737,0.00013775623705085619,1.1952805724395188e-05,0.00013836744372172166
train,23,0.00013288315786654287,0.0005354622693663436,0.0001339631224731815,0.00013299708096537434,1.69809501089404e-05,0.00013347766364950846
train,24,0.00015261031314442808,0.0005330316648302411,0.00015347503488862582,0.00015272458316622307,1.6290443874121606e-05,0.00015328818291715762
test,0,0.0001543021613246489,0.0002116727819813001,0.00015478426302350192,0.00015429364274888806,1.2154194520821403e-05,0.00015470605833434176
test,1,0.00013883884096276762,0.0001578229487831413,0.00013992062538767757,0.00013884651609764892,1.732725004908789e-05,0.0001398623917265291
test,2,0.00014942947360024108,0.00020879471912181304,0.00015121356850754898,0.00014940459260959354,2.3109421729575624e-05,0.0001510115393437272
test,3,0.0001347733263578673,0.00015018914010775847,0.00013523940880694503,0.0001347741546828857,1.1207143507270359e-05,0.00013521501028147858
test,4,0.0001461666962221254,0.00015584005579787896,0.00014713327048885996,0.0001461638303239667,1.6839798315418595e-05,0.00014712315032088436
test,5,0.0001247925238290608,0.00033894396113319866,0.00012536430924037087,0.00012482511280564914,1.1993552335461847e-05,0.00012554400449965884
test,6,0.00014397248694727297,0.00014562815381774516,0.0001449474696965438,0.00014397239188981858,1.678214998730759e-05,0.00014494687025660838
