split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,2.5740907907162114e-05,0.0010099788871111852,2.831574298205411e-05,1.7181573462385905e-05,5.995256428590299e-06,1.5721282214395744e-05
train,1,5.710339959375008e-05,0.001982106286760434,9.122777229460522e-05,5.5477878558958336e-05,5.3144440466179804e-05,1.4383071902298839e-05
train,2,0.00015355837093518167,0.009996962371002768,0.00042244946307628086,0.0003894663354146732,0.0003916475137234893,1.3394934837774288e-05
train,3,0.00032905715857976244,0.006983706665158703,0.0003388705070746599,6.095152976427158e-05,5.9332593094137896e-05,1.3066606476414485e-05
train,4,3.820895590635439e-05,0.006072588942201793,0.00021032072194060927,0.00020289899072432178,0.00020305727514454805,1.4077814676693842e-05
train,5,6.860981859077899e-05,0.005216537306074939,0.0001561157296942862,0.0001387235976368781,0.0001383771255043575,1.3831438618662343e-05
train,6,1.55798999935068e-05,0.00027419279210734747,1.3655882448859803e-05,1.458330954911075e-05,5.835321976250638e-06,1.3365368513208882e-05
train,7,0.00013540481514360652,0.00708922681094395,0.00022564211948922257,0.00018305883902612914,0.00018128409407033549,1.4486971246255787e-05
train,8,7.289398327414666e-05,0.0022325486218123455,8.449923903368106e-05,3.136716695163748e-05,2.8967477509001123e-05,1.4169152917293253e-05
train,9,0.00018640662735631955,0.004386158214853269,0.0002562310745900644,0.0001508013716958412,0.00015185841976528953,1.5074353249278865e-05
train,10,0.00011344163986334485,0.0032904268066363527,0.00019014390628958316,0.00013007040667576674,0.0001290754904474232,1.414283697791539e-05
train,11,0.00032985406277979886,0.012767976980620334,0.0004782809874999035,0.0003525258506268601,0.00035312810050371524,1.4190069339567013e-05
train,12,2.137314296014156e-05,0.001985444478841501,4.211674475497532e-05,4.082859630359508e-05,3.703658287211714e-05,1.5218734868831591e-05
train,13,1.4303935905414569e-05,0.0001928934419633765,1.4339023199061088e-05,1.4277236283309107e-05,8.492923022036028e-07,1.4270040972522777e-05
train,14,0.0003084923119122616,0.012194904648699585,0.00048504901930562826,0.0003781051890815028,0.00037802185015142054,1.4488665051917953e-05
train,15,1.7711338805185855e-05,0.0014551018475510967,2.6493093188978996e-05,2.24325777288872e-05,1.903973562481285e-05,1.3376078278896027e-05
train,16,0.00023212971829502527,0.004798356236799153,0.0002725570599431953,0.00011605819810354735,0.00011454433441119468,1.4219783763499643e-05
train,17,0.00024066488477598124,0.007106201030989867,0.00024748858578564127,6.849893082156277e-05,6.691644420525878e-05,1.2908918305735682e-05
train,18,9.890866878053952e-05,0.002956144117714088,0.00016100809561562322,0.00010726991033625215,0.00010490981235391658,1.342884727628834e-05
train,19,9.258262792477407e-05,0.0053563485126200214,0.0001389058813916464,0.00010752516249396164,0.00010646704131887174,1.3719050382068635e-05
train,20,4.604153981403878e-05,0.0016408555881343052,6.835286723845658e-05,3.716612432401939e-05,3.24586811098262e-05,1.4329800467969492e-05
train,21,1.5452951948694054e-05,0.0010778166943761984,2.0765360844086896e-05,1.9711693588918763e-05,1.4068932589561922e-05,1.433697319550724e-05
train,22,0.0003685621765779612,0.010418014432280192,0.0003953542841799764,0.0001475094568323611,0.00014564546642499102,1.3836744372231828e-05
train,23,8.062621629175588e-05,0.013205410110053026,0.0006423957873294776,0.0006357516817139803,0.0006367924471966835,1.3347766365016206e-05
train,24,0.00014721812141438233,0.012408816078448385,0.0005894697561301864,0.0005693217779519007,0.0005696323663909182,1.532881829173482e-05
test,0,7.396379087769097e-05,0.003596118413733023,0.00015883261720674632,0.00011735888078913897,0.00011720744713780868,1.5470605833418225e-05
test,1,5.382607827209153e-05,0.002010414040720575,9.096008775691764e-05,5.211395445772524e-05,5.1635510663302236e-05,1.3986239172667519e-05
test,2,0.00010787010065709152,0.003240152508491769,0.0001893375734360575,0.00013032996691425102,0.00013166555712473948,1.5101153934331412e-05
test,3,2.4105234520597485e-05,0.0018872594057786315,4.2535174039675316e-05,3.5512650808644695e-05,3.3902651440206054e-05,1.3521501028131542e-05
test,4,1.599786027633836e-05,0.0010242173763612243,2.0891139608742288e-05,1.8859367998354866e-05,1.3278538552391741e-05,1.4712315032091958e-05
test,5,3.24385790793658e-05,0.007390799990038939,0.0002754684578731141,0.00027342940255472165,0.0002721780789329343,1.2554400449992189e-05
test,6,1.4437956772355684e-05,0.00020345808592190162,1.4617446778648761e-05,1.4427902883233917e-05,1.7330149209479975e-06,1.4494687025683646e-05
