split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,0.0015692324614170832,0.0018824597615020454,0.001572752571422576,0.0015681078239085898,0.00010615813566305486,0.0015721282214450946
train,1,0.0014399989803558586,0.002416875860701108,0.0014427491812840272,0.0014355515232987693,9.343180665618324e-05,0.001438307190230614
train,2,0.0013387536074493658,0.009827232359993632,0.001480308080641651,0.0013738434593924128,0.0006306819862819201,0.0013394934837777958
train,3,0.00133723430983885,0.007121215876048988,0.0013390398997524075,0.0013062812075266975,7.478797595433052e-05,0.0013066606476454668
train,4,0.0014068514442693812,0.006307660347392763,0.001435271903192408,0.0014191720040905122,0.0002756357733314145,0.0014077814676744895
train,5,0.001377821431433166,0.005381869294732771,0.0013897826596979434,0.001388709372649963,0.00017947932565173143,0.001383143861872343
train,6,0.0013365027001316075,0.0013627474821562814,0.0013365357446677609,0.001336508743855711,1.191726481598245e-05,0.0013365368513163604
train,7,0.0014493911486052047,0.007367738623853826,0.0014562042694683296,0.001448878329952277,0.00014766753178822235,0.0014486971246207515
train,8,0.0014207669198954742,0.0026989610339423903,0.0014281213950861796,0.0014131802623555858,0.00013211607116589674,0.0014169152917322017
train,9,0.0014934959568228805,0.004751479697995587,0.0015437697756208058,0.0014962644077699642,0.00036570268132804615,0.0015074353249209791
train,10,0.0014057710546353439,0.0035293482742833103,0.0014235858910015716,0.0014067904398723417,0.00021877255166485727,0.0014142836977907858
train,11,0.0014557940984261763,0.013002941063182206,0.0015189789620974538,0.0014587950214502421,0.00044230061898628455,0.0014190069339560065
train,12,0.0015167066283105354,0.002528968994118002,0.0015216879913141086,0.0015165388482415853,0.00011113872083538332,0.0015218734868854486
train,13,0.0014263944790725435,0.0014373609780805258,0.0014270331221361275,0.0014263685914370368,4.275492509446566e-05,0.0014270040972545349
train,14,0.001491098663570485,0.012172860739294274,0.001541980520002001,0.0014970293486322682,0.00039706304243660936,0.001448866505193267
train,15,0.001329473737353658,0.0020406678524703273,0.001339210469668261,0.0013293582818277147,0.00016129464758565042,0.0013376078278802134
train,16,0.001409997511837479,0.005151639659727792,0.0014221286152201482,0.0014163662774182547,0.00016615877237393281,0.0014219783763488908
train,17,0.0013248544189751888,0.007090779899398918,0.0013301408947288282,0.0012886770425872987,9.849064516295351e-05,0.0012908918305715414
train,18,0.0013392592871108494,0.0031143274693422375,0.0013411176906912871,0.0013359133706684577,9.264425390788018e-05,0.0013428847276275484
train,19,0.0013823570635162206,0.005460203472880169,0.0013856242653457484,0.0013755133199550534,9.437882793439862e-05,0.001371905038206167
train,20,0.0014201338274209432,0.002310368661706993,0.0014270874018463837,0.001419540822069673,0.00016671315815742878,0.001432980046796841
train,21,0.001430402202617294,0.0017808662402782273,0.0014339846887029138,0.0014304897278166868,0.0001041623799934239,0.0014336973195577087
train,22,0.0014368019424658017,0.010703493969686307,0.001438856156570687,0.0013850461837270611,5.8648836154707205e-05,0.001383674437217046
train,23,0.0013278641744027698,0.013382450559447995,0.0015269780829539298,0.0014734261089532237,0.0007546444796846063,0.001334776636495033
train,24,0.0015289041668253742,0.012460356691117483,0.0016543348787306973,0.0016290340800407328,0.0006337284786637108,0.0015328818291712265
test,0,0.0015459888696265523,0.003964543459110041,0.0015647138579071615,0.001547269799253753,0.00021631066155458083,0.0015470605833430198
test,1,0.0013886986004923313,0.002372445545002965,0.0014082085089234756,0.0013893684501106673,0.00021246001321938287,0.0013986239172653762
test,2,0.001500813552296075,0.0037674811196548373,0.001546832650604506,0.0014995489538847393,0.0003508528369086177,0.0015101153934372015
test,3,0.0013478137203522167,0.0022350432007643625,0.0013556610462019203,0.001348134664836684,0.00014104133522730743,0.0013521501028146011
test,4,0.0014619377589960307,0.0018612385098777686,0.0014725711505605347,0.001461611666990069,0.00017779307974688649,0.0014712315032088708
test,5,0.001246747499022299,0.007600120607049269,0.001261686566799183,0.0012772866447375148,0.00020193009643844196,0.0012554400449969563
test,6,0.0014397534787565763,0.0014748847668927933,0.0014495445580469815,0.0014397412930941046,0.00016739987775829738,0.0014494687025661745
