split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,1.568961965930068e-05,4.419679932979365e-05,1.5726196000159104e-05,1.5682131538564217e-05,1.0719617070080358e-06,1.5721282214395744e-05
train,1,1.4383623431663918e-05,7.747357447747665e-05,1.4411009831803362e-05,1.4356578616131316e-05,8.88026779539706e-07,1.4383071902298839e-05
train,2,1.3332289671201544e-05,0.0004106834784756986,1.4491738576181778e-05,1.3569237624495039e-05,5.680369359003486e-06,1.339493483777593e-05
train,3,1.325850534240069e-05,0.0002880010566626974,1.3279562987714957e-05,1.3079698227547587e-05,7.47571517480583e-07,1.3066606476414485e-05
train,4,1.406260239249765e-05,0.00023732198257556128,1.4263630371761424e-05,1.4137928872875184e-05,2.386491713530306e-06,1.4077814676694431e-05
train,5,1.378214752520754e-05,0.00021381334144719908,1.3872715037149215e-05,1.3865504532626142e-05,1.5827013620598922e-06,1.3831438618662343e-05
train,6,1.3364821024927641e-05,1.7286513530827515e-05,1.3365353096615435e-05,1.336497562385114e-05,1.192574695677843e-07,1.3365368513208882e-05
train,7,1.4465779132551636e-05,0.00029189440168058843,1.4523765270375472e-05,1.4449711136558843e-05,1.2964850537610812e-06,1.4486971246255787e-05
train,8,1.4185585767899833e-05,8.867005042328625e-05,1.425058917712747e-05,1.4133285741398956e-05,1.3596597648991124e-06,1.4169152917293253e-05
train,9,1.4902240691045549e-05,0.00016964028302939664,1.5312682729387922e-05,1.4940317926039325e-05,3.5223178747503462e-06,1.5074353249278865e-05
train,10,1.4037599591135881e-05,0.00012601349648366789,1.4190148823625332e-05,1.4058358378379913e-05,2.075176325733875e-06,1.414283697791539e-05
train,11,1.4392971058244067e-05,0.0005011145304160509,1.483795547821308e-05,1.4406500890660384e-05,3.607011609382762e-06,1.4190069339568466e-05
train,12,1.5163719692317638e-05,8.242505945335588e-05,1.5216465662958283e-05,1.5162521137505574e-05,1.2659053570555642e-06,1.5218734868831591e-05
train,13,1.4264035847383544e-05,1.6139516716940295e-05,1.4270273624676696e-05,1.4263828174202668e-05,4.218887960898581e-07,1.4270040972522777e-05
train,14,1.4788679982335897e-05,0.0005001909170443603,1.5145606327060742e-05,1.481445121882565e-05,3.2691014406039877e-06,1.4488665051921368e-05
train,15,1.329266159674143e-05,5.988312136995627e-05,1.3388415395722681e-05,1.329184492542883e-05,1.5983894774203446e-06,1.3376078278904817e-05
train,16,1.4075099090337945e-05,0.00020181919015358353,1.4187421772063362e-05,1.4173531674375227e-05,1.7818257128673805e-06,1.4219783763495698e-05
train,17,1.3130753185643906e-05,0.0002862009850414432,1.3198244756023667e-05,1.2874144525616232e-05,1.3331587819650442e-06,1.290891830574003e-05
train,18,1.3363947448571448e-05,0.00011267744923658536,1.339559107598897e-05,1.3353368667683356e-05,9.202967559564057e-07,1.342884727628834e-05
train,19,1.3795857159789772e-05,0.00021759375047243417,1.3819634473518779e-05,1.3738419846262041e-05,8.10340843188369e-07,1.3719050382068831e-05
train,20,1.4198248833067394e-05,7.085816241179985e-05,1.4278884385334637e-05,1.4200043896940114e-05,1.51552212800324e-06,1.4329800467969492e-05
train,21,1.4304435333034194e-05,4.567880813914033e-05,1.4339184941446617e-05,1.4305151391403887e-05,9.976695304796961e-07,1.433697319550724e-05
train,22,1.4166945644589831e-05,0.00041713979586082084,1.4176342359139307e-05,1.3824594651334176e-05,5.161386360659022e-07,1.3836744372231828e-05
train,23,1.3276756220897174e-05,0.0005087707063610095,1.4580405385484498e-05,1.4146933627144648e-05,6.0270213190750895e-06,1.3347766365016206e-05
train,24,1.5268685808923187e-05,0.0005146438565101355,1.6204237568598744e-05,1.5995579804765223e-05,5.426748330991025e-06,1.5328818291735536e-05
test,0,1.5448657171540966e-05,0.00014061402350822508,1.5590139881777597e-05,1.546691788147189e-05,2.096004015218138e-06,1.5470605833418225e-05
test,1,1.3882496762658225e-05,8.330131072710267e-05,1.4061889307330328e-05,1.3899393334294872e-05,2.2392682154095005e-06,1.3986239172667519e-05
test,2,1.498782701647622e-05,0.00012687961841794754,1.5360914299473945e-05,1.4986253920502676e-05,3.365641784795929e-06,1.5101153934331412e-05
test,3,1.3477129249575803e-05,7.690064765198273e-05,1.3549307291274297e-05,1.3480927263415863e-05,1.3967159709083268e-06,1.3521501028131542e-05
test,4,1.4619312979956383e-05,4.4225861761402835e-05,1.472277974824067e-05,1.4616714788999266e-05,1.7423861448772506e-06,1.4712315032099258e-05
test,5,1.2469971770020322e-05,0.00030565776619319535,1.2563037923146875e-05,1.2687619380696206e-05,1.5264021284610563e-06,1.2554400449992189e-05
test,6,1.4397335393801566e-05,1.6975851192451395e-05,1.4495289182760851e-05,1.439724178412486e-05,1.6823037339729123e-06,1.4494687025685124e-05
