split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,2.4277411496453548e-05,0.001009828761706102,2.6840117858363728e-05,1.624311820842766e-05,7.734002263330762e-06,1.4730501562086585e-05
train,1,5.516840844184278e-05,0.001980688256842441,8.897184552151604e-05,5.532351639028316e-05,5.1738459310213864e-05,1.3862277913948513e-05
train,2,0.00015377678637290792,0.009997847504547108,0.0004217531283074369,0.00038950289311192514,0.00039079312376087927,1.4294320174115941e-05
train,3,0.0003311589810233914,0.006982076713425077,0.00034093810055488765,6.103637222517445e-05,5.882184561537919e-05,1.363142419576896e-05
train,4,3.779734520945269e-05,0.00607148190010383,0.00020920596623601894,0.00020293551438779297,0.00020209595441329816,1.4606942790453915e-05
train,5,7.063057509481685e-05,0.00521570523428463,0.00015746471666315732,0.00013872482901356608,0.00013889962334441517,1.388102409267554e-05
train,6,1.7241335509603755e-05,0.00027385539622495106,1.5573939156025532e-05,1.634929408445017e-05,6.749340394481691e-06,1.5328695707071087e-05
train,7,0.00013591328397881536,0.007087513436225006,0.0002264283906744737,0.00018304905121028513,0.00018188243971292025,1.4346855725358672e-05
train,8,7.30620837786165e-05,0.0022335135783197887,8.49105393849411e-05,3.1502568815401096e-05,2.9422414720091406e-05,1.449814309001412e-05
train,9,0.00018833298264366664,0.004384806104676759,0.0002557107017634608,0.0001507672625185545,0.00014912943467317364,1.4871294144189902e-05
train,10,0.00011169464526727393,0.003290549340555716,0.00018945189423873773,0.00013002373726671355,0.00012939525333511174,1.3458476478884296e-05
train,11,0.00032978296748521736,0.012766975196949373,0.0004772042237500243,0.0003525366964661668,0.00035172205039534627,1.4560010034859917e-05
train,12,1.9070727229251772e-05,0.001982974312219314,4.3555482840274096e-05,4.00506515425639e-05,3.976257921722767e-05,1.3127874992581552e-05
train,13,1.4357624130763517e-05,0.00019262704398379454,1.445051690720613e-05,1.436250794559045e-05,1.3778495677169512e-06,1.436896832045766e-05
train,14,0.00031017683428221445,0.012195059789811344,0.00048527996953386197,0.0003781008936517892,0.0003768780305847496,1.4634298779644959e-05
train,15,1.8088410037661018e-05,0.0014532742620820846,2.5408028343930865e-05,2.2828718952849232e-05,1.7118590598404642e-05,1.3985878482115059e-05
train,16,0.00023288366349866603,0.004796603742864604,0.00027361252373810915,0.00011607557475941372,0.0001155167996758199,1.4355274045855874e-05
train,17,0.0002387609939948747,0.007108916597468055,0.0002459172075306794,6.866095391896531e-05,6.820335716336613e-05,1.3791243198310149e-05
train,18,9.902970734279045e-05,0.0029572516786881683,0.00016190967747269015,0.00010728867935497532,0.00010590721119481695,1.3441608820101586e-05
train,19,9.052471974693053e-05,0.005356172274855644,0.00013810656547030568,0.00010750219786171074,0.00010719658406469524,1.3547901194115098e-05
train,20,4.520179693173586e-05,0.0016388442641122301,6.983116784632083e-05,3.7657982879107966e-05,3.478380826106648e-05,1.5459872119662006e-05
train,21,1.4923713240071246e-05,0.0010768700219611306,2.0848963066519722e-05,1.8980530815451013e-05,1.4493380922969095e-05,1.3312214537904381e-05
train,22,0.00036799844551650256,0.010416970201979424,0.000395060444999714,0.00014754124590745486,0.00014648408327307304,1.410675971143176e-05
train,23,8.214109469562631e-05,0.013203958305177135,0.0006410968697693514,0.000635757448458773,0.0006353027199174962,1.3978745785869722e-05
train,24,0.00014809984984284964,0.012410802054288518,0.0005876517329922431,0.0005692695229051113,0.0005675161821079881,1.3622618326234723e-05
test,0,7.381695364958702e-05,0.0035959931311369004,0.00015922300564661702,0.00011721978558676604,0.00011763286961300745,1.4542143921397978e-05
test,1,5.3704439087974035e-05,0.002011022164430167,9.019453864082525e-05,5.233193850045496e-05,5.078846961652298e-05,1.4701197695689367e-05
test,2,0.00010864563228781938,0.00323877288523341,0.00018858043419568644,0.00013016377156988457,0.0001302789728658113,1.3685628820607776e-05
test,3,2.5546567424045863e-05,0.0018910604270545625,3.981930579111743e-05,3.656349156679596e-05,3.141359740950556e-05,1.649943843001017e-05
test,4,1.6047338897854465e-05,0.0010241174933230076,2.0968364084160254e-05,1.8850582193402538e-05,1.270378683005577e-05,1.480366346481206e-05
test,5,3.350400288143606e-05,0.007389619735469493,0.0002766711356572693,0.0002734896654401421,0.00027305512046752644,1.3736235986837795e-05
test,6,1.4242156335401363e-05,0.00020233156309984817,1.4282014598479223e-05,1.4244292636191413e-05,6.219684428402745e-07,1.4241197189809198e-05
