split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,1.4643339052404623e-05,4.3748005418017355e-05,1.4721329776620569e-05,1.464676845463893e-05,1.5135723884701797e-06,1.4730501562086585e-05
train,1,1.3714398733297066e-05,7.599970323674769e-05,1.3783726539048115e-05,1.3742343032080261e-05,1.3812252204804564e-06,1.3862277913948513e-05
train,2,1.4358673136594381e-05,0.0004115971507072164,1.5161414260133759e-05,1.4562402203403544e-05,4.868440738474706e-06,1.4294320174120234e-05
train,3,1.4093939284866939e-05,0.0002863647174559237,1.4256731213641942e-05,1.3512697859226803e-05,2.1480983637064372e-06,1.363142419576896e-05
train,4,1.4603324425240638e-05,0.00023625012425321175,1.4659538301450854e-05,1.468866124022145e-05,1.2826014853863203e-06,1.4606942790455194e-05
train,5,1.3893951062761933e-05,0.00021297154838624253,1.4047180864942968e-05,1.3894229983926701e-05,2.069206984800416e-06,1.388102409267554e-05
train,6,1.5272329175966e-05,1.858811528038332e-05,1.532860363247769e-05,1.527249076922145e-05,1.3123471088496688e-06,1.5328695707071087e-05
train,7,1.4420835554391522e-05,0.0002901989468351362,1.4486114160731456e-05,1.4364724533220756e-05,1.3738277968103332e-06,1.4346855725358672e-05
train,8,1.44908856693328e-05,8.967667308613669e-05,1.4594932215437354e-05,1.4433145645029708e-05,1.739420890457354e-06,1.449814309001412e-05
train,9,1.503979417241908e-05,0.00016824379817197773,1.5044754248943786e-05,1.4896009808000714e-05,3.859209719024845e-07,1.4871294144189902e-05
train,10,1.3377005646511129e-05,0.00012610104181726207,1.344130455861705e-05,1.350697368684328e-05,1.3128589628889731e-06,1.3458476478884296e-05
train,11,1.4746023318305543e-05,0.0005001362694179985,1.492470996943465e-05,1.4775118864442821e-05,2.303047023201806e-06,1.4560010034860808e-05
train,12,1.2914051814175175e-05,7.961829506249972e-05,1.3181803045536947e-05,1.2922068001950605e-05,2.64326904459159e-06,1.3127874992581552e-05
train,13,1.434895258070222e-05,1.6096078663599018e-05,1.4369305030395749e-05,1.4348999199769393e-05,7.645136098231694e-07,1.436896832045766e-05
train,14,1.5128646434445001e-05,0.0005003393869823729,1.534752499082301e-05,1.4871629069395855e-05,2.5827682473123076e-06,1.4634298779644859e-05
train,15,1.395202751289283e-05,5.823863137598334e-05,1.3977096254466156e-05,1.3952372750516425e-05,8.367715435763658e-07,1.398587848211696e-05
train,16,1.4364245044066905e-05,0.0002001097408940606,1.448684501495532e-05,1.4372018461802142e-05,1.8805475499904467e-06,1.4355274045854256e-05
train,17,1.372881047354296e-05,0.00028896907467034925,1.3828195102744589e-05,1.3757122244491279e-05,1.6548195561558246e-06,1.3791243198311186e-05
train,18,1.3484466482651343e-05,0.00011379426274946185,1.3492077097005458e-05,1.346538800210936e-05,4.527178346126647e-07,1.3441608820101586e-05
train,19,1.350028957856674e-05,0.0002174258505660479,1.3586896514634846e-05,1.355219398309024e-05,1.5316706552257009e-06,1.3547901194113367e-05
train,20,1.538862849857391e-05,6.91657798854061e-05,1.5457850164637733e-05,1.5421053906088222e-05,1.4609870494161774e-06,1.5459872119662822e-05
train,21,1.3281448476160641e-05,4.4460628033608826e-05,1.3324286773140753e-05,1.3278482411498663e-05,1.0675842669368143e-06,1.3312214537904381e-05
train,22,1.4339710997743614e-05,0.00041611331441877706,1.4374300910030481e-05,1.413232930048764e-05,9.971033188150627e-07,1.4106759711430909e-05
train,23,1.3995743411160524e-05,0.0005073312674749851,1.4728729587160289e-05,1.4764531431866505e-05,4.589035386616776e-06,1.3978745785869722e-05
train,24,1.3580202944729683e-05,0.0005165740572920418,1.3992394207728408e-05,1.4298720066700501e-05,3.3714959777715208e-06,1.362261832622873e-05
test,0,1.4337226882056147e-05,0.0001403728997647433,1.4707423584635622e-05,1.4353048196661373e-05,3.279148172840813e-06,1.4542143921397978e-05
test,1,1.4677456906097452e-05,8.403370908429506e-05,1.472834294206546e-05,1.4702665248578591e-05,1.222921887755021e-06,1.4701197695689367e-05
test,2,1.3660718149703389e-05,0.00012533829891034272,1.3903340473985674e-05,1.3600778152255622e-05,2.585990376899073e-06,1.3685628820607776e-05
test,3,1.6045585858244435e-05,8.114158438798553e-05,1.6444613592930653e-05,1.6049629026070115e-05,3.6011266972167747e-06,1.649943843001017e-05
test,4,1.460476174869571e-05,4.4162358108865575e-05,1.4814193472628886e-05,1.4601752313922306e-05,2.4821472920269695e-06,1.4803663464811092e-05
test,5,1.3595844009842114e-05,0.00030453019550453044,1.3933700849462605e-05,1.3782791941613525e-05,3.0497796795875767e-06,1.3736235986837795e-05
test,6,1.4213728930135891e-05,1.6216614562183348e-05,1.4241136622181971e-05,1.4213732512165856e-05,8.830960858448405e-07,1.4241197189809198e-05
