split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,1.75574979614397e-05,0.001009828761706102,2.6840117858363728e-05,2.541199206651744e-05,2.017036437815566e-05,1.4730501562086585e-05
train,1,5.04843001058305e-05,0.001980688256842441,8.897184552151604e-05,7.635008386811423e-05,7.329629067712992e-05,1.3862277913948513e-05
train,2,0.0001535060194425234,0.009997847504547108,0.0004217531283074369,0.0003924891312030234,0.0003937967983817383,1.4294320174115941e-05
train,3,0.0003294202126445878,0.006982076713425077,0.00034093810055488765,8.916480516211812e-05,8.790027317006847e-05,1.363142419576896e-05
train,4,3.086501805623445e-05,0.00607148190010383,0.00020920596623601894,0.0002080900002783649,0.00020723742137733375,1.4606942790453915e-05
train,5,7.054293053558759e-05,0.00521570523428463,0.00015746471666315732,0.00014077047704089295,0.0001409463567996917,1.388102409267554e-05
train,6,1.5297741103200485e-05,0.00027385539622495106,1.5573939156025532e-05,1.5476852155055435e-05,2.8772999986423273e-06,1.5328695707071087e-05
train,7,0.00013571262542886833,0.007087513436225006,0.0002264283906744737,0.00018280583142530647,0.00018158874067476387,1.4346855725358672e-05
train,8,7.056521263313667e-05,0.0022335135783197887,8.49105393849411e-05,4.802443584349904e-05,4.715921948839097e-05,1.449814309001412e-05
train,9,0.0001862012828941136,0.004384806104676759,0.0002557107017634608,0.00017755613706038094,0.00017601878012422112,1.4871294144189902e-05
train,10,0.00010821853469204785,0.003290549340555716,0.00018945189423873773,0.00015659166050854484,0.0001560924472606752,1.3458476478884296e-05
train,11,0.0003291452882704432,0.012766975196949373,0.0004772042237500243,0.00034746374993197015,0.00034660555953787463,1.4560010034859917e-05
train,12,1.3357776262675272e-05,0.001982974312219314,4.3555482840274096e-05,4.129043353743653e-05,4.14434654658567e-05,1.3127874992581552e-05
train,13,1.4353582098975729e-05,0.00019262704398379454,1.445051690720613e-05,1.437885242439924e-05,1.6680350599217783e-06,1.436896832045766e-05
train,14,0.00030988375783651246,0.012195059789811344,0.00048527996953386197,0.00037581441712607807,0.00037462991736573705,1.4634298779644959e-05
train,15,1.8053307264539643e-05,0.0014532742620820846,2.5408028343930865e-05,2.3424647143665825e-05,1.7877284675696704e-05,1.3985878482115059e-05
train,16,0.00023032983567534553,0.004796603742864604,0.00027361252373810915,0.00014862558367494824,0.0001481787382456898,1.4355274045855874e-05
train,17,0.00023714887401159773,0.007108916597468055,0.0002459172075306794,6.542821962471084e-05,6.509113048194264e-05,1.3791243198310149e-05
train,18,9.549153022902423e-05,0.0029572516786881683,0.00016190967747269015,0.00013237248580110883,0.00013114218588465004,1.3441608820101586e-05
train,19,8.995994869110049e-05,0.005356172274855644,0.00013810656547030568,0.00010522344672906012,0.00010494544528002244,1.3547901194115098e-05
train,20,3.835627994767872e-05,0.0016388442641122301,6.983116784632083e-05,5.980002247996795e-05,5.829477460109567e-05,1.5459872119662006e-05
train,21,1.4489180099469546e-05,0.0010768700219611306,2.0848963066519722e-05,1.932193091256816e-05,1.4986306300168362e-05,1.3312214537904381e-05
train,22,0.0003671658306472601,0.010416970201979424,0.000395060444999714,0.00014711343671936086,0.00014595703742604233,1.410675971143176e-05
train,23,7.926919551389971e-05,0.013203958305177135,0.0006410968697693514,0.0006387950896603768,0.0006383098444406666,1.3978745785869722e-05
train,24,0.000147162729106636,0.012410802054288518,0.0005876517329922431,0.0005724837988130301,0.0005706986631259718,1.3622618326234723e-05
test,0,6.841212462686202e-05,0.0035959931311369004,0.00015922300564661702,0.00014347402605987059,0.00014418036668135427,1.4542143921397978e-05
test,1,4.662389235032738e-05,0.002011022164430167,9.019453864082525e-05,7.805673098355284e-05,7.722881432521289e-05,1.4701197695689367e-05
test,2,0.00010502510129809055,0.00323877288523341,0.00018858043419568644,0.00015707054430308113,0.00015723025529700566,1.3685628820607776e-05
test,3,1.9201391698783744e-05,0.0018910604270545625,3.981930579111743e-05,4.102007002975529e-05,3.4835127745055203e-05,1.649943843001017e-05
test,4,1.584454881164766e-05,0.0010241174933230076,2.0968364084160254e-05,1.9240036927015108e-05,1.3725683812272592e-05,1.480366346481206e-05
test,5,2.691794895082201e-05,0.007389619735469493,0.0002766711356572693,0.0002761754082825081,0.0002758843629598823,1.3736235986837795e-05
test,6,1.4222372024574121e-05,0.00020233156309984817,1.4282014598479223e-05,1.4253100024535457e-05,1.296750054357931e-06,1.4241197189809198e-05
