split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,1.4643375141679331e-05,4.3748005418017355e-05,1.4721329776620569e-05,1.4646443493070716e-05,1.5327026514778034e-06,1.4730501562086585e-05
train,1,1.3714477692834573e-05,7.599970323674769e-05,1.3783726539048115e-05,1.3740534668183138e-05,1.4175926849150384e-06,1.3862277913948513e-05
train,2,1.4358684429843845e-05,0.0004115971507072164,1.5161414260133759e-05,1.4561140544083422e-05,4.860489690812533e-06,1.4294320174120234e-05
train,3,1.4094078724852535e-05,0.0002863647174559237,1.4256731213641942e-05,1.350909706346401e-05,2.105376345223069e-06,1.363142419576896e-05
train,4,1.4603394585559662e-05,0.00023625012425321175,1.4659538301450854e-05,1.468734568669795e-05,1.2786396129764522e-06,1.4606942790455194e-05
train,5,1.3893952793246106e-05,0.00021297154838624253,1.4047180864942968e-05,1.3893900804232077e-05,2.0665672297714885e-06,1.388102409267554e-05
train,6,1.5272337223831188e-05,1.858811528038332e-05,1.532860363247769e-05,1.5272480221882847e-05,1.3193309734412648e-06,1.5328695707071087e-05
train,7,1.4420843727912702e-05,0.0002901989468351362,1.4486114160731456e-05,1.4364743406698215e-05,1.3862528531740112e-06,1.4346855725358672e-05
train,8,1.4490939719341659e-05,8.967667308613669e-05,1.4594932215437354e-05,1.443229307224745e-05,1.7061749217544646e-06,1.449814309001412e-05
train,9,1.5039914325992959e-05,0.00016824379817197773,1.5044754248943786e-05,1.4891091713893685e-05,3.4608687320851636e-07,1.4871294144189902e-05
train,10,1.3377133636538853e-05,0.00012610104181726207,1.344130455861705e-05,1.3502196405920479e-05,1.2549986322599317e-06,1.3458476478884296e-05
train,11,1.4746074009311621e-05,0.0005001362694179985,1.492470996943465e-05,1.4776734282611003e-05,2.3243401073365332e-06,1.4560010034860808e-05
train,12,1.2914079283038844e-05,7.961829506249972e-05,1.3181803045536947e-05,1.2921917296105046e-05,2.6294381050465235e-06,1.3127874992581552e-05
train,13,1.434895259675348e-05,1.6096078663599018e-05,1.4369305030395749e-05,1.4348998890545132e-05,7.63971065666241e-07,1.436896832045766e-05
train,14,1.5128673525107914e-05,0.0005003393869823729,1.534752499082301e-05,1.4872503117120147e-05,2.5718520331889483e-06,1.4634298779644859e-05
train,15,1.3952027694188607e-05,5.823863137598334e-05,1.3977096254466156e-05,1.3952356539333669e-05,8.377361094042622e-07,1.398587848211696e-05
train,16,1.4364387088926496e-05,0.0002001097408940606,1.448684501495532e-05,1.436659124758217e-05,1.840598450028749e-06,1.4355274045854256e-05
train,17,1.3728908085821946e-05,0.00028896907467034925,1.3828195102744589e-05,1.3756646972098835e-05,1.6425462075381462e-06,1.3791243198311186e-05
train,18,1.3484580165955028e-05,0.00011379426274946185,1.3492077097005458e-05,1.3461565194115832e-05,4.07761678395476e-07,1.3441608820101586e-05
train,19,1.3500305952485195e-05,0.0002174258505660479,1.3586896514634846e-05,1.3552442080838889e-05,1.5285563788324572e-06,1.3547901194113367e-05
train,20,1.538869623847609e-05,6.91657798854061e-05,1.5457850164637733e-05,1.5419716792785557e-05,1.427089268170983e-06,1.5459872119662822e-05
train,21,1.3281450384097493e-05,4.4460628033608826e-05,1.3324286773140753e-05,1.3278468911908243e-05,1.0661692084985187e-06,1.3312214537904381e-05
train,22,1.4339810239034482e-05,0.00041611331441877706,1.4374300910030481e-05,1.4132602490569033e-05,1.0350412845996702e-06,1.4106759711430909e-05
train,23,1.3995814188722021e-05,0.0005073312674749851,1.4728729587160289e-05,1.4762290995661219e-05,4.590728382790134e-06,1.3978745785869722e-05
train,24,1.3580241985260674e-05,0.0005165740572920418,1.3992394207728408e-05,1.4296678738148022e-05,3.376722380629496e-06,1.362261832622873e-05
test,0,1.4337345967747284e-05,0.0001403728997647433,1.4707423584635622e-05,1.4348973716039211e-05,3.227119703653101e-06,1.4542143921397978e-05
test,1,1.4677544294016119e-05,8.403370908429506e-05,1.472834294206546e-05,1.47005638497165e-05,1.173314031077681e-06,1.4701197695689367e-05
test,2,1.366084491972253e-05,0.00012533829891034272,1.3903340473985674e-05,1.3595963231609747e-05,2.5531441173674768e-06,1.3685628820607776e-05
test,3,1.604561924461125e-05,8.114158438798553e-05,1.6444613592930653e-05,1.604934793433332e-05,3.631864049002523e-06,1.649943843001017e-05
test,4,1.4604762644119031e-05,4.4162358108865575e-05,1.4814193472628886e-05,1.4601741446121647e-05,2.477122719182352e-06,1.4803663464811092e-05
test,5,1.3595899232870598e-05,0.00030453019550453044,1.3933700849462605e-05,1.3781776677672782e-05,3.020385086098454e-06,1.3736235986837795e-05
test,6,1.4213729010021958e-05,1.6216614562183348e-05,1.4241136622181971e-05,1.4213732132448875e-05,8.819096565461994e-07,1.4241197189809198e-05
