split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,0.00014743717294716098,0.0010215327216539492,0.000147882680489504,0.00014663103558586283,1.9419861651784582e-05,0.00014730501562112172
train,1,0.00014507927789404957,0.0019691440996153237,0.00015440036580151412,0.0001473648446866967,3.533084077991078e-05,0.00013862277913911838
train,2,0.00021668994797957862,0.009983349022431618,0.000460954366953608,0.0004143489266371985,0.00040483561614958105,0.00014294320174095728
train,3,0.0003714664650928793,0.006970215737710361,0.0003801484952024449,0.00014736599358740614,5.524198246232291e-05,0.0001363142419576167
train,4,0.00015019762511858992,0.006070197712074481,0.00025228209284629136,0.0002495706761375959,0.00019928198513876816,0.00014606942790472842
train,5,0.00015837230363164293,0.005208638720003029,0.00021711930802098165,0.00019551663643312936,0.00014676690999361103,0.00013881024092657216
train,6,0.00015291776564525558,0.00030935553772225207,0.0001533005051591773,0.0001528362911818186,1.7432049800407557e-05,0.0001532869570706939
train,7,0.00020357993963362306,0.007085895532699571,0.00026880406149795217,0.00023169767736928732,0.00017677732727253053,0.00014346855725366547
train,8,0.00016625798707114325,0.002252709419654469,0.0001755817041736593,0.00014695302522957094,4.2238493489940756e-05,0.00014498143089936794
train,9,0.00024898962280046514,0.004386188863969989,0.0002984461091237773,0.00021095334857374287,0.00014087179096228047,0.00014871294144266372
train,10,0.00016460906400879246,0.0032892830254512315,0.00022530209895067364,0.00018668213839325557,0.0001301070051310803,0.00013458476478890304
train,11,0.00036017995442686623,0.012773165808038908,0.000495257664481127,0.0003809850796612639,0.0003470892138720233,0.00014560010034844964
train,12,0.00012947718571052277,0.001968270343779356,0.00014286385866875358,0.00013462087166074354,5.806782076047465e-05,0.00013127874992562675
train,13,0.00014348605140815937,0.0002364920651439528,0.0001437352309451974,0.0001434916864516629,8.187025823756443e-06,0.00014368968320458027
train,14,0.0003595251932353063,0.012187495674718251,0.000512469888065904,0.0004048107804339992,0.00036845244871248694,0.0001463429877964583
train,15,0.00014000601452072184,0.001451494574427996,0.00014034203271920664,0.00014068147676504715,8.826133277093681e-06,0.00013985878482084937
train,16,0.0002689365391181466,0.004797102968591223,0.00030614094021919026,0.0001837394652808225,0.00011891159368488074,0.0001435527404586812
train,17,0.0002664977229453053,0.007122594521374081,0.00027552487430863306,0.0001529988813185394,7.682454204294003e-05,0.00013791243198322704
train,18,0.00016972835577547336,0.002957285598462378,0.00020963645130008958,0.00017133382506682968,0.00010103460235017094,0.0001344160882008977
train,19,0.00015794757185147646,0.005349844936106048,0.00019234315074790183,0.00017224319714294093,0.00011223744751460975,0.00013547901194089771
train,20,0.0001569345836012656,0.0016442731120314869,0.0001677363190376779,0.00015791702785644665,4.010420780845192e-05,0.00015459872119666696
train,21,0.00013333536222592368,0.0010746883921006784,0.0001353502414007471,0.00013347327112652618,2.2943152702827885e-05,0.00013312214537946203
train,22,0.0003926149259993636,0.010426467257048414,0.00041663264545689594,0.00020353354693363588,0.00014318679336454838,0.000141067597113979
train,23,0.00016485110559126358,0.013201689444705445,0.0006539834452178402,0.0006506744828997364,0.0006326042941413027,0.00013978745785810367
train,24,0.00020359102468646921,0.01242551323948945,0.0005903509442478789,0.000584764966343559,0.0005531949607687013,0.00013622618326272155
test,0,0.00016194148313313268,0.003602764884170394,0.0002244513234379893,0.0001844598001094867,0.0001310465045007554,0.00014542143921412385
test,1,0.00015407331096131682,0.0020134215333571168,0.00017265574376919567,0.00015524199074307203,5.591044089289461e-05,0.00014701197695678693
test,2,0.00018080353229945467,0.0032491165770978893,0.00024261508059249387,0.00018735177264278126,0.00013865397858867985,0.00013685628820609975
test,3,0.00016152875100130252,0.0019224071855238577,0.0001625894450119576,0.00016379871662479688,3.8467130980535835e-05,0.00016499438430060733
test,4,0.00014656677309375928,0.0010447268391891517,0.0001499290216895763,0.00014651884698938677,2.9419609068883528e-05,0.00014803663464769588
test,5,0.00013954484016866694,0.00738984927098034,0.00030898009585349304,0.0003051437957135672,0.0002728573336012979,0.00013736235986819552
test,6,0.00014213718964039404,0.0002449092996723214,0.0001424089693753574,0.00014213732079227032,8.188203482165044e-06,0.00014241197189829755
