split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,1.755669660974998e-05,0.001009828761706102,2.6840117858363728e-05,2.5543086391357263e-05,2.0326604798414293e-05,1.4730501562086585e-05
train,1,5.048380961040694e-05,0.001980688256842441,8.897184552151604e-05,7.656560277494386e-05,7.351573464042348e-05,1.3862277913948513e-05
train,2,0.00015350599232019288,0.009997847504547108,0.0004217531283074369,0.00039252023929414666,0.0003938280781528645,1.4294320174115941e-05
train,3,0.00032942003812304565,0.006982076713425077,0.00034093810055488765,8.946872558348222e-05,8.821092916942372e-05,1.363142419576896e-05
train,4,3.086424639909517e-05,0.00607148190010383,0.00020920596623601894,0.0002081529205633965,0.0002073002580427896,1.4606942790453915e-05
train,5,7.054292175996523e-05,0.00521570523428463,0.00015746471666315732,0.00014079142777946658,0.00014096731795111897,1.388102409267554e-05
train,6,1.5297534213990247e-05,0.00027385539622495106,1.5573939156025532e-05,1.548823776167131e-05,2.9215300214060403e-06,1.5328695707071087e-05
train,7,0.00013571260533384242,0.007087513436225006,0.0002264283906744737,0.00018280485385134649,0.0001815872622878594,1.4346855725358672e-05
train,8,7.056495834363386e-05,0.0022335135783197887,8.49105393849411e-05,4.8199860179115955e-05,4.734258584997049e-05,1.449814309001412e-05
train,9,0.00018620106835778608,0.004384806104676759,0.0002557107017634608,0.0001778289136735875,0.00017629243426921262,1.4871294144189902e-05
train,10,0.00010821818125394958,0.003290549340555716,0.00018945189423873773,0.00015686175797520357,0.00015636363139112595,1.3458476478884296e-05
train,11,0.0003291452243782696,0.012766975196949373,0.0004772042237500243,0.0003474181435403671,0.00034655952065013593,1.4560010034859917e-05
train,12,1.3357082157263363e-05,0.001982974312219314,4.3555482840274096e-05,4.1325235442057663e-05,4.148248108912998e-05,1.3127874992581552e-05
train,13,1.4353581694665792e-05,0.00019262704398379454,1.445051690720613e-05,1.4379057764071679e-05,1.671056090153358e-06,1.436896832045766e-05
train,14,0.00030988372849446283,0.012195059789811344,0.00048527996953386197,0.0003757936521874601,0.00037460954978133003,1.4634298779644959e-05
train,15,1.805330374952662e-05,0.0014532742620820846,2.5408028343930865e-05,2.3430859071352518e-05,1.7885137565490655e-05,1.3985878482115059e-05
train,16,0.00023032957860461125,0.004796603742864604,0.00027361252373810915,0.00014895837630954053,0.00014851242271832487,1.4355274045855874e-05
train,17,0.0002371487120855483,0.007108916597468055,0.0002459172075306794,6.545369302484508e-05,6.511818127894183e-05,1.3791243198310149e-05
train,18,9.54911696046943e-05,0.0029572516786881683,0.00016190967747269015,0.00013262791105658216,0.00013139886175000723,1.3441608820101586e-05
train,19,8.995989199500394e-05,0.005356172274855644,0.00013810656547030568,0.00010520501050758637,0.00010492730621452863,1.3547901194115098e-05
train,20,3.835553357363086e-05,0.0016388442641122301,6.983116784632083e-05,6.003002946421289e-05,5.853332517616575e-05,1.5459872119662006e-05
train,21,1.4489135958729865e-05,0.0010768700219611306,2.0848963066519722e-05,1.9328655371304187e-05,1.4995465138840547e-05,1.3312214537904381e-05
train,22,0.00036716574723556116,0.010416970201979424,0.000395060444999714,0.00014713007078679936,0.00014597283179200885,1.410675971143176e-05
train,23,7.926890290525044e-05,0.013203958305177135,0.0006410968697693514,0.0006388293435346073,0.0006383437941834947,1.3978745785869722e-05
train,24,0.00014716263501379976,0.012410802054288518,0.0005876517329922431,0.0005725185934726166,0.0005707331456244462,1.3622618326234723e-05
test,0,6.841156240032387e-05,0.0035959931311369004,0.00015922300564661702,0.00014374183165677252,0.0001444505755861087,1.4542143921397978e-05
test,1,4.662312976889172e-05,0.002011022164430167,9.019453864082525e-05,7.831925417388045e-05,7.749613719570313e-05,1.4701197695689367e-05
test,2,0.00010502473274974093,0.00323877288523341,0.00018858043419568644,0.00015734376870842016,0.00015750385034977738,1.3685628820607776e-05
test,3,1.9200651645019763e-05,0.0018910604270545625,3.981930579111743e-05,4.109729883290458e-05,3.490880549824945e-05,1.649943843001017e-05
test,4,1.5844528387112035e-05,0.0010241174933230076,2.0968364084160254e-05,1.9245610930030512e-05,1.3737973265673877e-05,1.480366346481206e-05
test,5,2.6917209083758533e-05,0.007389619735469493,0.0002766711356572693,0.000276209631886628,0.00027592002932432403,1.3736235986837795e-05
test,6,1.4222370043293517e-05,0.00020233156309984817,1.4282014598479223e-05,1.4253386524875678e-05,1.3039454897664112e-06,1.4241197189809198e-05
