split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,1.464333904880576e-05,4.3748005418017355e-05,1.4721329776620569e-05,1.4646772105438746e-05,1.5133833197383816e-06,1.4730501562086585e-05
train,1,1.3714398725421933e-05,7.599970323674769e-05,1.3783726539048115e-05,1.3742361879385693e-05,1.380864471177412e-06,1.3862277913948513e-05
train,2,1.4358673135560965e-05,0.0004115971507072164,1.5161414260133759e-05,1.4562414942889011e-05,4.868520513602319e-06,1.4294320174120234e-05
train,3,1.409393927091295e-05,0.0002863647174559237,1.4256731213641942e-05,1.3512735314693788e-05,2.1485303545282754e-06,1.363142419576896e-05
train,4,1.460332441822523e-05,0.00023625012425321175,1.4659538301450854e-05,1.46886750860172e-05,1.2826489514740075e-06,1.4606942790455194e-05
train,5,1.3893951062618595e-05,0.00021297154838624253,1.4047180864942968e-05,1.3894233293641354e-05,2.0692334822085198e-06,1.388102409267554e-05
train,6,1.5272329175264438e-05,1.858811528038332e-05,1.532860363247769e-05,1.5272490958216788e-05,1.3122780109408647e-06,1.5328695707071087e-05
train,7,1.4420835553605794e-05,0.0002901989468351362,1.4486114160731456e-05,1.4364724426047305e-05,1.3737038281877256e-06,1.4346855725358672e-05
train,8,1.4490885663964397e-05,8.967667308613669e-05,1.4594932215437354e-05,1.443315471322134e-05,1.739754603689042e-06,1.449814309001412e-05
train,9,1.503979416044596e-05,0.00016824379817197773,1.5044754248943786e-05,1.4896060182145521e-05,3.8634489951674514e-07,1.4871294144189902e-05
train,10,1.3377005633684602e-05,0.00012610104181726207,1.344130455861705e-05,1.3507022710910824e-05,1.3134376075103244e-06,1.3458476478884296e-05
train,11,1.4746023313167353e-05,0.0005001362694179985,1.492470996943465e-05,1.477510321205612e-05,2.302836309804229e-06,1.4560010034860808e-05
train,12,1.2914051811400655e-05,7.961829506249972e-05,1.3181803045536947e-05,1.2922069778534048e-05,2.643408317856946e-06,1.3127874992581552e-05
train,13,1.434895258067051e-05,1.6096078663599018e-05,1.4369305030395749e-05,1.4348999204798696e-05,7.645190360920307e-07,1.436896832045766e-05
train,14,1.5128646431701513e-05,0.0005003393869823729,1.534752499082301e-05,1.4871620606230831e-05,2.58287874622232e-06,1.4634298779644859e-05
train,15,1.3952027512861087e-05,5.823863137598334e-05,1.3977096254466156e-05,1.395237291502042e-05,8.36761922924293e-07,1.398587848211696e-05
train,16,1.4364245029847122e-05,0.0002001097408940606,1.448684501495532e-05,1.4372074127287244e-05,1.8809535031413726e-06,1.4355274045854256e-05
train,17,1.3728810463787044e-05,0.00028896907467034925,1.3828195102744589e-05,1.375712795681818e-05,1.654949852161745e-06,1.3791243198311186e-05
train,18,1.3484466471248506e-05,0.00011379426274946185,1.3492077097005458e-05,1.3465427350615386e-05,4.5317838010626286e-07,1.3441608820101586e-05
train,19,1.3500289576887777e-05,0.0002174258505660479,1.3586896514634846e-05,1.3552191663454903e-05,1.531703195360528e-06,1.3547901194113367e-05
train,20,1.5388628491852138e-05,6.91657798854061e-05,1.5457850164637733e-05,1.5421067959251267e-05,1.4613291211703535e-06,1.5459872119662822e-05
train,21,1.3281448476038065e-05,4.4460628033608826e-05,1.3324286773140753e-05,1.3278482558445284e-05,1.0675986425945664e-06,1.3312214537904381e-05
train,22,1.4339710987784005e-05,0.00041611331441877706,1.4374300910030481e-05,1.4132327567805545e-05,9.967307843290318e-07,1.4106759711430909e-05
train,23,1.3995743404058566e-05,0.0005073312674749851,1.4728729587160289e-05,1.4764554498627132e-05,4.589020591953017e-06,1.3978745785869722e-05
train,24,1.3580202940772116e-05,0.0005165740572920418,1.3992394207728408e-05,1.42987408484785e-05,3.3714452280839335e-06,1.362261832622873e-05
test,0,1.433722687012453e-05,0.0001403728997647433,1.4707423584635622e-05,1.4353090114581314e-05,3.2796694472109734e-06,1.4542143921397978e-05
test,1,1.46774568973433e-05,8.403370908429506e-05,1.472834294206546e-05,1.4702687121404018e-05,1.2234181929703736e-06,1.4701197695689367e-05
test,2,1.3660718136943115e-05,0.00012533829891034272,1.3903340473985674e-05,1.3600827556729524e-05,2.5863233630720214e-06,1.3685628820607776e-05
test,3,1.604558585491823e-05,8.114158438798553e-05,1.6444613592930653e-05,1.604963216258888e-05,3.60081947110318e-06,1.649943843001017e-05
test,4,1.4604761748612702e-05,4.4162358108865575e-05,1.4814193472628886e-05,1.460175242984029e-05,2.4821975425281135e-06,1.4803663464811092e-05
test,5,1.3595844004313583e-05,0.00030453019550453044,1.3933700849462605e-05,1.3782802627397855e-05,3.0500746329868117e-06,1.3736235986837795e-05
test,6,1.4213728930162677e-05,1.6216614562183348e-05,1.4241136622181971e-05,1.4213732516968143e-05,8.831079531066973e-07,1.4241197189809198e-05
