split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,0.00034544039804752406,0.00015329042110086318,0.00014729473733459615,0.0003453093738193832,0.000323443811263635,0.00014730501562112172
train,1,0.00046928830887340905,0.0001493834072291082,0.0001385289765966697,0.0004688128473802712,0.00046478581647535375,0.00013862277913911838
train,2,0.00022484923652866487,0.00042046248272754866,0.0001434516061263912,0.00022397025806337797,0.0001624834497660302,0.00014294320174095728
train,3,0.0006185902054002225,0.0003045234157282082,0.00013668756119323568,0.000617831441556387,0.0005964565211556544,0.0001363142419576188
train,4,0.00046066322837148285,0.00027478822091903826,0.00014604177455939378,0.0004602731021741849,0.00043968473601158656,0.00014606942790472842
train,5,0.0001540224624101371,0.0002462094690366946,0.0001389241620654564,0.0001536934810929709,6.610509964193177e-05,0.00013881024092657216
train,6,0.0002147061400676667,0.00015331416493113344,0.00015328684970703963,0.0002146948262611471,0.00015733406957687114,0.0001532869570706939
train,7,0.0002059672503649024,0.0003206887305342002,0.0001435003877325668,0.00020589606445278565,0.00015951868232838868,0.0001434685572536701
train,8,0.00040874834757861786,0.00017712416541905922,0.00014506608403484493,0.0004084510304902192,0.00037072867385190593,0.00014498143089936794
train,9,0.0005990319543487405,0.000223049802187145,0.0001487741272965228,0.0005979044127741635,0.0005890564959599151,0.00014871294144266372
train,10,0.000580932278061169,0.00018133529203442688,0.00013449806810838868,0.0005799552533567639,0.0005624419602690813,0.00013458476478890304
train,11,0.00039971227528058287,0.0005260391741771162,0.00014553886033090075,0.00040025941930916956,0.000379649778929063,0.00014560010034845127
train,12,0.0002877237214012018,0.00014264710305764288,0.0001313292129861261,0.00028765408681719675,0.00024466686476402037,0.00013127874992562675
train,13,0.00014364919266262252,0.00014364651320933726,0.00014369001757556714,0.00014364890672265073,4.392869447721262e-06,0.00014368968320458027
train,14,0.0003132354221396082,0.0005129598232284996,0.00014658196454440053,0.00031343058649472617,0.000263174931354666,0.0001463429877964616
train,15,0.00014128306837986334,0.0001475985614141017,0.00013984903412559322,0.00014126658077369227,2.8215174912418686e-05,0.00013985878482085143
train,16,0.0006311992974749279,0.0002446816521827713,0.00014351945049300024,0.000630115220259467,0.0006143225361719411,0.0001435527404586812
train,17,0.0005170651454911423,0.00033086780141340915,0.00013781451725481368,0.0005170052967050163,0.0004958256075841832,0.00013791243198322807
train,18,0.0005511192368263069,0.00017359001119625716,0.0001344160594134134,0.0005502701219809668,0.0005394931006228589,0.0001344160882008977
train,19,0.0002440721841126691,0.00024903152078309003,0.0001354762860308859,0.0002442153284650574,0.00019953728928512267,0.00013547901194090268
train,20,0.0004661351158786458,0.00016800230646689385,0.00015458731006834665,0.000465739294116274,0.00043334025270154734,0.00015459872119666742
train,21,0.00014952424847278158,0.0001364574865086255,0.000133133734657593,0.0001495075239117543,6.742116595118882e-05,0.00013312214537946203
train,22,0.0005341401793618171,0.00044727203788515576,0.0001410352979622276,0.0005342480782727242,0.0005219410546765311,0.00014106759711398395
train,23,0.0004515576757567173,0.0005231113619438436,0.0001397906031756825,0.0004508482126079464,0.00043799301779269334,0.00013978745785810367
train,24,0.0003414484870399077,0.0005473404857423601,0.00013579749454533405,0.0003405934316020768,0.0003274849975854243,0.00013622618326272155
test,0,0.0005827565776387993,0.00020400962695835245,0.0001455431688446985,0.000581849145443508,0.0005451113249171351,0.00014542143921412385
test,1,0.000509518814279544,0.00016727095256852914,0.000147022394323122,0.0005089745269767278,0.0004816304649847904,0.00014701197695678693
test,2,0.0005843977312972551,0.00018984307603252978,0.0001370096271394915,0.000583371714465866,0.0005645060906022511,0.00013685628820609975
test,3,0.00035284095389786374,0.00019314577899645952,0.00016493682619937483,0.000352719013087549,0.0003500986672965773,0.00016499438430060733
test,4,0.00015439395474359425,0.000156437382670611,0.00014804682227511127,0.00015437966606003553,2.5907855995495495e-05,0.00014803663464769626
test,5,0.0003980413462387508,0.0003328650130985911,0.00013738922725174452,0.00039769849908810086,0.0003541498101937885,0.00013736235986819552
test,6,0.00014291438667224623,0.00014247795237995895,0.00014241190855381148,0.00014291392865715318,9.624771471431508e-06,0.00014241197189829755
