split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,0.0014643313212597065,0.0017929414467284983,0.0014719777292434174,0.0014647751848100201,0.00014995951731122483,0.0014730501562114473
train,1,0.0013711251899391173,0.0022657722129261035,0.0013766787580464569,0.0013749109843613433,0.0001238300900269403,0.0013862277913908843
train,2,0.0014402791051406271,0.009929292337266164,0.0015424234244532944,0.0014724971045442497,0.000553542767954479,0.0014294320174093596
train,3,0.0014284587579652017,0.006970268827391261,0.001443215816670763,0.0013513310005998434,0.00020631792518696835,0.001363142419575679
train,4,0.0014604544393308615,0.006212281434119218,0.0014708840145164753,0.0014747846533115698,0.00017514519508485466,0.001460694279047904
train,5,0.0013908281682880796,0.005301894338374078,0.0014097522396482132,0.0013917655148638912,0.0002304403779707797,0.001388102409265637
train,6,0.0015272313459014294,0.0015480034115376079,0.0015328597537049068,0.0015272509244044895,0.0001312586672517942,0.0015328695707075319
train,7,0.0014449331340380372,0.007198233737214028,0.001454674951950868,0.0014394590137086927,0.00016819641001220362,0.001434685572536677
train,8,0.001450771349053853,0.0027944079340253723,0.0014628287698813952,0.0014433544361916882,0.00018782574669870357,0.0014498143089943189
train,9,0.0015129584436314287,0.004618487741579848,0.0015153830444045247,0.0014945692022135318,8.613998043267036e-05,0.0014871294144264823
train,10,0.0013363828489589755,0.003514247424356042,0.0013465974679070937,0.0013547805700261267,0.00016646282549711205,0.0013458476478887672
train,11,0.001490341448043272,0.01290828110712837,0.0015197725370882287,0.0014940860164651163,0.00029857096641774716,0.0014560010034850273
train,12,0.0012911918610387374,0.0021974206689240783,0.0013195072260566486,0.0012922950543684812,0.00027208975432338787,0.0013127874992562058
train,13,0.0014348976953869593,0.0014435320875174035,0.0014369387638899912,0.0014349036895403026,7.656522994794793e-05,0.0014368968320456431
train,14,0.0015323968279032907,0.012190115500978295,0.001562722759636788,0.001503373177872595,0.00030699360329447756,0.0014634298779645754
train,15,0.001395230809861741,0.0019488405342019685,0.001397511291225105,0.001395292851643354,7.983665388229697e-05,0.001398587848208915
train,16,0.0014412713429644637,0.004989610158051312,0.001455481117232751,0.0014389470057824601,0.00020353618021425122,0.0014355274045865613
train,17,0.0013759655888613462,0.007373777568044406,0.0013874323176234398,0.0013758407913414153,0.00017809872061860576,0.0013791243198325565
train,18,0.0013509422176361276,0.0032182875914570142,0.0013531833338540518,0.0013493666698907421,7.820577092924332e-05,0.0013441608820099166
train,19,0.0013500251349785922,0.005438641962781055,0.001360739528437254,0.0013566558122033905,0.0001705987657228522,0.0013547901194094043
train,20,0.001538317854708048,0.002238621817499275,0.0015460544639215546,0.001542364146535972,0.0001547227018406551,0.0015459872119667469
train,21,0.00132825426594111,0.001639207810924488,0.0013327249985715084,0.0013278979430334785,0.00010909876351664012,0.0013312214537945807
train,22,0.001452290654171692,0.010604896423907328,0.0014566326879365717,0.0014164284116701584,0.00011264538522727421,0.0014106759711393448
train,23,0.001401194732991611,0.013244869135405634,0.001528282490965217,0.0015334513354192205,0.0006119245116178926,0.0013978745785812752
train,24,0.0013619461203910328,0.01263726929995359,0.0014261103649764947,0.0014639066666155256,0.00042380154959168023,0.001362261832627057
test,0,0.001434505851251372,0.003918115595268145,0.001478132470466266,0.0014381702206089546,0.00035823696769833255,0.0014542143921410608
test,1,0.001467597872661861,0.0024649752892282467,0.0014738504572611643,0.0014708550640454587,0.00013609187148010192,0.0014701197695674581
test,2,0.0013696532944085737,0.003591191595104187,0.0014002386566966873,0.0013636599856543022,0.00029201949444876874,0.0013685628820617208
test,3,0.0016045799167374317,0.0027049270328736103,0.0016433244406337943,0.0016051666593367272,0.0003552067148308608,0.0016499438430055671
test,4,0.0014607554386477828,0.0018629122790853124,0.0014817158334835964,0.0014603787658987709,0.0002483735895573163,0.0014803663464774918
test,5,0.0013599293744546962,0.007504996496545234,0.0014020922075827565,0.0013872775903427828,0.00034213653006696373,0.0013736235986822668
test,6,0.0014213422028522473,0.001434384127524,0.0014241123286333976,0.0014213426339671849,8.877796837063544e-05,0.001424119718983299
