split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,0.0014643313212606382,0.0017929414467284983,0.0014719777292434174,0.0014647751623408688,0.0001499604586689255,0.0014730501562114473
train,1,0.0013711251899408753,0.0022657722129261035,0.0013766787580464569,0.001374910866429396,0.00012383172855794984,0.0013862277913908843
train,2,0.0014402791051409127,0.009929292337266164,0.0015424234244532944,0.0014724970220922563,0.0005535423544788208,0.0014294320174093596
train,3,0.00142845875796917,0.006970268827391261,0.001443215816670763,0.0013513308044844385,0.0002063156325947012,0.001363142419575679
train,4,0.0014604544393324469,0.006212281434119218,0.0014708840145164753,0.0014747845653265799,0.00017514485532134255,0.001460694279047904
train,5,0.001390828168288164,0.005301894338374078,0.0014097522396482132,0.0013917654938494146,0.00023044022869705288,0.001388102409265637
train,6,0.0015272313459017027,0.0015480034115376079,0.0015328597537049068,0.0015272509232473104,0.00013125901495150097,0.0015328695707075319
train,7,0.0014449331340382545,0.007198233737214028,0.001454674951950868,0.001439459014575445,0.00016819694379929177,0.001434685572536677
train,8,0.0014507713490551214,0.0027944079340253723,0.0014628287698813952,0.0014433543782703757,0.00018782411744798275,0.0014498143089943189
train,9,0.0015129584436341238,0.004618487741579848,0.0015153830444045247,0.0014945688837963707,8.61374950967367e-05,0.0014871294144264823
train,10,0.0013363828489618133,0.003514247424356042,0.0013465974679070937,0.0013547802587999607,0.00016646008396548835,0.0013458476478887672
train,11,0.0014903414480447038,0.01290828110712837,0.0015197725370882287,0.0014940861193212238,0.00029857184809294664,0.0014560010034850273
train,12,0.001291191861039537,0.0021974206689240783,0.0013195072260566486,0.0012922950430545694,0.0002720890430578256,0.0013127874992562058
train,13,0.0014348976953869408,0.0014435320875174035,0.0014369387638899912,0.0014349036895199006,7.6565202041436e-05,0.0014368968320456431
train,14,0.001532396827903867,0.012190115500978295,0.001562722759636788,0.001503373229162761,0.000306993293089364,0.0014634298779645754
train,15,0.001395230809861684,0.0019488405342019685,0.001397511291225105,0.0013952928506253358,7.983669854157276e-05,0.001398587848208915
train,16,0.0014412713429685343,0.004989610158051312,0.001455481117232751,0.0014389466639287594,0.00020353384238519298,0.0014355274045865613
train,17,0.001375965588864181,0.007373777568044406,0.0013874323176234398,0.0013758407765930088,0.00017809808297931473,0.0013791243198325565
train,18,0.0013509422176386946,0.0032182875914570142,0.0013531833338540518,0.001349366422524125,7.820339973852381e-05,0.0013441608820099166
train,19,0.001350025134979064,0.005438641962781055,0.001360739528437254,0.0013566558260236792,0.00017059866482411768,0.0013547901194094043
train,20,0.0015383178547097778,0.002238621817499275,0.0015460544639215546,0.0015423640571052058,0.00015472082479112863,0.0015459872119667469
train,21,0.001328254265941121,0.001639207810924488,0.0013327249985715084,0.001327897942066123,0.00010909868483965335,0.0013312214537945807
train,22,0.0014522906541738088,0.010604896423907328,0.0014566326879365717,0.0014164283959087675,0.00011264643285383127,0.0014106759711393448
train,23,0.00140119473299324,0.013244869135405634,0.001528282490965217,0.0015334511937405686,0.0006119244970941813,0.0013978745785812752
train,24,0.0013619461203921456,0.01263726929995359,0.0014261103649764947,0.0014639065318766762,0.00042380164411451034,0.001362261832627057
test,0,0.0014345058512540121,0.003918115595268145,0.001478132470466266,0.00143816995351597,0.0003582344096081294,0.0014542143921410608
test,1,0.0014675978726643604,0.0024649752892282467,0.0014738504572611643,0.0014708549249183424,0.00013608924194957804,0.0014701197695674581
test,2,0.0013696532944114318,0.003591191595104187,0.0014002386566966873,0.0013636596741977876,0.0002920176937728197,0.0013685628820617208
test,3,0.0016045799167383593,0.0027049270328736103,0.0016433244406337943,0.001605166640330437,0.00035520829182278293,0.0016499438430055671
test,4,0.0014607554386477798,0.0018629122790853124,0.0014817158334835964,0.0014603787651581083,0.0002483733326282257,0.0014803663464774918
test,5,0.0013599293744560807,0.007504996496545234,0.0014020922075827565,0.0013872775224907834,0.0003421351270327482,0.0013736235986822668
test,6,0.0014213422028522553,0.001434384127524,0.0014241123286333976,0.001421342633938691,8.877790598775023e-05,0.001424119718983299
